matrix_row_id,row_source,题源,年份,阶段,题号,题型或模块判断,是否进宝典,宝典节点,细则支持原理,证据等级,是否误放,是否需补厚,当前处理,备注,source_artifact
M0001,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,实践是认识的基础,东城第16题主观题细则：核心知识包括“实践与认识辩证关系”；示例写明实践是认识来源、发展动力和检验真理的标准。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:1
M0002,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,物质决定意识,东城第16题主观题细则16.pdf第4页知识表列“实践决定认识、物质决定意识（规律）”；本条只使用物质决定意识/一切从实际出发，不再展开主观能动性。,强细则,否,否,KEEP_IN_BODY,GPTPro web scoped audit 后收窄：本条只落物质决定意识和一切从实际出发，不再展开主观能动性。,04_fusion_audit\student_patch_entries.accepted.jsonl:2
M0003,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,东城第16题主观题细则16.pdf第4页知识表列“联系（系统）”；本条对应系统观念/系统优化，要求把课程目标、真实场景、探究任务和数字资源作为整体协同理解。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:3
M0004,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,东城第16题主观题细则：材料表列“发展（辩否）”“守正创新/理论与实践统一/文化与科技融合”。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:4
M0005,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,东城第16题主观题细则16.pdf第4页知识表列“矛盾特殊性”；本条对应具体问题具体分析，要求从北京真实城市资源、学生成长实际和育人任务出发。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:5
M0006,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,东城第16题主观题细则16.pdf第4页知识表列“价值观”；同页要求材料落到“京彩课堂的价值”，示例总述写“价值深远/国家、民族、时代新人”。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:6
M0007,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾就是对立统一,正式阅卷细则：传承与创新的关系对应“对立统一/联系”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:7
M0008,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,正式阅卷细则：继承维度列“坚持辩证否定/发展的观点”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:8
M0009,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,正式阅卷细则：创新维度列“回应群众需求/具体问题具体分析/一切从实际出发”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:9
M0010,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,正式阅卷细则：落实社会主义核心价值观维度列“价值观导向作用/社会意识作用”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:10
M0011,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q21,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,正式阅卷细则：系统思维强调整体性、关联性和协同性；要求用联系、全面、整体的观点看问题。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题；Q21细则亦明确必答党的领导1分，该点属政治模块不列此条目；external repair: 主题已校正为“四个中国”。,04_fusion_audit\student_patch_entries.accepted.jsonl:11
