suite_id,question,prior_book_module,new_book_module,new_status,question_type,row_granularity,rule_id,matched_terms,evidence_source_type,evidence_source,evidence_text
2024_东城_一模,14,UNKNOWN_OR_MIXED,XB1_EXCLUDED,module-boundary-excluded,objective,question,STRONG_BLOCKER_XB1_GLOBAL_ENV_GOVERNANCE,"COP15,全球生物多样性框架,全球生态治理,多极化",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_东城_一模.txt,"中国政府作 《生物多样性公约》第十五次缔约方大会(COP15)主席国,持续推动 “昆明-蒙特利尔全球生物多样性框架”落实,部署了生物多样性主流化、应对生物 多样性丧失威胁等4个优先领域,每个优先领域下设6至8个优先行动。对此,下 列观点正确的是 1中国推动构建地球生命共同体,促进多极化发展 2全球生物安全治理要以国际条约作为法律依据 3中国凝聚全球生态治理合力,为世界提供更多公共产品 4世界各国以生物安全为基础,维护共同发展利益 A. 12 B. 14 C.23 D. 34"
2024_东城_二模,13,UNKNOWN_OR_MIXED,B2_ECONOMICS,included,objective,question,STRONG_BLOCKER_B2_URBANIZATION_PUBLIC_SERVICE,"城镇化,农业劳动生产率,城乡融合,基本公共服务制度",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_东城_二模.txt,"2019—2023年中国常住人口城镇化率 (% 70 68- 66 64 66.16 63.89 64.72 65.22 62.21 62 60 - 2019 —上 2020 2021 2022 2023(年) 读上图,以下推断合理的是 1农业劳动生产率不断提高,城乡融合推动协调发展 2促进农业适度规模经营,确保农村土地归集体所有 3区域发展差距正在逐步缩小,助力和美乡村建设 4推进以人核心的新型城镇化,要建立健全基本公共服务制度 A. 12 B. 14. C.23 D. 34"
2024_东城_二模,9,UNKNOWN_OR_MIXED,XB3_EXCLUDED,module-boundary-excluded,objective,question,STRONG_BLOCKER_XB3_NECESSARY_CONDITION,"只有,必然成立,充分必要判断",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_东城_二模.txt,"爱因斯坦思想深刻、思维创新。他不仅是位伟大的科学家,还是一位思想家和人道 主义者,同时也是一个充满个性的有趣人物。他一生的经历表明,只有拥有诙谐幽 默、充满个性的独立人格,才能做到思想深刻、思维创新。根据材料,下列结论必然 成立的是 A. 有的思想家是充满个性的有趣人物,但不是人道主义者 B. 有些伟大的科学家拥有诙谐幽默、充满个性的独立人格 C.科学家一旦诙谐幽默、充满个性,就能做到思想深刻、思维创新 D. 有些人道主义者诙谐幽默、充满个性,但做不到思想深刻、思维创新 高三思想政治 第3页(共11页) ===== 试卷.pdf page 4 ====="
2024_丰台_二模,9,UNKNOWN_OR_MIXED,XB3_EXCLUDED,module-boundary-excluded,objective,question,STRONG_BLOCKER_XB3_CONDITIONAL_JUDGMENT,"判断正确,如果,除非,条件判断",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_丰台_二模.txt,"没有民主就没有社会主义,就没有社会主义的现代化。对此,以下判断正确的是 A.如果有民主,就有社会主义,就有社会主义现代化 B. 有了社会主义,有了社会主义的现代化,才有了民主 C. 没有社会主义,没有社会主义的现代化,就没有民主 D. 除非有民主,否则就没有社会主义,就没有社会主义的现代化"
2024_海淀_一模,12,UNKNOWN_OR_MIXED,B2_ECONOMICS,included,objective,question,STRONG_BLOCKER_B2_ENTERPRISE_MARKET_SUBJECT,"铁路企业,旅客需求,市场主体,供求矛盾",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/4bc0edec2a08a90e.txt,"为更好满足旅客群体多样化、个性化的需求,今年春运期间,高铁列车在增加“静音车厢” 的基础上开设“遛娃舱” ,供带娃家庭使用。家长可以陪伴孩子一起玩游戏,也可以委托乘 务员进行代管。高铁“溜娃舱”的设置 1体现铁路企业主动作为,为不同需求的旅客带来良好出行体验 2有利于缓解春运高铁运力的供求矛盾,激发各类市场主体活力 3表明政府更精准地解决群众实际问题,着力实现社会公平正义 4将儿童友好的理念和行动落实落细,满足人民的美好生活需要 A.12 B.14 C.23 D.34"
2024_海淀_期中,12,UNKNOWN_OR_MIXED,B2_ECONOMICS,included,objective,question,STRONG_BLOCKER_B2_ENTERPRISE_MARKET_SUBJECT,"铁路企业,旅客需求,市场主体,供求矛盾",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_海淀_期中.txt,"为更好满足旅客群体多样化、个性化的需求,今年春运期间,高铁列车在增加“静音车厢” 的基础上开设“遛娃舱”,供带娃家庭使用。家长可以陪伴孩子一起玩游戏,也可以委托乘 务员进行代管。高铁“溜娃舱”的设置 1体现铁路企业主动作为,为不同需求的旅客带来良好出行体验 2有利于缓解春运高铁运力的供求矛盾,激发各类市场主体活力 3表明政府更精准地解决群众实际问题,着力实现社会公平正义 4将儿童友好的理念和行动落实落细,满足人民的美好生活需要 A. 12 B. 14 C. 23 D. 34"
2024_石景山_一模,1,UNKNOWN_OR_MIXED,B3_POLITICS_RULE_OF_LAW,included,objective,question,STRONG_BLOCKER_B3_PARTY_ARMY_LEADERSHIP,"党指挥枪,党的绝对领导,人民军队,思想政治工作",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f581620be44a4c2c.txt,"“党指挥枪”的三个历史节点示意图 “军叫工农革命,旗号镰刀斧头。”困难重重的时刻,如何使一支成分复杂的工农武 装脱胎换骨成为新型人民军队?从南昌起义到三湾改编再到古田会议,终于给出了 历史的回答。今天,无论使命任务如何变化,人民军队都不能忘记自己的“根”。 这启示我们 1保证党领导人民有效治理国家,需要坚持依法执政 2坚持党对军队的绝对领导,是人民军队的建军之本 3要以马克思主义为指导,不断推进军事理论现代化 4实现强军目标,必须筑牢思想政治工作这条“生命线” A.12 B.13 C.24 D.34"
2024_石景山_一模,2,UNKNOWN_OR_MIXED,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,objective,question,STRONG_BLOCKER_B4PRACTICE_TECH_PRODUCTIVITY,"农业生产实践,生产工具,生产力,规律",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f581620be44a4c2c.txt,"我国自主研制的北斗卫星导航系统已在农业领域得到广泛应用:将卫星导航定位与 电子控制等技术相结合,可以实现农机自动驾驶,精准收割;可以昼夜连续工作, 加快作业速度;可以整理土地和变量施肥,改善农作物生长环境......和以往的农业 生产方式相比,北斗系统在农业生产中的应用表明 1农业生产实践具有历史性,其形式和水平不断发展 2农业生产工具的更新,促进了农村生产关系的变革 3科技创新推动农业生产力的发展和农业现代化的进程 4人们能够利用科技改变农作物生长的客观环境和规律 A.12 B.13 C.24 D.34"
2024_西城_一模,12,UNKNOWN_OR_MIXED,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,objective,question,STRONG_BLOCKER_B4P_AFFIRMATION_NEGATION,"肯定,否定,联系",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/2aa2ee045f75ecd8.txt,"黑格尔说,人们总以为肯定和否定具有绝对的区别,其实两者是相同的。我们甚至可以称肯定为否定,也可以称否定为肯定。譬如说一条往东的路同时也是一条往西的路。对此理解正确的是 A.肯定和否定没有界限,肯定即否定,否定即肯定 B.有些事物包含着肯定因素,另有一些事物则包含着否定因素 C.肯定与否定互为条件,且只存在于它们的联系中 D.处理复杂问题,既不能持肯定态度,也不能持否定态度"
2024_西城_一模,3,UNKNOWN_OR_MIXED,B3_POLITICS_RULE_OF_LAW,included,objective,question,STRONG_BLOCKER_B3_PARTY_CADRES_VALUE_PURSUIT,"党员干部,价值追求,奋斗姿态",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/2aa2ee045f75ecd8.txt,"东晋谢安镇守广陵期间,发现甘棠西北为湖,地势西高东低,旱涝频繁交替,庄稼连年歉收,百姓苦不堪言,便组织人手在湖上筑起拦水大堤灌溉农田,“随时蓄泄,岁用丰稔”。一段时间后,远近渔农聚集甘棠,生产作业,遂成繁荣集镇。《晋书》评价谢安此功曰:“在官无当时誉,去后为人所思。”这启示党员干部,应具备的价值追求和奋斗姿态是 A.穷则独善其身,达则兼济天下 B.分毫不取民膏脂,心中自存清廉尺 C.学以益才,砺以致刃 D.功成不必在我,功成必定有我"
