question_id,year,district,exam_stage,question_no,evidence_level,corpus_bucket,coverage_status,framework_run_status,sentence_bank_status,material_atoms_count,rubric_atoms_count,deliverable_section_status,pending_or_exclusion_note,source_locator
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,8,6,正文示范,none_in_patched_corpus,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text lines 16-26; F0045:pages 4/8
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,10,1,正文示范,none_in_patched_corpus,F0047:text | F0270:text
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,6,1,正文示范,none_in_patched_corpus,F0014:text | F0239:text
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,15,17,正文示范,none_in_patched_corpus,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,reference_only,open_reference_or_weak,covered_open_or_reference,OPEN_OR_REFERENCE,present,9,1,开放容器/弱证据或综合边界示范,none_in_patched_corpus,F0025:text | F0026:page 7 | F0249:text | F0251:page 7
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,9,1,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,22,7,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0027:page 50 | F0027:page 52 | F0252:page 50 | F0252:page 52
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,9,6,正文示范,none_in_patched_corpus,F0056:text | F0276:text | F0055:slides/extracted lines 308-309; F0056:text lines 98-131
CC0061_2024_西城_一模_18,2024,西城,一模,18,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,12,3,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text
CC0063_2024_西城_二模_16,2024,西城,二模,16,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,8,1,正文示范,none_in_patched_corpus,F0064:text | F0065:text | F0067:text | F0286:text | F0287:text | F0288:text
CC0077_2025_东城_一模_19,2025,东城,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,15,12,正文示范,none_in_patched_corpus,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
CC0084_2025_东城_二模_19,2025,东城,二模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,13,11,正文示范,none_in_patched_corpus,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,6,1,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,4,1,正文示范,none_in_patched_corpus,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,13,7,正文示范,none_in_patched_corpus,F0132:page 16 | F0132:page 7 | F0131:slides 45-47
CC0125_2025_延庆_一模_19,2025,延庆,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,10,5,正文示范,none_in_patched_corpus,F0078:page 7 | F0078:page 9 | F0296:text around Q19; F0295:page 10
CC0131_2025_房山_一模_19,2025,房山,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,14,10,正文示范,none_in_patched_corpus,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
CC0137_2025_昌平_二模_20,2025,昌平,二模,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,24,15,正文示范,none_in_patched_corpus,F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12
CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,11,25,正文示范,none_in_patched_corpus,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text
