patch_id,target_file,target_id,question_id,patch_type,current_value,suggested_value,reason,evidence_level_impact,source_locator,must_fix_before_reasoner
AP_0001,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0014:text | F0239:text,yes
AP_0002,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0077_2025_东城_一模_19_01,CC0077_2025_东城_一模_19,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4,yes
AP_0003,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0084_2025_东城_二模_19_01,CC0084_2025_东城_二模_19,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3,yes
AP_0004,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0092_2025_东城_期末_19_1_01,CC0092_2025_东城_期末_19_1,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
AP_0005,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0131_2025_房山_一模_19_01,CC0131_2025_房山_一模_19,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3,yes
AP_0006,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0157_2025_朝阳_期末_20_01,CC0157_2025_朝阳_期末_20,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20,yes
AP_0007,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0180_2025_海淀_期末_20_01,CC0180_2025_海淀_期末_20,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0139:text | F0138:slides 39-41; F0139:text Q20,yes
AP_0008,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0189_2025_石景山_一模_20_01,CC0189_2025_石景山_一模_20,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text,yes
AP_0009,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0195_2025_西城_一模_20_01,CC0195_2025_西城_一模_20,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text,yes
AP_0010,merged_ask_atoms_subjective_for_reasoners_claudecode_corrected.csv,A_CC0213_2025_门头沟_一模_20_01,CC0213_2025_门头沟_一模_20,update,fn=不确定 task=占位符,基于 full_question_text 重新填写 ask_function_plain/student_task_plain；不可保留占位符,ask_atom 当前为占位符无法驱动推理,no_level_change,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20,yes
