case_id,source_question_id,new_question_id,action_bucket,final_count_bucket,evidence_level,should_enter_revised_baodian,should_support_core_code,requires_atom_patch,revised_count_status,reason,source_locator,source_question_present_in_original,canonical_output_handling,canonical_output_question_id,included_in_boundary_patched_corpus,notes
CC0001_2024_丰台_一模_16,CC0001_2024_丰台_一模_16,,exclude_duplicate_mismatch,excluded,formal,no,no,no,no,剔除：Q16 正文/细则是《政治与法治》四下基层，ask_text 串入 CC0002 法律题。,F0044:text | F0045:page 4 | F0045:page 8,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0026_2024_朝阳_二模_18,CC0026_2024_朝阳_二模_18,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：细则主干为《政治与法治》全过程人民民主，另有选择题/OCR 串页。,F0018:page 2 | F0018:page 7,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0040_2024_海淀_一模_19,CC0040_2024_海淀_一模_19,CC0040_2024_海淀_一模_19,keep_reference_open,open_reference_or_weak,reference_only,yes,no,no,yes,弱示范：虚拟数字人、著作权、不正当竞争方向明确，但只有 reference_only，不支撑核心。,F0026:page 7,yes,included_existing_question,CC0040_2024_海淀_一模_19,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0045_2024_海淀_二模_19,CC0045_2024_海淀_二模_19,CC0045_2024_海淀_二模_19,recover_formal_low_frequency,core_recovered,formal,yes,no,no,yes,恢复为低频正式法律样本：遗赠扶养协议、继承、养老价值。GPT 明确不建议自动扩主干核心。,F0054:page 7,yes,included_existing_question,CC0045_2024_海淀_二模_19,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0047_2024_海淀_二模_21,CC0047_2024_海淀_二模_21,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：新质/民生综合题，采分来自党、制度、经济、治理、文化等模块。,F0054:page 8,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0051_2024_海淀_期中_21_1,CC0051_2024_海淀_期中_21_1,CC0051_2024_海淀_期中_21_1,recover_formal_low_frequency,core_recovered,formal,yes,no,no,yes,恢复为低频正式法律样本：婚姻法、民法典共同债务、良法评析，注意必修三化风险。,F0027:page 50 | F0027:page 52,yes,included_existing_question,CC0051_2024_海淀_期中_21_1,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0061_2024_西城_一模_18,CC0061_2024_西城_一模_18,CC0061_2024_西城_一模_18,recover_formal_low_frequency,core_recovered,formal,yes,no,no,yes,恢复为低频正式法律样本：成年子女赡养义务、精神慰藉、督促履行义务告知书。,F0058:text | F0061:text,yes,included_existing_question,CC0061_2024_西城_一模_18,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0070_2024_顺义_二模_19,CC0070_2024_顺义_二模_19,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：经济/国际/马克思主义中国化综合题，非法律规则采分。,F0068:text,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0091_2025_东城_期末_19,CC0091_2025_东城_期末_19,,split_or_deduplicate_parent,not_counted_parent_unit,formal,partial,no,no,pending,父题含法律小问、利益主体、民主协商小问；整题不计入法律题，法律小问由拆分项承载。,F0129:slides 11-15,yes,removed_parent_replaced_by_split_or_existing_child,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,recover_core_existing_unit,core_recovered,formal,yes,yes,no,yes,恢复并可支撑既有核心：充电柜方案、消防规定、共有部分用途、业主共有权/相邻权/侵权。,F0129:slide 11 | F0129:slide 12,yes,included_existing_question,CC0092_2025_东城_期末_19_1,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0094_2025_东城_期末_19_3,CC0094_2025_东城_期末_19_3,CC0094_2025_东城_期末_19_3_LAW_PENDING,split_or_deduplicate,pending_split_not_open,reference_only,partial,no,yes,pending,GPT 修正：不能整题 keep_reference_open。小问法律+政治混合，且当前 rubric atoms 串到新能源/欧盟/贸易保护；须拆出法律 2 分相邻关系后再决定。,F0129:slide 14,yes,tracked_pending_not_framework_corpus,CC0094_2025_东城_期末_19_3_LAW_PENDING,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0118_2025_丰台_期末_18_2,CC0118_2025_丰台_期末_18_2,CC0118_2025_丰台_期末_18_2_LAW,reextract_needed,duplicate_or_reextract_pending,formal,no,no,yes,pending,当前行绑定经济题；后续 PPT 才出现尹某劳动合同裁判反馈，可能与 CC0119 去重，需定向重抽。,F0131:slide 31,yes,tracked_pending_not_framework_corpus,CC0118_2025_丰台_期末_18_2_LAW,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0132_2025_房山_一模_20,CC0132_2025_房山_一模_20,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：奋斗主题综合论述，非法律规则采分。,F0081:page 15,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0162_2025_海淀_一模_18,CC0162_2025_海淀_一模_18,CC0162_2025_海淀_一模_18,keep_reference_open,open_reference_or_weak,reference_only,yes,no,no,yes,弱示范：主题乐园年卡、格式合同、诚信、解除合同；reference_only，不作满分闭环。,F0090:page 5 | F0090:page 8,yes,included_existing_question,CC0162_2025_海淀_一模_18,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0168_2025_海淀_二模_20,CC0168_2025_海淀_二模_20,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：共享发展/国际组织/粮食安全等非选必二法律采分。,F0120:page 43,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0182_2025_海淀_期末_22,CC0182_2025_海淀_期末_22,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：愚公精神综合论述，法律片段为串页或干扰。,F0138:slide 60 | F0138:slide 61,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0189_2025_石景山_一模_20,CC0189_2025_石景山_一模_20,CC0189_2025_石景山_一模_20,recover_core_existing_unit,core_recovered,formal,yes,yes,no,yes,恢复并可支撑既有核心：委托合同违约、反不正当竞争、创新保护。,F0092:page 8 | F0092:page 11,yes,included_existing_question,CC0189_2025_石景山_一模_20,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0218_2025_顺义_一模_16,CC0218_2025_顺义_一模_16,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：哪吒、哲学与文化、联系发展矛盾等采分，非法律题。,F0098:page 13,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0229_2026_东城_一模_18,CC0229_2026_东城_一模_18,CC0229_2026_东城_一模_18,recover_core_atom_patched,core_recovered,formal,yes_after_section_regen,yes,no,yes,已完成 CC0229 rubric_atom 边界补丁：从 F0153/F0146 替换为知识产权、诉讼调解、惩罚性赔偿、恶意诉讼等 8 条 formal 法律细则原子；可计入严格闭合核心，但最终宝典相关段落仍需重生成。,F0153:page 7-8 | F0146:slide 3-4,yes,included_existing_question,CC0229_2026_东城_一模_18,yes,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0240_2026_东城_二模_21,CC0240_2026_东城_二模_21,,exclude_nonlaw,excluded,formal,no,no,no,no,剔除：金融五篇大文章/党和政府经济职能/辩证思维。,F0186:text,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
CC0250_2026_丰台_一模_19,CC0250_2026_丰台_一模_19,,exclude_nonlaw,excluded,formal,no,no,no,no,GPT 明确要求从 v2 开放容器删除：本题为人类命运共同体/2030 议程/可持续发展，复练页法律提示不能带动恢复。,F0156:slide 42,yes,removed_excluded_nonlaw_or_mismatch,,no,Generated by boundary_patched_20260519 canonical integration; does not overwrite original merged files.
