suite_id,year,district,stage,suite_path,paper_path,paper_format,paper_text_layer,rubric_present,rubric_count,rubric_formats,rubric_scan_flag,oversize_flag,status,extract_method,notes
S01,2024,东城,一模,2024模拟题/2024东城一模,2024模拟题/2024东城一模/试卷/试卷.pdf,.pdf,scan,yes,2,.pdf;.pptx,scan_pdf_present,big>17MB,pending,ocr_render,
S02,2024,朝阳,一模,2024模拟题/2024朝阳一模,2024模拟题/2024朝阳一模/试卷/试卷.pdf,.pdf,text,yes,3,.docx;.pptx,,big>7MB,pending,direct_text,
S03,2024,朝阳,二模,2024模拟题/2024朝阳二模,2024模拟题/2024朝阳二模/试卷/试卷.pdf,.pdf,text,yes,2,.docx;.pdf,,,pending,direct_text,
S04,2024,朝阳,期中,2024模拟题/2024朝阳期中,2024模拟题/2024朝阳期中/试卷/试卷.pdf,.pdf,text,yes,3,.docx;.rtf,,,pending,direct_text,
S05,2024,海淀,一模,2024模拟题/2024海淀一模,2024模拟题/2024海淀一模/试卷/试卷.pdf,.pdf,text,yes,2,.docx,,,pending,direct_text,
S06,2024,海淀,期中,2024模拟题/2024海淀期中,2024模拟题/2024海淀期中/试卷/试卷.pdf,.pdf,text,yes,1,.pdf,,big>5MB,pending,direct_text,
S07,2024,东城,二模,2024模拟题/东城二模,2024模拟题/东城二模/试卷/试卷.pdf,.pdf,scan,yes,12,.docx;.pdf;.pptx,scan_pdf_present,,pending,ocr_render,
S08,2024,丰台,一模,2024模拟题/丰台一模,2024模拟题/丰台一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S09,2024,丰台,二模,2024模拟题/丰台二模,2024模拟题/丰台二模/试卷/试卷.pdf,.pdf,scan,yes,1,.docx,,,pending,ocr_render,
S10,2024,海淀,二模,2024模拟题/海淀二模,2024模拟题/海淀二模/试卷/试卷.pdf,.pdf,text,yes,2,.docx,,,pending,direct_text,
S11,2024,石景山,一模,2024模拟题/石景山一模,2024模拟题/石景山一模/试卷/试卷.docx,.docx,native,yes,1,.pptx,,big>10MB,pending,direct_text,
S12,2024,西城,一模,2024模拟题/西城一模,2024模拟题/西城一模/试卷/试卷.docx,.docx,native,yes,2,.docx,,,pending,direct_text,
S13,2024,西城,二模,2024模拟题/西城二模,2024模拟题/西城二模/试卷/试卷.docx,.docx,native,yes,4,.docx,,,pending,direct_text,
S14,2024,顺义,二模,2024模拟题/顺义思政二模,2024模拟题/顺义思政二模/试卷/试卷.docx,.docx,native,yes,1,.docx,,,pending,direct_text,
S15,2025,东城,一模,2025模拟题/2025各区一模/2025东城一模,2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,.pdf,text,yes,1,.pdf,,,pending,direct_text,
S16,2025,丰台,一模,2025模拟题/2025各区一模/2025丰台一模,2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S17,2025,延庆,一模,2025模拟题/2025各区一模/2025延庆一模,2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S18,2025,房山,一模,2025模拟题/2025各区一模/2025房山一模,2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,.pdf,text,yes,1,.pdf,,,pending,direct_text,
S19,2025,朝阳,一模,2025模拟题/2025各区一模/2025朝阳一模,2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,.pdf,text,yes,5,.doc;.pdf,scan_pdf_present,,pending,direct_text,
S20,2025,海淀,一模,2025模拟题/2025各区一模/2025海淀一模,2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,big>9MB,pending,direct_text,
S21,2025,石景山,一模,2025模拟题/2025各区一模/2025石景山一模,2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,.pdf,text,yes,1,.doc,,,pending,direct_text,
S22,2025,西城,一模,2025模拟题/2025各区一模/2025西城一模,2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
S23,2025,门头沟,一模,2025模拟题/2025各区一模/2025门头沟一模,2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,.pdf,text,yes,1,.doc,,,pending,direct_text,
S24,2025,顺义,一模,2025模拟题/2025各区一模/2025顺义一模,2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,.pdf,text,yes,1,.docx,,,pending,direct_text,
