question_id,year,district,exam_stage,question_no,framework_run_status,evidence_level,mat_atoms,rubric_atoms,score,flags,ask_excerpt,trigger,rubric_keywords
CC0137_2025_昌平_二模_20,2025,昌平,二模,20,PASS,formal,24,15,14.6,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用《法律与生活》知识，完成裁判理由。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,法律与生活 著作权 著作权 侵权责任 著作权 著作权 著作权 违约责任 违约责任
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,PASS,formal,24,16,14.6,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用所学知识展开论述；逻辑严密，条理清晰 水平3 | 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 | 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 | 应答与试题无关；或重复试题内,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,民法典；民事行为能力；经营者；侵权责任；原告；被告 承诺；经营者 法律与生活 承诺 承诺；违约金；欺诈；经营者；惩罚性赔偿
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,PASS,formal,21,9,14.6,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任；婚姻家庭/继承,运用《法律与生活》知识，谈谈你对这句话的理解。,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,侵权责任 违约责任；相邻关系；侵权责任 版权；法律与生活
CC0143_2025_朝阳_一模_19,2025,朝阳,一模,19,PASS,formal,11,25,14.35,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,诉讼请求；法律与生活 原告 民法典；欺诈 欺诈；三倍赔偿；诉讼请求 要约；承诺；原告 可撤销；欺诈 欺诈；消费者权益保护法；三倍赔偿；知情权；自主选择权；公平交易权；诉讼请求 诉讼请求 欺诈；隐私权 三倍赔偿；起诉；诉讼请求 违约责任；隐私权；消费者权益保护法；三倍赔偿；诉讼请求 民法典 消费者权益保护法 欺诈 诉讼请求
CC0077_2025_东城_一模_19,2025,东城,一模,19,PASS,formal,15,12,13.6,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任；婚姻家庭/继承,,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,调解书 劳动者；用人单位 遗产 劳动者 劳动者 民法典；遗产 民事主体；遗产
CC0131_2025_房山_一模_19,2025,房山,一模,19,PASS,formal,14,10,13.6,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,知识产权 知识产权；惩罚性赔偿 劳动者
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,PASS,formal,14,9,13.6,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,合同；劳动合同 合同；劳动合同
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,PASS,formal,15,17,13.4,裁判理由/法院判决；评析行为/观点判断；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,占有 劳动者 占有 劳动者
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,PASS,formal,13,7,13.3,裁判理由/法院判决；权利保护/侵权责任；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用《法律与生活》相关知识阐释法院的裁判理由”→可分析法院裁判对构建合理健康的 劳动关系的意义。,劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,合同；劳动合同
CC0084_2025_东城_二模_19,2025,东城,二模,19,PASS,formal,13,11,13.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,民事行为能力；身体权；健康权 名誉权 格式条款 民事行为能力 民法典；格式条款 格式条款；名誉权
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,PASS,formal,15,10,13.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,不正当竞争 不正当竞争 侵权 侵权 合同
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,PASS,formal,24,6,13.2,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用法治知识，设问指向是阐释定分止争的价值，运用 《法律与生活》的知识进行说明。,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,调解 相邻关系
CC0244_2026_东城_期中_18,2026,东城,期中,18,PASS,formal,9,8,13.05,评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,法律与生活 要约；承诺；违约责任；侵权责任 要约；承诺；违约责任；欺诈；身体权；健康权；产品责任；知情权 产品责任；举证责任 要约；承诺 违约责任；物权；侵权责任
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,PASS,formal,16,8,13.0,裁判理由/法院判决；评析行为/观点判断；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,相邻/民法原则事实；意义/价值收束任务,民法典；相邻关系
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,PASS,formal,12,5,12.7,裁判理由/法院判决；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；劳动/就业权益；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,竞业限制；知识产权 竞业限制 竞业限制
CC0229_2026_东城_一模_18,2026,东城,一模,18,PASS_RECOVERED,formal,10,8,12.7,裁判理由/法院判决；评析行为/观点判断；权利保护/侵权责任；合同/诚信履约；知识产权/创新保护；纠纷解决/程序路径；制度意义/社会经济价值；消费者权益/经营者责任,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,专利权归属纠纷；诉讼调解；植物新品种权侵权；惩罚性赔偿；恶意诉讼,公正司法；以事实为依据，以法律为准绳；司法裁判导向作用 知识产权保护；保护创新；创新活力 诉讼调解；调解；专利权归属纠纷 调解；纠纷实质性化解；以和为贵；司法效率；节约司法资源 植物新品种权；知识产权侵权；惩罚性赔偿；停止侵害；增加侵权成本 警示规范；合法权益；市场秩序；公平竞争；诚信原则 恶意诉讼；滥用诉讼权利；驳回诉讼请求 诚信原则；权利行使界限；权利义
