expansion_decision_id,source_suggestion_id,candidate_label,decision,new_or_revised_code_label,affected_existing_code_ids,supporting_question_ids,supporting_rubric_atom_ids_or_patch_atom_ids,supporting_material_atom_ids,evidence_level_summary,what_student_must_judge,material_trigger_pattern,legal_knowledge_or_rule_pattern,rubric_reward_pattern,full_score_sentence_pattern,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,counterexamples_or_limits,confidence,reason
DEC_001,EXP_008,知识产权或不正当竞争司法保护四步链，裁剪版,accept_new_code,CODE_COWORK_008_IP_UC_JUDICIAL_PROTECTION_CHAIN,NA,CC0131_2025_房山_一模_19|CC0206_2025_西城_期末_19|CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18|CC0319_2026_海淀_期末_19|CC0103_2025_丰台_一模_19,R_CC0131_2025_房山_一模_19_02|R_CC0131_2025_房山_一模_19_03|R_CC0131_2025_房山_一模_19_05|R_CC0131_2025_房山_一模_19_06|R_CC0206_2025_西城_期末_19_01|R_CC0229_2026_东城_一模_18_03|R_CC0229_2026_东城_一模_18_05|R_CC0229_2026_东城_一模_18_07|R_CC0283_2026_朝阳_一模_18_02|R_CC0283_2026_朝阳_一模_18_03|R_CC0283_2026_朝阳_一模_18_04|R_CC0283_2026_朝阳_一模_18_05|R_CC0319_2026_海淀_期末_19_01|R_CC0103_2025_丰台_一模_19_01,M_CC0131_2025_房山_一模_19_01|M_CC0131_2025_房山_一模_19_02|M_CC0131_2025_房山_一模_19_03|M_CC0131_2025_房山_一模_19_04|M_CC0206_2025_西城_期末_19_04|M_CC0206_2025_西城_期末_19_05|M_CC0206_2025_西城_期末_19_07|M_CC0206_2025_西城_期末_19_08|M_CC0229_2026_东城_一模_18_02|M_CC0229_2026_东城_一模_18_03|M_CC0229_2026_东城_一模_18_05|M_CC0229_2026_东城_一模_18_08|M_CC0229_2026_东城_一模_18_09|M_CC0229_2026_东城_一模_18_10|M_CC0283_2026_朝阳_一模_18_01|M_CC0283_2026_朝阳_一模_18_02|M_CC0283_2026_朝阳_一模_18_03|M_CC0283_2026_朝阳_一模_18_04|M_CC0283_2026_朝阳_一模_18_05|M_CC0319_2026_海淀_期末_19_02|M_CC0319_2026_海淀_期末_19_03|M_CC0319_2026_海淀_期末_19_05|M_CC0319_2026_海淀_期末_19_07|M_CC0103_2025_丰台_一模_19_01|M_CC0103_2025_丰台_一模_19_03|M_CC0103_2025_丰台_一模_19_04,formal强证据，但CC0103与CC0131同基础案例，证据强度需降权,判断行为属于知识产权侵权、不正当竞争、商业诋毁、恶意诉讼或权利滥用，并识别法院司法手段,技术秘密、植物新品种权、专利权归属、抢注混淆、抢票软件、恶意知识产权诉讼、惩罚性赔偿、调解、驳回,反不正当竞争法、知识产权保护、民法典惩罚性赔偿、诚信原则、权利边界,奖励行为定性、规则援引、司法手段、创新或市场秩序或司法示范意义,某主体的某行为构成不正当竞争或知识产权侵权，依据相应法律，法院通过调解、惩罚性赔偿、停止侵害或驳回恶意诉讼，保护创新主体权益，维护公平竞争秩序，激励创新,高，创新生态和营商环境必须落到具体主体与秩序,高，惩罚性赔偿和不正当竞争不能写成完整法考构成清单,低到中，创新和营商环境表达需限定在司法保护与市场秩序,CC0143是消费者欺诈反例；RECOVER_2026_西城_二模_18_2只能AI权责开放参考,high,新增成立，但必须裁剪Cowork支撑范围
DEC_002,EXP_001R,CODE_COWORK_001三段式单元格子型,revise_existing_code,CODE_COWORK_001_ADD_CELL_LAW_FACT_VALUE_SUBTYPE,CODE_COWORK_001,CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0137_2025_昌平_二模_20|RECOVER_2025_海淀_二模_18,R_CC0189_2025_石景山_一模_20_02|R_CC0189_2025_石景山_一模_20_03|R_CC0189_2025_石景山_一模_20_04|R_CC0213_2025_门头沟_一模_20_M17_03|R_CC0213_2025_门头沟_一模_20_M17_04|R_CC0213_2025_门头沟_一模_20_M17_07|R_CC0213_2025_门头沟_一模_20_M17_08|R_CC0214_2025_门头沟_一模_20_2_02|R_CC0214_2025_门头沟_一模_20_2_03|R_CC0214_2025_门头沟_一模_20_2_04|R_CC0137_2025_昌平_二模_20_05|R_CC0137_2025_昌平_二模_20_06|R_CC0137_2025_昌平_二模_20_07|R_RECOVER_2025_海淀_二模_18_02|R_RECOVER_2025_海淀_二模_18_03|R_RECOVER_2025_海淀_二模_18_08,M_CC0189_2025_石景山_一模_20_05|M_CC0189_2025_石景山_一模_20_06|M_CC0189_2025_石景山_一模_20_12|M_CC0189_2025_石景山_一模_20_16|M_CC0189_2025_石景山_一模_20_18|M_CC0213_2025_门头沟_一模_20_07|M_CC0213_2025_门头沟_一模_20_11|M_CC0213_2025_门头沟_一模_20_12|M_CC0213_2025_门头沟_一模_20_13|M_CC0214_2025_门头沟_一模_20_2_10|M_CC0214_2025_门头沟_一模_20_2_11|M_CC0214_2025_门头沟_一模_20_2_12|M_CC0137_2025_昌平_二模_20_15|M_CC0137_2025_昌平_二模_20_16|M_CC0137_2025_昌平_二模_20_17|M_RECOVER_2025_海淀_二模_18_01|M_RECOVER_2025_海淀_二模_18_03|M_RECOVER_2025_海淀_二模_18_04,formal强证据,识别每个表格列头或补全格要求法理依据、事实分析、意义或保障作用中的哪一类,表格、参考示例、裁判要点、裁判理由、法律依据、事实依据、现实意义、保障作用,具体法律名称加要件名词，合同、著作权、劳动合同、反不正当竞争、商标权,每列或每格独立采点，法理、事实、意义不可互相替代,法律依据格写根据某法或民法典规定，事实格写本案材料事实与要件对应，意义格写有利于某主体或秩序,中到高,中,低,CC0084等普通表格题不必然要求三段列头,high,同意修订001，但只作为表格独立采点的子型
DEC_003,EXP_002R,CODE_COWORK_002原则制度典型案例意义分支，裁剪版,revise_existing_code,CODE_COWORK_002_ADD_PRINCIPLE_INSTITUTION_CASE_SIGNIFICANCE_BRANCH,CODE_COWORK_002,CC0019_2024_朝阳_一模_19|CC0054_2024_石景山_一模_17|CC0045_2024_海淀_二模_19|CC0063_2024_西城_二模_16|CC0223_2025_顺义_一模_19,PATCH_CC0019_R01|PATCH_CC0019_R02|PATCH_CC0019_R03|PATCH_CC0019_R04|PATCH_CC0019_R05|PATCH_CC0019_R06|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06|R_CC0045_2024_海淀_二模_19_01|R_CC0063_2024_西城_二模_16_01|R_CC0223_2025_顺义_一模_19_M17_04|R_CC0223_2025_顺义_一模_19_M17_05|R_CC0223_2025_顺义_一模_19_M17_06,M_CC0019_2024_朝阳_一模_19_02|M_CC0019_2024_朝阳_一模_19_03|M_CC0019_2024_朝阳_一模_19_05|M_CC0019_2024_朝阳_一模_19_06|M_CC0054_2024_石景山_一模_17_01|M_CC0054_2024_石景山_一模_17_06|M_CC0054_2024_石景山_一模_17_09|M_CC0045_2024_海淀_二模_19_01|M_CC0045_2024_海淀_二模_19_04|M_CC0045_2024_海淀_二模_19_08|M_CC0045_2024_海淀_二模_19_09|M_CC0063_2024_西城_二模_16_05|M_CC0063_2024_西城_二模_16_06|M_CC0063_2024_西城_二模_16_08|M_CC0223_2025_顺义_一模_19_01|M_CC0223_2025_顺义_一模_19_03|M_CC0223_2025_顺义_一模_19_15|M_CC0223_2025_顺义_一模_19_17,formal中强证据，CC0019必须用patch,判断意义对象是民法原则、具体制度、典型案例或司法判决，再落到权利主体、秩序和价值收束,诚信原则、公平原则、绿色原则、典型案例、遗赠扶养协议、惩罚性赔偿、相邻关系、多元纠纷解决,民法典基本原则、合同履行、司法定分止争、民事权利边界、相邻关系、消费者权益,奖励原则或制度定位、材料事实对应、对当事人或经营秩序或司法秩序或价值的作用,民法典确立某原则或制度，材料中某事实体现该原则，该处理有利于保护具体主体权益，规范市场或司法秩序，弘扬相应价值,高,低到中,中,RECOVER_2026_西城_二模_18_3只作治理类开放容器；CC0011只作补充证据,medium_high,同意修订002，但裁掉高必修三化治理题作为核心支撑
DEC_004,EXP_007R,CODE_COWORK_007违法识别与救济扩展，需拆分,split_before_use,CODE_COWORK_007_ADD_ISSUE_SPOTTING_REMEDY_SUBTYPES,CODE_COWORK_007,CC0092_2025_东城_期末_19_1|CC0277_2026_房山_二模_18|CC0289_2026_朝阳_二模_18|CC0380_2026_顺义_二模_18_2|RECOVER_2024_东城_二模_19_1|RECOVER_2026_延庆_一模_18_1|RECOVER_2026_门头沟_一模_18_1|CC0125_2025_延庆_一模_19,R_CC0092_2025_东城_期末_19_1_01|R_CC0277_2026_房山_二模_18_04|R_CC0277_2026_房山_二模_18_05|R_CC0277_2026_房山_二模_18_06|R_CC0289_2026_朝阳_二模_18_04|R_CC0289_2026_朝阳_二模_18_06|R_CC0289_2026_朝阳_二模_18_08|R_CC0380_2026_顺义_二模_18_2_P01|R_CC0380_2026_顺义_二模_18_2_P03|R_CC0380_2026_顺义_二模_18_2_P04|RECOVER_2024_东城_二模_19_1_R01|RECOVER_2024_东城_二模_19_1_R02|RECOVER_2024_东城_二模_19_1_R03|RECOVER_2026_延庆_一模_18_1_R01|RECOVER_2026_延庆_一模_18_1_R02|RECOVER_2026_延庆_一模_18_1_R03|RECOVER_2026_门头沟_一模_18_1_R01|RECOVER_2026_门头沟_一模_18_1_R02|RECOVER_2026_门头沟_一模_18_1_R03|R_CC0125_2025_延庆_一模_19_M17_01|R_CC0125_2025_延庆_一模_19_M17_02|R_CC0125_2025_延庆_一模_19_M17_03,M_CC0092_2025_东城_期末_19_1_02|M_CC0092_2025_东城_期末_19_1_05|M_CC0277_2026_房山_二模_18_02|M_CC0277_2026_房山_二模_18_03|M_CC0277_2026_房山_二模_18_04|M_CC0289_2026_朝阳_二模_18_03|M_CC0289_2026_朝阳_二模_18_04|M_CC0289_2026_朝阳_二模_18_06|M_CC0380_2026_顺义_二模_18_2_P01|M_CC0380_2026_顺义_二模_18_2_P02|M_CC0380_2026_顺义_二模_18_2_P03|RECOVER_2024_东城_二模_19_1_M01|RECOVER_2024_东城_二模_19_1_M02|RECOVER_2024_东城_二模_19_1_M03|RECOVER_2026_延庆_一模_18_1_M01|RECOVER_2026_延庆_一模_18_1_M02|RECOVER_2026_门头沟_一模_18_1_M01|RECOVER_2026_门头沟_一模_18_1_M02|RECOVER_2026_门头沟_一模_18_1_M03|M_CC0125_2025_延庆_一模_19_02|M_CC0125_2025_延庆_一模_19_05|M_CC0125_2025_延庆_一模_19_07,formal证据多，但题型异质,判断材料阶段是法律问题识别、合规措施、诉讼请求、调解或公益诉讼,法律问题、法律边界、应对措施、如何保护权利、起诉状、诉讼请求、协商未果、调解、公益诉讼,民事权利救济、侵权责任承担方式、调解仲裁诉讼、起诉事实理由证据时效、公益诉讼,奖励具体权利或违法类型、具体依据、措施或请求、程序路径、实体责任,该场景涉及某权利或违法问题，依据相关法律，应采取审核或保密或起诉等措施，可通过调解仲裁诉讼维权，并请求停止侵害、排除妨碍、赔礼道歉或赔偿损失,高，CC0289明示答必修三不赋分,高，不能越级写行政诉讼或完整民诉格式,中,CC0276公共政策论证不入007；RECOVER_2024_东城_二模_19_1不能要求完整诉状格式,medium_high,同意修订007，但必须拆成子型
DEC_005,EXP_046R,CODE_COWORK_004/006多主体评析与法理依据提醒,revise_existing_code,CODE_COWORK_004_006_ADD_MULTI_ACTOR_SEPARATE_CHAIN,CODE_COWORK_004|CODE_COWORK_006,CC0364_2026_通州_期末_19_1|RECOVER_2026_西城_二模_18_1|CC0238_2026_东城_二模_19,R_CC0364_2026_通州_期末_19_1_01|RECOVER_2026_西城_二模_18_1_R01|RECOVER_2026_西城_二模_18_1_R02|RECOVER_2026_西城_二模_18_1_R03|R_CC0238_2026_东城_二模_19_M17_01|R_CC0238_2026_东城_二模_19_M17_02|R_CC0238_2026_东城_二模_19_M17_03|R_CC0238_2026_东城_二模_19_M17_04,M_CC0364_2026_通州_期末_19_1_03|M_CC0364_2026_通州_期末_19_1_04|M_CC0364_2026_通州_期末_19_1_05|RECOVER_2026_西城_二模_18_1_M01|RECOVER_2026_西城_二模_18_1_M02|M_CC0238_2026_东城_二模_19_05|M_CC0238_2026_东城_二模_19_06|M_CC0238_2026_东城_二模_19_07|M_CC0238_2026_东城_二模_19_08,formal中等证据,判断是否有多个主体或多个请求，各主体行为性质是否分别为侵权、违约、不正当竞争、职业义务违反,乙公司加张某、AI输出加公司注意义务、相邻业主加阻挠主体,侵权、合同违约、不正当竞争、相邻关系、民事主体资格、过错和举证,奖励按主体分别定性、援引依据、事实嵌入、责任结论,主体A行为构成某法律性质，应承担某责任；主体B行为构成另一法律性质，应另行评价,低,中,低到中,CC0364主要支持法理事实意义段；RECOVER_2026_西城_18_1只弱支持AI责任链,medium,可作004/006有限修订，不能另立新code
DEC_006,EXP_LABOR,平台用工劳动关系认定三从属性,open_container_only,OPEN_CONTAINER_PLATFORM_LABOR_SUBORDINATION,NA,CC0025_2024_朝阳_二模_17,R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,M_CC0025_2024_朝阳_二模_17_02|M_CC0025_2024_朝阳_二模_17_03|M_CC0025_2024_朝阳_二模_17_04|M_CC0025_2024_朝阳_二模_17_05,formal但单题孤证,判断人格从属性、经济从属性、组织从属性是否由材料支持,平台派单、奖惩、结算标准、业务组成部分、事实劳动关系争议,劳动关系认定、三从属性,奖励三从属性与事实劳动关系归纳,平台控制劳动过程、收益和组织安排，具有三从属性，双方存在事实劳动关系,中,中,低,65题中无第二个同型正式细则,low,保留开放容器
DEC_007,EXP_MINOR,限制民事行为能力人交易效力与多方过错,open_container_only,OPEN_CONTAINER_MINOR_TRANSACTION_FAULT_ALLOCATION,NA,CC0200_2025_西城_二模_18,R_CC0200_2025_西城_二模_18_01,M_CC0200_2025_西城_二模_18_01|M_CC0200_2025_西城_二模_18_02|M_CC0200_2025_西城_二模_18_03|M_CC0200_2025_西城_二模_18_04,formal但单题孤证,判断行为能力、交易效力、平台过错、监护人过错和公平责任,未成年人大额消费或打赏、平台审核、监护疏忽,限制民事行为能力、法律行为效力、监护义务、民法典157条,奖励效力判断、多方过错、责任分配,未成年人实施与年龄智力不相适应交易，需判断效力，并结合平台和监护人过错分配责任,中,中,低,仅CC0200一题,low,保留开放容器
DEC_008,EXP_FOREIGN,涉外法治公共政策论证,reject,NA,NA,CC0276_2026_房山_二模_17,R_CC0276_2026_房山_二模_17_01,M_CC0276_2026_房山_二模_17_01|M_CC0276_2026_房山_二模_17_02|M_CC0276_2026_房山_二模_17_03|M_CC0276_2026_房山_二模_17_04,formal但模块边界高且单题,判断涉外法治立法、司法、多元解纷、担当维度,外商投资法、涉外海事调解、一站式平台、法治大国,涉外法治建设与治理话语,奖励公共政策维度,NA,高,低,高,单题且偏必修三公共政策,high,拒绝
DEC_009,EXP_BIANXI,综合辨析谈认识类，CC0254与RECOVER房山AI不可合并,split_before_use,OPEN_CONTAINER_AFTER_PATCH_ONLY,NA,CC0254_2026_丰台_二模_18|RECOVER_2026_房山_一模_17_1,PATCH_CC0254_R01|PATCH_CC0254_R02|PATCH_CC0254_R03|PATCH_CC0254_R04|PATCH_CC0254_R05|PATCH_CC0254_R06|PATCH_CC0254_R07|PATCH_CC0254_R08|PATCH_RECOVER_FS17_1_R01|PATCH_RECOVER_FS17_1_R02A|PATCH_RECOVER_FS17_1_R02B|PATCH_RECOVER_FS17_1_R02C,M_CC0254_2026_丰台_二模_18_02|M_CC0254_2026_丰台_二模_18_06|M_CC0254_2026_丰台_二模_18_09|M_CC0254_2026_丰台_二模_18_10|M_CC0254_2026_丰台_二模_18_11|RECOVER_2026_房山_一模_17_1_M01|RECOVER_2026_房山_一模_17_1_M02,Codex已给formal patch，但两个题最小判断不同,CC0254判断法治德治、动物侵权无过错、调解方案；RECOVER房山判断AI不承担主体责任或公司无过错或无实际损害,融通情理、动物侵权、生态修复、AI幻觉赔偿承诺、提示义务,饲养动物侵权无过错责任、调解、民事主体资格、侵权过错和损害,两题各自有给分口径，但不能合成同一辨析code,按各自patch生成，不形成统一句式,高,中,中,CC0254原R01至R08禁用；RECOVER房山2分解释为三选一维度，不能累加,medium,先拆后开放，不能升核心
DEC_010,EXP_REF,reference_only四题,reject,NA,NA,CC0040_2024_海淀_一模_19|CC0162_2025_海淀_一模_18|CC0311_2026_海淀_二模_18_2|CC0353_2026_西城_期末_17,R_CC0040_2024_海淀_一模_19_01|R_CC0162_2025_海淀_一模_18_M17_01|R_CC0311_2026_海淀_二模_18_2_01|R_CC0353_2026_西城_期末_17_01,M_CC0040_2024_海淀_一模_19_01|M_CC0162_2025_海淀_一模_18_01|M_CC0311_2026_海淀_二模_18_2_01|M_CC0353_2026_西城_期末_17_01,reference_only,NA,NA,NA,无正式细则独立原子,NA,NA,NA,NA,只能弱参考,high,硬规则禁止reference_only支撑核心code
