suite_name,year,district,stage,question_anchor_guess,category,topic,matched_term,candidate_signal_status,source_status,inventory_source_type,source_priority,file_name,line_no,hit_line,context,original_path,file,promotion_status
2025海淀二模,2025,海淀,二模,,thinking,创新思维,想象,positive_candidate,lecture_support_candidate,support,,06bdaf7a81b09f88_2025届二模考试讲评0510.txt,98,但这种直白的讲述剥夺了他们品味绘画作品时的想象空间 。欣赏绘画原本是一个,中，真实感受。 / 不过，有人认为虽然《清明上河图3.0》利用技术让观众身临其境快速观赏作品 ， / 但这种直白的讲述剥夺了他们品味绘画作品时的想象空间 。欣赏绘画原本是一个 / 不断自我发现的过程 ，每位观众的阅历不同 ，注意点也会不同 ，而这种差异正是 / 最为宝贵的审美体验 。如果用技术手段统一强化某些局部细节 ，无疑会过滤掉观,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/06bdaf7a81b09f88_2025届二模考试讲评0510.txt,candidate_only_needs_original_source_check
2025海淀二模,2025,海淀,二模,,thinking,创新思维,创新思维,positive_candidate,lecture_support_candidate,support,,06bdaf7a81b09f88_2025届二模考试讲评0510.txt,387,“创新思维”不同设问下可调用的知识混淆；,➢ 知识分类不清 / 选3模块内的知识分类不清——“科学思维”、“辩证思维”、 / “创新思维”不同设问下可调用的知识混淆； / 不同模块的知识分类不清——“群众观点”“社会意识”“一切从 / 实际出发”“认识的反复性、无限性、上升性”“坚持党的领导”等,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/06bdaf7a81b09f88_2025届二模考试讲评0510.txt,candidate_only_needs_original_source_check
2025海淀二模,2025,海淀,二模,,thinking,创新思维,想象,positive_candidate,lecture_support_candidate,pdf,P2_candidate_teaching_or_lecture,SRC_06bdaf7a81b0_2025届二模考试讲评0510_pdf.txt,108,但这种直白的讲述剥夺了他们品味绘画作品时的想象空间 。欣赏绘画原本是一个,中，真实感受。 / 不过，有人认为虽然《清明上河图3.0》利用技术让观众身临其境快速观赏作品 ， / 但这种直白的讲述剥夺了他们品味绘画作品时的想象空间 。欣赏绘画原本是一个 / 不断自我发现的过程 ，每位观众的阅历不同 ，注意点也会不同 ，而这种差异正是 / 最为宝贵的审美体验 。如果用技术手段统一强化某些局部细节 ，无疑会过滤掉观,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_06bdaf7a81b0_2025届二模考试讲评0510_pdf.txt,candidate_only_needs_original_source_check
2025海淀二模,2025,海淀,二模,,thinking,创新思维,创新思维,positive_candidate,lecture_support_candidate,pdf,P2_candidate_teaching_or_lecture,SRC_06bdaf7a81b0_2025届二模考试讲评0510_pdf.txt,423,“创新思维”不同设问下可调用的知识混淆；,➢ 知识分类不清 / 选3模块内的知识分类不清——“科学思维”、“辩证思维”、 / “创新思维”不同设问下可调用的知识混淆； / 不同模块的知识分类不清——“群众观点”“社会意识”“一切从 / 实际出发”“认识的反复性、无限性、上升性”“坚持党的领导”等,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_06bdaf7a81b0_2025届二模考试讲评0510_pdf.txt,candidate_only_needs_original_source_check
2026,2026,,,,thinking,创新思维,创新思维,positive_candidate,lecture_support_candidate,.txt,unknown,SRC_0eef31593a11_19_4_pptx.txt,14,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,从“0”到“1”是从无到有的原始突破；把“1”拉长、推进，则是实现从有到强、从点到链的系统跃升。因此，构建从“单点突破”到“链式升级”的创新生态至关重要，让原创成果走下“书架”摆上“货架”，才能真正把技术优势转化为产业优势、发展胜势。 / （4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分） / [[SLIDE 3]] / 系统观念：,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_0eef31593a11_19（4）.txt,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_0eef31593a11_19_4_pptx.txt,candidate_only_needs_original_source_check
2026,2026,,,,thinking,创新思维,创新思维,positive_candidate,lecture_support_candidate,.txt,unknown,SRC_0eef31593a11_19_4_pptx.txt,24,创新思维：,[[SLIDE 4]] / 创新思维： / 知识：实践、特征（思路多向性、步骤跨越性、结果独特性、思路新、方法新、结果新）、联想、发散、聚合、正向、逆向、超前等,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_0eef31593a11_19（4）.txt,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_0eef31593a11_19_4_pptx.txt,candidate_only_needs_original_source_check
2026,2026,,,,thinking,创新思维,发散思维,positive_candidate,lecture_support_candidate,.txt,unknown,SRC_0eef31593a11_19_4_pptx.txt,30,坚持发散与聚合思维统一，运用发散思维拓展应用场景，优化服务，运用聚合思维围绕科技成果转化这个轴心，整合多方资源，双向合力实现跃升。,分析： / 坚持实践，多向思考，加大政策支持与资金投入，搭建信息共享平台、孵化基地等，降低成果转化成本，鼓励企业立足原创性技术，敢用新手段，大胆试验、勇于应用，让原创技术真正落地见效。 / 坚持发散与聚合思维统一，运用发散思维拓展应用场景，优化服务，运用聚合思维围绕科技成果转化这个轴心，整合多方资源，双向合力实现跃升。 / 坚持超前思维，理性分析现有科技转化内在矛盾，做出正确预见，健全成果评 / 价、产权激励、转化推广等制度，让科研人员有转化意愿，企业有承接胆量，完善创新生态，谋划科技发展与产业趋势长远布局，为建成全球科技创新引擎与枢纽提供持久动力。,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_0eef31593a11_19（4）.txt,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_0eef31593a11_19_4_pptx.txt,candidate_only_needs_original_source_check
2026,2026,,,,thinking,创新思维,聚合思维,positive_candidate,lecture_support_candidate,.txt,unknown,SRC_0eef31593a11_19_4_pptx.txt,30,坚持发散与聚合思维统一，运用发散思维拓展应用场景，优化服务，运用聚合思维围绕科技成果转化这个轴心，整合多方资源，双向合力实现跃升。,分析： / 坚持实践，多向思考，加大政策支持与资金投入，搭建信息共享平台、孵化基地等，降低成果转化成本，鼓励企业立足原创性技术，敢用新手段，大胆试验、勇于应用，让原创技术真正落地见效。 / 坚持发散与聚合思维统一，运用发散思维拓展应用场景，优化服务，运用聚合思维围绕科技成果转化这个轴心，整合多方资源，双向合力实现跃升。 / 坚持超前思维，理性分析现有科技转化内在矛盾，做出正确预见，健全成果评 / 价、产权激励、转化推广等制度，让科研人员有转化意愿，企业有承接胆量，完善创新生态，谋划科技发展与产业趋势长远布局，为建成全球科技创新引擎与枢纽提供持久动力。,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_0eef31593a11_19（4）.txt,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_0eef31593a11_19_4_pptx.txt,candidate_only_needs_original_source_check
2026,2026,,,,thinking,创新思维,超前思维,positive_candidate,lecture_support_candidate,.txt,unknown,SRC_0eef31593a11_19_4_pptx.txt,31,坚持超前思维，理性分析现有科技转化内在矛盾，做出正确预见，健全成果评,坚持实践，多向思考，加大政策支持与资金投入，搭建信息共享平台、孵化基地等，降低成果转化成本，鼓励企业立足原创性技术，敢用新手段，大胆试验、勇于应用，让原创技术真正落地见效。 / 坚持发散与聚合思维统一，运用发散思维拓展应用场景，优化服务，运用聚合思维围绕科技成果转化这个轴心，整合多方资源，双向合力实现跃升。 / 坚持超前思维，理性分析现有科技转化内在矛盾，做出正确预见，健全成果评 / 价、产权激励、转化推广等制度，让科研人员有转化意愿，企业有承接胆量，完善创新生态，谋划科技发展与产业趋势长远布局，为建成全球科技创新引擎与枢纽提供持久动力。 / [[SLIDE 5]],/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_0eef31593a11_19（4）.txt,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_0eef31593a11_19_4_pptx.txt,candidate_only_needs_original_source_check
2026,2026,,,,thinking,创新思维,创新思维,positive_candidate,lecture_support_candidate,.txt,unknown,SRC_0eef31593a11_19_4_pptx.txt,36,系统观念知识1分+创新思维知识1分；,评分细则： / 系统观念知识1分+创新思维知识1分； / 对应以上知识任一分析2分+任一分析1分；,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_双线总控_2026-05-02/codex_lane/extracted_text/SRC_0eef31593a11_19（4）.txt,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_0eef31593a11_19_4_pptx.txt,candidate_only_needs_original_source_check
