"blocker_id","suite","question","part","blocker_type","description","next_action"
"BLK-001","2024海淀二模","17","(1)","evidence_lock","需要 Codex 回源核验 028/029 阅卷总结原文与本轮原题设问是否仍为‘如何体现科学思维’单角度;旧锁定 SCIENCE_ONLY_SOURCE_SUPPORTED 维持本轮口径","Codex 回源核验028/029完整答案;若新源出现三模块并列则提请用户裁定"
"BLK-002","2024朝阳二模","7","","options_missing","已由 Codex A 回源锁定 2024朝阳二模 Q7 完整选项与参考答案D；核心陷阱为A项三段论小项不当扩大","保持外审 hold；提交 GPT Pro / Claude V4-V5 复审后再用于 release 判断"
"BLK-003","2025顺义一模","7","","options_missing","2025顺义一模 第7题(三段论谬误名称纠错-大项不当扩大)的完整选项与答案 letter 待回源核验","Codex 从 2025各区模拟题\2025各区一模\2025顺义一模 试卷回源"
"BLK-004","2025西城二模","16","(2)","evidence_lock","2025西城二模 16(2) 充分条件假言推理:题面+答案细则未在本轮回源","旧索引提示"
"BLK-005","2026海淀一模","17","(1)","options_partial","已由 Codex A 从 2026海淀一模试卷渲染页回源锁定完整问卷选项；逻辑错误仍为划分标准不一/选言判断遗漏","保持外审 hold；提交 GPT Pro / Claude V4-V5 复审后再用于 release 判断"
"BLK-006","2026顺义一模","Q1-Q15","","choice_question_corpus","2026顺义一模 Q1-Q15 已由 Codex A 回源分类；Q2-Q7 进入 Q0031-Q0036，其中 Q6 因旧错肢库冲突仅作 pending row","提交 GPT Pro / Claude V4-V5 复审；冲突解决前不把 Q0035 写入选择题陷阱库"
"BLK-007","2026朝阳一模","Q1-Q15","","choice_question_corpus","2026朝阳一模 Q1-Q15 已由 Codex A 回源分类；Q3/Q5/Q6/Q7 进入 Q0037-Q0040，Q6 正式答案D与旧思维索引冲突已记录","提交 GPT Pro / Claude V4-V5 复审；复审前不作 release 判断"
"BLK-008","2025各套卷","主观题","","subjective_remaining","2025年朝阳一模/二模/期末/海淀一模/东城一模二模/丰台一模二模/西城一模/石景山一模/昌平二模/顺义一模/延庆/门头沟/房山等套卷的细则文件已在 source ledger；Codex A 已新增锁定 2025门头沟一模 Q21(1) 为 Q0041 复合思维题，2025房山一模 Q16(2)/Q16(3) 为 Q0042/Q0043 推理与创新思维题，2025东城期末 Q18(2) 为 Q0044 登月服创新思维题，2025昌平二模 Q19 为 Q0045 沉浸式演艺创新思维题，2025西城一模 Q17 为 Q0046 温榆生态心科学思维复合题，2025石景山一模 Q19 为 Q0047 科学建议科学思维/归纳推理题，2025丰台一模 Q18(1) 为 Q0048 新一代人工智能科学思维题，2025朝阳期末 Q19 为 Q0049 排中律/矛盾律/三段论综合推理题，2025海淀期末 Q18 为 Q0050 北京城市图书馆创新思维题，2025东城一模 Q18(1) 为 Q0051 “两重”实施辩证思维题，2025朝阳一模 Q17(1) 为 Q0052 必要条件假言推理题，2025朝阳二模 Q17 为 Q0053 不完全归纳推理题，2025延庆一模 Q18 为 Q0054 低空经济辩证思维题","但本轮 B 线尚未独立重跑门头沟/房山/东城期末/昌平二模/西城一模/石景山一模/丰台一模/朝阳期末/海淀期末/东城一模/朝阳一模/朝阳二模/延庆一模增量；2025其他套卷的具体选必三主观题仍需 Codex 与 ClaudeCode 后续轮次继续回源"
"BLK-009","2024各套卷","主观题","","subjective_remaining","2024年朝阳一模/二模/期中/海淀一模/二模/丰台一模/二模/西城一模/二模/东城一模/顺义二模等的具体选必三主观题待逐套卷回源","Codex 继续按 keyword hits 表逐套卷处理"
"BLK-010","2026丰台期末","16-21","","boundary_suite","北京高考 Q19(2) 青海防沙治沙 has a scoring-reference signal in 2026丰台期末细则, but the original 2024 paper page is not locked; a checked public 2024北京卷 PDF has Q19 as legal cases and no 青海/防沙/治沙 hit.","Do not promote to body. Recover original 2024北京高考 Q19(2) source image/text or formal matched 2024 scoring source; keep Q0030 as missing audit row."
