"entry_id","question_id","reasoning_form","logical_structure","validity_or_fallacy","rule_kouling","answer_sentence","evidence_level","status","rubric_source"
"RF0001","Q0005","矛盾律","完整保留历史街巷的一砖一瓦；同时对无法适应现代需要部分进行必要拆除和改造","自相矛盾，不能同真","同一思维过程不能既肯定又否定同一对象同一方面","主张1不符合逻辑，完整保留与必要拆改不能同真，违反矛盾律。","A-formal","source_locked","gpt_sources/e4d67789c91d1b92_2026东城期末细则.md:280-307"
"RF0002","Q0005","充分条件假言推理","如果引入智能垃圾箱(P)，则垃圾分类效率提升(Q)；由Q推出P","肯后必肯前错误；也可判为混淆充分条件和必要条件","充分条件只允许肯前肯后、否后否前，不能肯后肯前","主张2不符合逻辑，由效率提升需要推出必须引入智能垃圾箱，是肯后必肯前的错误。","A-formal","source_locked","gpt_sources/e4d67789c91d1b92_2026东城期末细则.md:280-307"
"RF0003","Q0005","三段论","有些采用居民提案-AI模拟-多轮投票模式的方案是科学民主方案；立体花园+口袋公园方案采用该模式；所以它是科学民主方案","中项不周延","三段论中项至少周延一次","主张3不符合逻辑，中项在大小前提中都不周延，犯中项不周延错误。","A-formal","source_locked","gpt_sources/e4d67789c91d1b92_2026东城期末细则.md:280-307"
"RF0004","Q0006","充分条件假言推理","如果A区域古代没有广泛生长竹子(P)，就不可能有大量炭化竹节(Q)；已发现大量炭化竹节(非Q)；所以A区域古代广泛生长竹子(非P)","有效：否定后件式","充分条件可肯前肯后、否后否前","推理一属于充分条件假言推理，后件假则前件假，推理成立。","A-formal","source_locked","gpt_sources/d64506799887753e_2024朝阳一模细则.md:317-327"
"RF0005","Q0007","必要条件假言推理","只有A区域古代气候温暖(P)，A区域古代才有可能生长竹子(Q)；A区域古代广泛生长竹子(Q)；所以A区域古代气候温暖(P)","有效：肯定后件式","必要条件可否前否后、肯后肯前","推理二应补足气候温暖是竹子生长的必要条件，再由广泛生长竹子推出气候温暖。","A-formal","source_locked","gpt_sources/d64506799887753e_2024朝阳一模细则.md:328-335"
"RF0006","Q0008","充分条件假言推理","若发现岩松鼠活动痕迹(P)，则一定能找到红嘴蓝鹊(Q)；观察到红嘴蓝鹊(Q)","无效：肯定后件不能肯定前件","充分条件不能肯后肯前","看到红嘴蓝鹊只是后件为真，无法确定前件真假，不能断定一定有岩松鼠。","A-formal","source_locked","gpt_sources/cfb0f19ef38aafd7_2025西城二模细则.md:52-53"
"RF0007","Q0009","充分条件假言推理","如果阻碍加装电梯(P)，就会侵犯相关业主合法权益(Q)；范某阻碍(P)；所以侵权(Q)","有效：肯定前件式","充分条件肯前必肯后","推理①属于充分条件假言推理，肯定前件推出肯定后件，结构有效。","A-formal","source_locked","gpt_sources/44537714bd68a7c1_2026通州期末细则.md:147-161"
"RF0008","Q0009","必要条件假言推理","只有公示期间未收到异议(P)，加装电梯才符合要求(Q)；公示期内未收到异议(P)；所以符合要求(Q)","无效：肯定前件不能肯定后件","必要条件不能肯前肯后","推理②属于必要条件假言推理，但仅肯定前件就推出后件，结构错误。","A-formal","source_locked","gpt_sources/44537714bd68a7c1_2026通州期末细则.md:147-161"
"RF0009","Q0010","必要条件假言推理","甲的推理肯定后件并肯定前件","有效：肯定后件式","必要条件肯后必肯前","甲的推理属于必要条件假言推理，前提真实且符合肯定后件式，推理正确。","A-formal","source_locked","gpt_sources/26649804f1de31f5_2026丰台一模细则.md:116-132"
"RF0010","Q0010","三段论","乙的推理中大项“带动居民消费”在前提中不周延、在结论中周延","大项不当扩大","前提中不周延的项在结论中不得周延","乙的推理属于三段论，犯大项不当扩大的逻辑错误。","A-formal","source_locked","gpt_sources/26649804f1de31f5_2026丰台一模细则.md:116-132"
"RF0011","Q0012","三段论谬误名称纠偏","A项推理实际是大项“青年”在前提中不周延、结论中周延","大项不当扩大，不是小项不当扩大","判断三段论谬误名称时先确定大项/小项/中项，再看周延变化","顺义一模 Q7 正确选 A，因为其分析把大项不当扩大误说成小项不当扩大。","A-formal","source_locked","gpt_sources/9dd43cae443f853c_2025北京顺义高三一模政治_教师版.md:88-115; explanation:371-380"
"RF0012","Q0013","演绎推理/三段论","未来产业具有P特征；量子科技具有P特征；所以量子科技是未来产业","前提不真导致演绎保真失败；三段论结构本身正确","演绎推理保真要同时满足前提真实和结构正确","顺义 Q19(1) 推理错误，因为材料不能推出所有具有P特征的产业都是未来产业。","A-formal","source_locked","gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:136-142"
"RF0013","Q0015","三段论补大前提","小前提：乌毛蕨形成的镧独居石是纯净无辐射的独居石；结论：乌毛蕨形成的镧独居石具有绿色提取前景","应选能让中项周延且不犯四概念的大前提","大前提只含中项和大项；中项至少周延一次；三段论只能有三个项","东城期末 Q6 选 B：纯净无辐射的独居石具有绿色提取前景。","A-formal","source_locked","gpt_sources/e4d67789c91d1b92_2026东城期末细则.md:553-570; analysis:595-596"
"RF0014","Q0016","矛盾关系/真假判断","吴老师与王老师发言形成矛盾关系；四人仅一真","由矛盾关系必有一真一假，推出周老师和郑老师均假","矛盾命题必有一真一假；再用唯一真约束排除其他发言","东城期末 Q7 选 A，因为真实结果要求人机赛跑不达标且AI主题闯关达标。","A-formal","source_locked","gpt_sources/e4d67789c91d1b92_2026东城期末细则.md:48-52"
"RF0015","Q0018","不完全归纳推理","从若干 AI 任务指令或样本特征归纳出设计任务所用推理类型","正式细则锁定不完全归纳推理；写归纳推理只部分给分","部分对象推出一般性结论属于不完全归纳，是或然推理","朝阳一模 Q17(1) 前半应识别为不完全归纳推理。","A-formal","source_locked","gpt_sources/3a11db4bade216d1_2026朝阳一模细则.md:40-43"
"RF0016","Q0020","充分条件假言推理","如果P则Q；已知Q；所以P","无效：肯定后件不能肯定前件","充分条件有效式只有肯前肯后、否后否前；肯后肯前是错误结构","海淀期末 Q20(1) 的推理是充分条件假言推理，但犯肯定后件推出前件的错误。","A-formal","source_locked","gpt_sources/7832041a93d37e1f_2026海淀期末细则.md:33"
"RF0017","Q0022","概念划分规则","Q17问题1身份单选把年龄(老年人/儿童)、身体状况(残障人士)、就业状态(普通在职职工/离退休人员)、行业角色(相关行业从业者)混列同一层级","划分标准不一","一次划分只能使用同一标准，不能在同层级混入不同依据","海淀一模 Q17(1) 的第一个逻辑错误是划分标准不一：身份单选题把年龄、身体状况、就业状态和行业角色混在同一层级。","A-formal","source_locked_questionnaire_detail_pending_external_review","rendered page 03e0412bb80579d8/page_005.png; gpt_sources/9b5ac8fd0cfe59cb_2026海淀一模细则.md:35-36"
"RF0018","Q0022","选言判断","Q17问题2设施主要问题多选只列设计不合理、标识不清、相关部门维护不到位，未设其他/补充说明，未覆盖其他有选择价值的情况","选言判断遗漏","选言支要覆盖题目要求下有选择价值的情况，不能遗漏关键可能性","海淀一模 Q17(1) 的第二个逻辑错误是选言判断遗漏：设施问题选项只列设计、标识、维护三类原因，未覆盖其他有选择价值的情况。","A-formal","source_locked_questionnaire_detail_pending_external_review","rendered page 03e0412bb80579d8/page_005.png; gpt_sources/9b5ac8fd0cfe59cb_2026海淀一模细则.md:35-36"
"RF0019","Q0024","形式逻辑综合选择题","A越级划分；B两个全称判断可同假；C矛盾律冲突；D四概念","正确选B，其他选项分别违反划分、矛盾律、三段论三概念规则","先判断每个选项对应的逻辑规则，再看是否真实违反该规则","朝阳一模 Q6 选 B，因为不赞成两个反对命题并不违反逻辑规则。","A-formal","source_locked","gpt_sources/d64506799887753e_2024朝阳一模细则.md:42-47"
"RF0020","Q0025","不完全归纳推理","楚王由一个齐国盗贼推出齐人固善盗","轻率概括/以偏概全，属于或然推理","不完全归纳只涉及部分对象，不能保真；提高可靠性要扩大对象并分析因果联系","楚王推理犯轻率概括，可通过考察更多对象和因果关系提高可靠性。","A-formal","source_locked","gpt_sources/92a268ce852f6944_2024.11期中政治朝阳评标2.md:264-301"
"RF0021","Q0025","类比推理","晏子由橘在不同环境中性质变化，类比推出楚之水土使民善盗","或然推理，但论证有说服力","类比是由两个或两类对象在若干属性相似推出其他属性相似","晏子推理属于类比推理，虽然或然，但能反驳楚王并增强论证说服力。","A-formal","source_locked","gpt_sources/92a268ce852f6944_2024.11期中政治朝阳评标2.md:264-301"
"RF0022","Q0026","三段论/四概念","甲把个人补偿诉求与公共利益处理为非此即彼，且小前提窄化公共利益外延","错误：细则并列列出四概念错误、前提不真、材料分析三条可用理由","三段论只能有三个项，且前提必须真实可靠；本题细则未设主次链","西城一模 Q19(3) 甲观点错误，最稳写法是合写前提不真与公共利益外延被窄化造成四概念错误。","A-formal","source_locked","gpt_sources/22206a780a1503a6_2026西城一模细则.md:73-77"
"RF0023","Q0026","反对关系/联言判断","乙认为既不能所有村务必须公开，也不能所有村务都不必公开","正确：两个全称判断为反对关系，可同假不可同真","反对关系不能同真但可以同假；联言判断同真才真","西城一模 Q19(3) 乙观点正确，因为两个极端全称命题是反对关系。","A-formal","source_locked","gpt_sources/22206a780a1503a6_2026西城一模细则.md:73-77"
"RF0024","Q0026","同一律/偷换概念","丙在充分条件假言推理中把后件的村民会议换成结论中的村委会","错误：偷换概念，违背同一律","同一思维过程必须在同一意义上使用同一概念","西城一模 Q19(3) 丙观点错误，因为把村民会议偷换为村委会。","A-formal","source_locked","gpt_sources/22206a780a1503a6_2026西城一模细则.md:73-77"
"RF0025","Q0027","不相容选言推理（有效式）","p xor q; not p; therefore q","有效：否定一个选言支，可以肯定另一个选言支","不相容选言否定肯定式：要么p要么q；非p；所以q","海淀一模 Q21(1) 可以写：外贸进出口要么影响国内大循环，要么是拉动经济增长的重要引擎；外贸进出口不影响国内大循环；所以外贸进出口是拉动经济增长的重要引擎。","A-formal","source_locked","gpt_sources/7ebce670784d805e_2025北京海淀高三一模政治_教师版.md:255-266; gpt_sources/506347bd4a7061dd_2025海淀一模细则.md:56-64"
"RF0026","Q0028","不相容选言推理（无效式陷阱）","p xor q is true; therefore p","无效：只知道不相容选言判断为真，不能直接指定哪一个选言支为真","不相容选言真，只能推出p且非q或非p且q两种可能之一，不能直接肯定p","丰台期末 Q9 B 不能选：由“小张或者去甘肃游学，或者去湖南游学”为真，不能直接推出“小张去甘肃游学”为真。","B-choice-signal","source_locked","gpt_sources/89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.md:120-130,386-392"
