"reviewer","item_id","decision","source_check","patch_result"
"GPT Pro","1","accepted","东城Q20讲评细则把题目自拟、观点明确、逻辑清晰、200字左右列为短文结构要求，不是独立术语。","所有东城Q20完整设问补全要求句，未沉淀为术语。"
"GPT Pro","2","accepted","丰台Q20题面有反对脱钩断链、抵制单边主义和保护主义，但评分术语不是逆全球化/贸易保护主义独立条。","逆全球化/贸易保护主义条目只保留东城Q20。"
"GPT Pro","3","accepted","丰台Q20评分中和平与发展、共同利益、新型国际关系、全球治理观等为正式得分点。","丰台反对脱钩断链表述并入和平与发展及共同利益答案链。"
"GPT Pro","4","accepted","丰台题面强调维护发展中国家共同利益、反对脱钩断链、提高非洲代表性和发言权，未给出核心利益。","共同利益材料触发删除核心利益，改为发展中国家共同利益和代表性/发言权。"
"GPT Pro","5","accepted","东城讲评细则要求围绕中方反对临时反补贴税、维护本国利益和企业正当权益、通过磋商解决。","国家利益条目东城答案句改为反补贴税和建设性解决方案链。"
"GPT Pro","6","accepted","门头沟Q20世界意义围绕零关税税目、岛内免税流通、加工增值免关税销往内地、口岸管理和二线申报压缩。","经济全球化答案句改为海南自贸港开放机制链。"
"GPT Pro","7","accepted","本批源包摘要未锁定口岸径予放行表述，使用口岸管理优化和二线申报压缩更稳。","门头沟相关触发表述改为口岸管理优化和二线申报项目压缩。"
"GPT Pro","8","accepted","丰台Q20中推动国际关系民主化只是未答完整新型国际关系时的1分替代表述，顺义Q20才是独立世界意义点。","丰台降为新型国际关系条目注释，国际关系民主化独立条只保留顺义。"
"GPT Pro","9","accepted","本批锁定细则没有推动国际秩序/全球治理体系向更加公正合理方向发展作为独立术语，顺义有为重构公正合理的国际政治经济秩序提供中国方案。","删除复合独立术语，只保留顺义中国方案原句。"
"GPT Pro","10","accepted","顺义题面是共建一带一路、小而美、民生需求、经济社会发展和民心相通，未锁定不以强制条件表述。","独立自主和平外交政策触发改为源于题面事实的和平发展链。"
"GPT Pro","11","accepted","顺义细则给推动国际关系民主化，题面支撑是尊重民生需求、平等合作改善民生、促进发展和民心相通。","顺义国际关系民主化答案句删除大国支配等未锁定表述。"
"GPT Pro","12","accepted","丰台细则含中非携手推进现代化的价值链，可并入人类命运共同体答案。","人类命运共同体丰台答案句加入中非携手推进现代化。"
"GPT Pro","opt2","accepted","延庆多边协同转型更像全球治理观下的价值结果，不宜从参考答案结果句扩成独立术语。","删除全球能源治理体系向多边协同转型独立条，保留在共商共建共享答案句。"
"GPT Pro","opt3","accepted","顺义实践优势和当地价值来自评分细则，不是教材主干术语。","标题改为国际发展合作细则要点：实践优势与民生价值。"
