material_atom_id,question_id,material_phrase,plain_description,subject_or_actor,action_or_event,affected_party,conflict_or_problem,legal_signal_if_any,possible_relevance_to_answer,source_locator,uncertainty
M_CC0223_2025_顺义_一模_19_09,CC0223_2025_顺义_一模_19,（原卷无答案，此答案仅供参考） 【分析】背景素材：高某与刘某的邻里纠纷、甲公司与乙公司的名称权纠纷 考点考查：权利行使注意界限、积极维护人身权利、自主创业与诚信经营、纠纷的多元解决方式 能力考查：描述和阐释事物、论证和探究问题 核心素养：政治认同、科学精神、法治意识 【详解】（1）第一步：审设问。,（原卷无答案，此答案仅供参考） 【分析】背景素材：高某与刘某的邻里纠纷、甲公司与乙公司的名称权纠纷 考点考查：权利行使注意界限、积极维护人身权利、自主创业与诚信经营、纠纷的多元解决方式 能力考查：描述和阐释事物、论证和探究问题 核心素养：政治认同、科学精神、法治意识 【详解】（1）第一步：审设问。,,,,yes,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_10,CC0223_2025_顺义_一模_19,明确主体、做答范围、问题限定和作答角度。,明确主体、做答范围、问题限定和作答角度。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_11,CC0223_2025_顺义_一模_19,本题是分析说明类主观题，明确本题考查的范围是《法律与生活》，设问指向是分析上述案例是如何解决 纠纷的，运用纠纷的多元解决方式的知识进行说明。,本题是分析说明类主观题，明确本题考查的范围是《法律与生活》，设问指向是分析上述案例是如何解决 纠纷的，运用纠纷的多元解决方式的知识进行说明。,,,,yes,法律与生活,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_12,CC0223_2025_顺义_一模_19,提取关键词，链接教材知识。,提取关键词，链接教材知识。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_13,CC0223_2025_顺义_一模_19,关键词①：刘某一家经常在门口堆放杂物及生活垃圾。,关键词①：刘某一家经常在门口堆放杂物及生活垃圾。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_14,CC0223_2025_顺义_一模_19,高某跟刘某沟通过多次，要求其清除杂物及垃圾， 对方均不予理会，还在微信群内辱骂高某。,高某跟刘某沟通过多次，要求其清除杂物及垃圾， 对方均不予理会，还在微信群内辱骂高某。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_15,CC0223_2025_顺义_一模_19,高某将刘某诉至法院，经法院调解→可调用的法理依据是《民 法典》第228 条：相邻关系应遵循有利生产、方便生活的原则。,高某将刘某诉至法院，经法院调解→可调用的法理依据是《民 法典》第228 条：相邻关系应遵循有利生产、方便生活的原则。,,,,yes,相邻关系,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_16,CC0223_2025_顺义_一模_19,《民法典》第1024 条关于名誉权的规定。,《民法典》第1024 条关于名誉权的规定。,,,,,民法典；名誉权,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_17,CC0223_2025_顺义_一模_19,关键词②：乙公司将企业名称变更登记为与甲公司相似的名称→可调用的法理依据是《反不正当竞争法》 第六条规定：禁止擅自使用他人有一定影响的企业名称。,关键词②：乙公司将企业名称变更登记为与甲公司相似的名称→可调用的法理依据是《反不正当竞争法》 第六条规定：禁止擅自使用他人有一定影响的企业名称。,,,,,反不正当竞争法,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_18,CC0223_2025_顺义_一模_19,《企业名称登记管理规定》第23 条的有关规定以 及《行政诉讼法》规定对行政裁决不服可提起行政诉讼。,《企业名称登记管理规定》第23 条的有关规定以 及《行政诉讼法》规定对行政裁决不服可提起行政诉讼。,,,,yes,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_19,CC0223_2025_顺义_一模_19,第三步：整合信息，组织答案。,第三步：整合信息，组织答案。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_20,CC0223_2025_顺义_一模_19,注意设问限定以及教材知识与材料等相结合。,注意设问限定以及教材知识与材料等相结合。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_21,CC0223_2025_顺义_一模_19,（2）第一步：审设问。,（2）第一步：审设问。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_22,CC0223_2025_顺义_一模_19,明确主体、做答范围、问题限定和作答角度。,明确主体、做答范围、问题限定和作答角度。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_23,CC0223_2025_顺义_一模_19,本题是分析说明类主观题，明确本题考查的范围是 第二步：审材料。,本题是分析说明类主观题，明确本题考查的范围是 第二步：审材料。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
M_CC0223_2025_顺义_一模_19_24,CC0223_2025_顺义_一模_19,提取关键词，链接教材知识。,提取关键词，链接教材知识。,,,,,,audit_reference_explanation_not_material_trigger,F0098:page 16 | F0098:page 6,heuristic_sentence_split_from_text_layer | marked_v5_9_non_material_reference_explanation
