suite_id,suite,source_ids,地区,年份,考试阶段,题目范围,是否含思维部分,是否含推理部分,题目页范围,答案页范围,评分细则页范围,讲评页范围,题量检测值,题量确认值,视觉风险等级,是否进入全量扫描
S-2024朝阳一模,2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf;031_Desktop_2024模拟题_2024朝阳一模_细则_细则.pptx;032_Desktop_2024模拟题_2024朝阳一模_其他材料_202404朝阳高三政治一模试卷讲评.pptx,朝阳,2024,一模,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,23,pending_manual_or_laneB_check,medium,yes
S-2024朝阳二模,2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf;022_Desktop_2024模拟题_2024朝阳二模_细则_细则.pdf;023_Desktop_2024模拟题_2024朝阳二模_细则_补充材料_细则.docx,朝阳,2024,二模,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,24,pending_manual_or_laneB_check,medium,yes
S-2024朝阳期中,2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf;018_Desktop_2024模拟题_2024朝阳期中_细则_细则.docx;019_Desktop_2024模拟题_2024朝阳期中_细则_补充材料_2024.11期中政治朝阳评标2.docx;020_Desktop_2024模拟题_2024朝阳期中_细则_补充材料_细则.rtf,朝阳,2024,期中,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,22,pending_manual_or_laneB_check,medium,yes
S-2024海淀二模,2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf;028_Desktop_2024模拟题_海淀二模_细则_细则.docx;029_Desktop_2024模拟题_海淀二模_细则_补充材料_高三二模_政治答案_2_.docx,海淀,2024,二模,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,24,pending_manual_or_laneB_check,medium,yes
S-2024西城一模,2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx;025_Desktop_2024模拟题_西城一模_细则_细则.docx;026_Desktop_2024模拟题_西城一模_细则_补充材料_2024.4高三统一测试思想政治答案.docx,西城,2024,一模,paper_questions_detected,not_detected_yet,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,26,pending_manual_or_laneB_check,low,yes
S-2025东城期末,2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf;013_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_细则.pdf;014_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_补充材料_东城期末.pptx,东城,2025,期末,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,54,pending_manual_or_laneB_check,medium,yes
S-2025丰台期末,2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf;041_Desktop_2025模拟题_2025各区期末_2025丰台期末_细则_细则.pptx,丰台,2025,期末,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,46,pending_manual_or_laneB_check,medium,yes
S-2025海淀二模,2025海淀二模,008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf;009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx;010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx;011_Desktop_2025模拟题_2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf,海淀,2025,二模,paper_text_blank_visual_seed_partial,yes_candidate,not_detected_yet,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,1,partial_visual_seed_only_paper_text_blank,high,yes
S-2025海淀期末,2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx;016_Desktop_2025模拟题_2025各区期末_2025海淀期末_细则_细则.pptx,海淀,2025,期末,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,34,pending_manual_or_laneB_check,medium,yes
S-2025西城二模,2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf;038_Desktop_2025模拟题_2025各区二模_2025西城二模_细则_细则.docx;039_GaokaoPolitics_2025各区模拟题_2025各区二模_2025西城二模_讨论定稿-答案细则_-25.5西城高三政治二模-1.docx,西城,2025,二模,paper_questions_detected,yes_candidate,yes_candidate,from_paper_text_or_render,from_nonpaper_pairing,from_nonpaper_pairing,from_support_sources,34,pending_manual_or_laneB_check,medium,yes
