sentence_id,question_id,framework_entry_node,evidence_level,pass_status,sentence_pattern,must_have_keywords,source_rubric_atom_ids,use_condition,forbidden_scene
FS_BP_001,CC0002_2024_丰台_一模_17,F6 价值收束必须从法律规则推出,formal,PASS,法理依据5分：法院判决应以事实为依据，以法律为准绳，为必踩点1分。；法理依据：双方形成好意同乘，需明确权利义务；涉及侵权责任一般规定，2分。,法理依据5分：法院判决应以事实为依据；以法律为准绳；为必踩点1分；法理依据：双方形成好意同乘；需明确权利义务；涉及侵权责任一般规定；2分；侵权；现实意义：维护双方合法权益；1分；合法权益；现实意义：保障公正司法；现实意义：弘扬社会主义核心价值观；促进社会和谐或绿色出行；和谐；社会主义核心价值观,R_CC0002_2024_丰台_一模_17_M17_01 ; R_CC0002_2024_丰台_一模_17_M17_02 ; R_CC0002_2024_丰台_一模_17_M17_03 ; R_CC0002_2024_丰台_一模_17_M17_04 ; R_CC0002_2024_丰台_一模_17_M17_05 ; R_CC0002_2024_丰台_一模_17_M17_06,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_002,CC0011_2024_丰台_二模_17,F3 定准法律入口：从六类候选中选,formal,PASS,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色,17.运用《法律与生活》知识；在上述案例中；民法典强调对知识产权的保护；能够鼓励技术创新；为生态环境保护提供技术支撑；依据民法典规定；甲公司污染；破坏环境应承担相应的侵权责任；既能保护合法权益；又能惩罚违法行为；有助于平衡个人利益和公共利益；合理预防损害；维护良好的生态环境；【拓展答案】： 增强环保意识；维护社会公平正义；（1分）在上述案例中；（2分）依据民法典规定；（4分）（权利义务,R_CC0011_2024_丰台_二模_17_01,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_003,CC0019_2024_朝阳_一模_19,F3 定准法律入口：从六类候选中选,formal,PASS,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",民法典将诚信原则确立为基本原则之一；有利于规范民事主体行为；尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争；维护公平正义；维护诚信；健康的市场秩序；诚信原则要求经营者依法；诚信经营；保护消费者的合法权益；而且有助于守法诚信的经营者扩大市场；并最终增进社会整体福祉；民法典；民事主体；经营者；维护；引导；规范,R_CC0019_2024_朝阳_一模_19_01,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_004,CC0025_2024_朝阳_二模_17,F3 定准法律入口：从六类候选中选 + F2 把材料事实翻译成法律事实,formal,PASS,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。；原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；,17.结合材料；说明仲裁委员会作出上述裁决的理由；并分析该典型案例的意义；原答案：甲公司通过平台向王某派单；并依据制度对王某进行奖惩；具有较强的人格从属性；单方制定服务费用结算标准；具有明显 的经济从属性；占有；具有较强的组织从属 性；所以；双方之间存在事实上的劳动关系；对王某的仲裁请求应当予以支持；该案例有利于指导各地仲裁机构；人民法院适应平台经济发展带来的新情况；新问题；提高以事实为依据；以法律为准绳进行公正裁决的能力,R_CC0025_2024_朝阳_二模_17_01 ; R_CC0025_2024_朝阳_二模_17_02 ; R_CC0025_2024_朝阳_二模_17_03 ; R_CC0025_2024_朝阳_二模_17_04 ; R_CC0025_2024_朝阳_二模_17_05 ; R_CC0025_2024_朝阳_二模_17_06 ; R_CC0025_2024_朝阳_二模_17_07 ; R_CC0025_2024_朝阳_二模_17_08 ; R_CC0025_2024_朝阳_二模_17_09 ; R_CC0025_2024_朝阳_二模_17_10 ; R_CC0025_2024_朝阳_二模_17_11 ; R_CC0025_2024_朝阳_二模_17_12 ; R_CC0025_2024_朝阳_二模_17_13 ; R_CC0025_2024_朝阳_二模_17_14 ; R_CC0025_2024_朝阳_二模_17_15 ; R_CC0025_2024_朝阳_二模_17_16 ; R_CC0025_2024_朝阳_二模_17_17,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_005,CC0040_2024_海淀_一模_19,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,reference_only,OPEN_OR_REFERENCE,19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。,甲公司创作虚拟数字人Ada；对其享有著作权；并在展示过程中故意替换有关标识；加注注册商标；构成著作权侵权；乙公司进行虚假和引人误解的商业宣传；属于不正当竞争；法院依法判决乙公司赔偿甲公司损失；有利于激发创新活力；维护市场秩序；民事主体；著作权；维护；秩序,R_CC0040_2024_海淀_一模_19_01,开放/弱证据或综合边界题：只能作迁移参照，不能单独支撑核心框架节点。,不得宣称满分闭环；不得把综合/必修三角度写成选必二核心。
FS_BP_006,CC0045_2024_海淀_二模_19,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,formal,PASS_RECOVERED,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,人民法院确认居委会提供的遗赠扶养协议；认定居委会的赡养行为；本案判决不仅实现了个案上的公平正义；更倡导全社会积极助力养老；判决有利于弘扬尊老；敬老；爱老；助老的中华传统美德；【细则】；扶养；赡养；遗产；遗赠；促进；公平；正义,R_CC0045_2024_海淀_二模_19_01,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_007,CC0051_2024_海淀_期中_21_1,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,formal,PASS_RECOVERED,不生成选必二法律满分句；先移入边界复核/剔除清单。,21（1）75 年；大国自信而坚定的脚步；1950年5月1日；《中华人民共和国婚姻法》开始施行；彻底废除了封建主义家庭制度；确立了以婚姻自由；一夫一妻；2021年1月1日；《中华人民共和国民法典》正式实施；民法典专门设置了“婚姻家庭编”；包括婚姻法在内的多部法律同时废止；思政课上；大家围绕老师出示的两则法条展开了讨论；小海认为；民法典的规定才符合良法的要求；民法典；(1)运用法治知识；对小海的观点进行评析,R_CC0051_2024_海淀_期中_21_1_01 ; R_CC0051_2024_海淀_期中_21_1_02 ; R_CC0051_2024_海淀_期中_21_1_03 ; R_CC0051_2024_海淀_期中_21_1_04 ; R_CC0051_2024_海淀_期中_21_1_05 ; R_CC0051_2024_海淀_期中_21_1_06 ; R_CC0051_2024_海淀_期中_21_1_07,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_008,CC0054_2024_石景山_一模_17,F4 把定性落成责任、效果或裁判理由,formal,PASS,甲公司参与比选并向乙公司报价，内容具体确定，属于要约。；乙公司确认甲公司中标并送达中标通知，属于承诺。,甲公司参与比选并向乙公司报价；内容具体确定；属于要约；乙公司确认甲公司中标并送达中标通知；属于承诺；中标通知书送达甲公司；双方合同成立；合同成立部分共3分；合同；公平原则；绿色原则；诚信原则；公平；判决有利于推动企业转型升级；兼顾经济效益和社会效益；推动要素市场化改革；落实双碳决策,R_CC0054_2024_石景山_一模_17_M17_01 ; R_CC0054_2024_石景山_一模_17_M17_02 ; R_CC0054_2024_石景山_一模_17_M17_03 ; R_CC0054_2024_石景山_一模_17_M17_04 ; R_CC0054_2024_石景山_一模_17_M17_05 ; R_CC0054_2024_石景山_一模_17_M17_06,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_009,CC0061_2024_西城_一模_18,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,formal,PASS_RECOVERED,（1）依据诉讼法规定的回避制度，当书记员有下列情形之一的，当事人有权申请其回避：是本案当事人或者当事人、诉讼代理人近亲属的；与本案有利害关系的；与本案当事人、诉讼代理人有其他关系（比如师生、同学、朋友等），可能影响对案件公正审理的。书记员接受当事人、诉讼代理人请客送礼，或者违反规定会见当事人、诉讼代理人的，当事人有权要求他们回避。考生可选择上述情形之一作答。（1分） 答案示例一：书记员小袁是被上诉人郭某三儿子的学生。 答案示例二：书记员小袁是被上诉人郭某二儿子的朋友。；（2）错误：辩护人。改为：诉讼代理人。（1分）,（1）依据诉讼法规定的回避制度；当书记员有下列情形之一的；诉讼代理人近亲属的；与本案有利害关系的；与本案当事人；诉讼代理人有其他关系（比如师生；同学；朋友等）；可能影响对案件公正审理的；书记员接受当事人；诉讼代理人请客送礼；或者违反规定会见当事人；诉讼代理人的；当事人有权要求他们回避；考生可选择上述情形之一作答；上诉；（2）错误：辩护人；改为：诉讼代理人,R_CC0061_2024_西城_一模_18_01 ; R_CC0061_2024_西城_一模_18_02 ; R_CC0061_2024_西城_一模_18_03,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
FS_BP_010,CC0063_2024_西城_二模_16,F3 定准法律入口：从六类候选中选,formal,PASS,16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民甲的加购行为超出了正常的生活消费需要，人民法院对甲就加购行为提出的惩罚性赔偿请求不予支持，有利于引导消费者诚信、理性维权。（1分，材料分析） 人民法院的判决，体现了保证食品安全和维,16．（8分） 经营者应依法；诚信经营；保护消费者的合法权益；（2分；以此打击违法生产经营行为；维护了消费者的合法权益；（1分；并且不得滥用民事权利损害国家利益；社会公共利益或者他人合法权益；有利于引导消费者诚信；理性维权；材料分析） 人民法院的判决；有利于服务和保障经济社会高质量发展；多选一） 细则： 依法经营；替换：守法经营；不侵害消费者权益（利益）；社会公共利益或者他人合法权益”；变通：坚持权利和义务的统一 理性维权,R_CC0063_2024_西城_二模_16_01,适用于同类材料事实和设问触发；需结合具体材料改写。,不得脱离材料套用；不得写成空泛必修三法治口号或法考式过细分析。
