patch_id,priority,scope,target_section,target_question_id,issue,proposed_action,blocking
P01,P2,选择题易错陷阱扩写,概念外延关系节点;归纳推理节点;类比推理节点,Q-2024海淀二模-6;Q-2025西城二模-6;Q-2026顺义一模-4,易错陷阱仅一句话,在每条易错陷阱后增补"为什么这样命名陷阱"的一句话,no
P02,P2,认识发展历程节点扩容,第一部分-五-认识发展历程,Q-2024海淀二模-17-2;Q-2026通州期末-11,主观题正例仅1条;选择题正例与主观题正例未做配对,把2024海淀二模17(2)与2026通州期末11做配对说明,no
P03,P2,系统观念节点扩容,第一部分-四-系统观念,Q-2026东城一模-19-4;Q-2024朝阳一模-9,系统观念主观题正例只有1条且与创新思维同题并行,把2024朝阳一模9(选择题)在系统观念固定分析流程后再做"政策类同类题示意"扩写,no
P04,P3,跨节点挂载提示,各一级节点首部,Q-2024朝阳二模-19-1;Q-2026丰台一模-18-2;Q-2026东城一模-19-4;Q-2026东城期末-17-2,跨节点挂载未在节点首部列出,在每个一级节点首部增加一行"跨节点挂载题目"清单,no
P05,P3,辅助理解小节填充,第三部分-3-辅助理解暂不作为正例,无,小节为空白模板,把已作正例但被Phase12索引"相关检索"的题再补一份纯检索词条,no
P06,P2,定义与划分节点扩容,第二部分-九-概念定义与划分,Q-2024朝阳一模-6,正例只有1条,把2024朝阳一模6的A项越级划分作为"划分错误"补充示意,no
P07,P3,选择题原文干扰文本解析,第二部分-八-概念外延关系节点;若干题,Q-2026通州期末-10,源包原文夹"反对关系"表述需在学生版再点明,在学生版生成时增补"反对关系与不相容选言区别"提示,no
P08,P3,综合题节点合并讨论,第二部分-十二-复合判断真假与综合题,Q-2026东城期末-7;Q-2025丰台期末-9;Q-2025东城期末-15,题型重叠未合并,评估是否把这3题合并展示,no
P09,P2,硬锁说明前置,第一部分总览;附录B,Q-2024海淀二模-17-1;Q-2025丰台期末-7;Q-2026通州期末-9;Q-2025顺义一模-7;Q-2024朝阳二模-7;Q-2024西城一模-11;Q-2025海淀二模-12;Q-2025海淀二模-13,硬锁守则只在附录B出现,把硬锁守则在第一部分开头也做一次提示,no
P10,P3,固定分析流程示意化,各一级节点1.2/2.2等,无,固定分析流程目前是文字步骤;可补一行示意"读题5秒钟动作清单",在每个固定分析流程下加一行"读题5秒钟动作清单",no
P11,P2,主观题答题落点格式统一,第一部分主观题正例,无,部分主观题正例未严格采用"【答案落点】"标记,逐题统一"【答案落点】""【考场动作】""【易错陷阱】"三标记,no
P12,P3,边界陷阱扩展,第三部分-1-哲学唯物论伪装,Q-2025丰台期末-7,边界陷阱目前只有1题,长期可补充"超前思维干扰项""创新思维干扰项""矛盾分析干扰项"三类边界陷阱,no
P13,P2,推理规则口令再凝练,第二部分各题型1.1节,无,规则口令偏长,把每个题型的规则口令压成2-3行口诀化表达,no
P14,P3,概念外延关系图示,第二部分-八-概念外延关系,无,缺图示,可考虑增加全同/属种/交叉/反对/矛盾的关系图示,no
P15,P2,Phase12索引回链,各题挂载尾部,无,本稿未在每条尾部回链Phase12索引中的"同类题索引",在每条尾部回链一行"同类题索引(摘自Phase12)",no
