suite_id,suite_name,question,question_type,framework_slot,evidence_class,evidence_source,material_excerpt,knowledge_point,trigger_logic,student_answer_landing,choice_answer,wrong_option_pattern,status,blocker,_source_file
,3. 横向,,template_existing,2、3,template-prior-reviewed,3. 横向,各具特色民族文化构成世界文化多样性,2024北京东城高三一模 第16题 评标 PPT,解释关系处共 2 分，其中含文化项,解释关系处共 2 分，其中含文化项,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,3. 横向,,template_existing,2、3,template-prior-reviewed,3. 横向,文化交流和交融是文化发展的动力,2024北京东城高三一模 第16题 评标 PPT,评标示例标出 2 分，细则中进入文化论证分,评标示例标出 2 分，细则中进入文化论证分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5. 文化强国/文化自信,,template_existing,1、5,template-prior-reviewed,5. 文化强国/文化自信,中华文化立场、文化自信、为世界文化繁荣作贡献,2024北京东城高三一模 第16题 评标 PPT,要求举措处含文化项 1 分,要求举措处含文化项 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,创造性转化创新性发展,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，文化角度最高 4 分,文化角度任一关键词 1 分，文化角度最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,文化传承与创新,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，文化角度最高 4 分,文化角度任一关键词 1 分，文化角度最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,1、2、4,template-prior-reviewed,2. 作用,满足人民的文化权益,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，文化角度最高 4 分,文化角度任一关键词 1 分，文化角度最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5. 文化强国/文化自信,,template_existing,1、4、5,template-prior-reviewed,5. 文化强国/文化自信,增强文化自信,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，文化角度最高 4 分,文化角度任一关键词 1 分，文化角度最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5. 文化强国/文化自信,,template_existing,1、4、5,template-prior-reviewed,5. 文化强国/文化自信,文化认同,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，文化角度最高 4 分,文化角度任一关键词 1 分，文化角度最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,1、2、4,template-prior-reviewed,2. 作用,文化反作用于经济,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，文化角度最高 4 分,文化角度任一关键词 1 分，文化角度最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,0. 载体,,template_existing,0、2,template-prior-reviewed,0. 载体,器物是中华文化的载体,2025北京东城高三（上）期末 第16题 讲评细则,第一层 2 分；细则注明“只写文化载体没有分”,第一层 2 分；细则注明“只写文化载体没有分”,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,1. 特点,,template_existing,1、2,template-prior-reviewed,1. 特点,中华文化源远流长、博大精深；中华文明统一性和连续性的重要见证,2025北京东城高三（上）期末 第16题 讲评细则,第二层 2 分,第二层 2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5. 文化强国/文化自信,,template_existing,0、1、4、5,template-prior-reviewed,5. 文化强国/文化自信,文化认同、共同精神标识、坚定文化自信,2025北京东城高三（上）期末 第16题 讲评细则,第二层中“强调共同”1 分；传承中华优秀文化或坚定文化自信等 1 分,第二层中“强调共同”1 分；传承中华优秀文化或坚定文化自信等 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、3、4,template-prior-reviewed,4. 纵向,推动中华优秀传统文化创造性转化和创新性发展，深挖中华文化内涵，推动中华文化传播,2025北京东城高三（上）期末 第16题 讲评细则,第三层“替换”项 1 分,第三层“替换”项 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,7. 习近平文化思想,,template_existing,1、6、7,template-prior-reviewed,7. 习近平文化思想,坚持习近平文化思想,2024北京朝阳高三（上）期中 第17题 阅卷细则,文化 6 分中的独立 1 分,文化 6 分中的独立 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
