framework_node,question_id,suite_id,type,evidence_level,mount_role
推理>演绎>充分条件假言推理,Q-2024朝阳一模-20-1,S-2024朝阳一模,主观题,A-formal,primary·hard_sample§十八
推理>演绎>必要条件假言推理,Q-2024朝阳一模-20-2,S-2024朝阳一模,主观题,A-formal,primary·hard_sample§十八
辩证思维>动态性,Q-2024朝阳二模-19-1,S-2024朝阳二模,主观题,A-formal,primary
推理>类比推理,Q-2024朝阳二模-19-1,S-2024朝阳二模,主观题,A-formal,primary
形式逻辑>判断>联言判断（真值条件）,Q-2024朝阳二模-19-2,S-2024朝阳二模,主观题,A-formal,primary
推理>归纳>不完全归纳·轻率概括,Q-2024朝阳期中-18,S-2024朝阳期中,主观题,A-formal,primary
推理>类比推理,Q-2024朝阳期中-18,S-2024朝阳期中,主观题,A-formal,primary
创新思维>超前思维,Q-2024朝阳期中-19,S-2024朝阳期中,主观题,A-formal,primary
创新思维>逆向思维,Q-2024朝阳期中-19,S-2024朝阳期中,主观题,A-formal,primary
创新思维>联想思维,Q-2024朝阳期中-19,S-2024朝阳期中,主观题,A-formal,primary
创新思维>发散思维与聚合思维,Q-2024朝阳期中-19,S-2024朝阳期中,主观题,A-formal,primary
辩证思维>矛盾分析法,Q-2026朝阳期中-20,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
辩证思维>分析与综合,Q-2026朝阳期中-20,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
辩证思维>质量互变,Q-2026朝阳期中-20,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
辩证思维>动态性,Q-2026朝阳期中-20,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
创新思维>超前思维,Q-2026朝阳期中-21-2,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
创新思维>联想思维,Q-2026朝阳期中-21-2,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
创新思维>逆向思维,Q-2026朝阳期中-21-2,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
创新思维>思路新方法新结果新（三新）,Q-2026朝阳期中-21-2,S-2026朝阳期中,主观题,A-support,primary·hard_sample§十三
创新思维>发散思维与聚合思维,Q-2026朝阳期中-21-2,S-2026朝阳期中,主观题,A-formal,primary·hard_sample§十三
形式逻辑>逻辑规则综合（排中律/矛盾律/越级划分/四概念）,Q-2024朝阳一模-6,S-2024朝阳一模,选择题,B-choice-signal,primary
创新思维>多角度判断（创新思维 vs 逻辑思维边界）,Q-2024朝阳一模-7,S-2024朝阳一模,选择题,B-choice-signal,primary
推理>三段论>小项不当扩大,Q-2024朝阳二模-7,S-2024朝阳二模,选择题,B-choice-signal,primary·hard_sample§十八
推理>三段论>第三格AAI式,Q-2024朝阳期中-7,S-2024朝阳期中,选择题,B-choice-signal,primary
形式逻辑>判断>必要条件假言判断（三种等价表达式）,Q-2024朝阳期中-8,S-2024朝阳期中,选择题,B-choice-signal,primary
推理>归纳>共变法（因果探求三法）,Q-2024朝阳期中-9,S-2024朝阳期中,选择题,B-choice-signal,primary
形式逻辑>概念>外延关系>属种关系,Q-2024朝阳期中-10,S-2024朝阳期中,选择题,B-choice-signal,primary
推理>三段论>第二格补大前提,Q-2026朝阳期中-11,S-2026朝阳期中,选择题,B-choice-signal,primary
形式逻辑>判断>相容选言判断,Q-2026朝阳期中-12,S-2026朝阳期中,选择题,B-choice-signal,primary
创新思维>联想思维（与认识发展历程综合）,Q-2026朝阳期中-13,S-2026朝阳期中,选择题,B-choice-signal,primary
认识发展历程>感性具体>思维抽象,Q-2026朝阳期中-13,S-2026朝阳期中,选择题,B-choice-signal,primary
推理>归纳>不完全归纳推理或然性,Q-2026朝阳期中-14,S-2026朝阳期中,选择题,B-choice-signal,primary
形式逻辑>判断>联言判断（真值条件）,Q-2026朝阳期中-15,S-2026朝阳期中,选择题,B-choice-signal,primary
创新思维>改变条件创造条件（建立新具体联系）,Q-2024朝阳一模-4,S-2024朝阳一模,选择题,B-choice-signal,auxiliary·辅助挂载（题干主线在必修四）
导论>系统观念,Q-2024朝阳一模-9,S-2024朝阳一模,选择题,B-choice-signal,auxiliary·辅助挂载（题干主线在必修三政治协商）
