suite_id,year,district,stage,suite_name,question_no,answer,answer_source,overview_sentence,wrong_option_sentences,question_excerpt,rubric_source,notes,curation_status,curation_reason
2024_东城_一模_001,2024,东城,一模,2024东城一模,10,C,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,在高某与李某系高某翔的叔婶，自二人患病后，高某翔 专职照顾他们。二人出于感激，令高某翔的妻子代 书《遗嘱》，内容力由高某翔负责二人生养死葬，其全 部遗产由高某翔继承。高某翔对此毫不知情。二人 去世后，高某与李某的独生子高某亮得知《遗嘱》内 容，表示强烈反对，以高某翔为被告提起诉讼，……中，应选C，核心判断是“该遗嘱无效，遗产应按法定继承处理”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在继承规则或协议效力判断不准，因为“该遗嘱实遗赠抚养协议，遗产应由高某翔取得”与题面事实或法律规则不匹配。；B项不对在继承规则或协议效力判断不准，因为“高某翔因照顾被继承人，可以继承适当的遗产”与题面事实或法律规则不匹配。；D项不对在继承规则或协议效力判断不准，因为“因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人”与题面事实或法律规则不匹配。,10. 高某与李某系高某翔的叔婶，自二人患病后，高某翔 专职照顾他们。二人出于感激，令高某翔的妻子代 书《遗嘱》，内容力由高某翔负责二人生养死葬，其全 部遗产由高某翔继承。高某翔对此毫不知情。二人 去世后，高某与李某的独生子高某亮得知《遗嘱》内 容，表示强烈反对，以高某翔为被告提起诉讼，请求 确认涉案《遗嘱》无效。对本案分析正确的是 《中华人民共和国民 法典》第一千一百三十一 条 对继承人以外的依靠 被继承人扶养的人，或者 继承人以外的对被继承人 扶养较多的人，可以分给 适当的遗产。 A. 该遗嘱实遗赠抚养协议，遗产应由高某翔取得 B. 高某翔因照顾被继承人，可以继承适当的遗产 C.该遗嘱无效，遗产应按法定继承处理 D. 因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,10,D,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,在销售员张某在某公司工作三年后，公司与其签订补充协议，约定每月销售额低于 3 万元无工 资；连续两个月销售额低于 3 万元，公司将予以辞退。后来，公司以张某连续三个月业绩未 达标为由，拒绝支付其当月工资，并发出解除劳动合同通知。依据下列法律条款可推知 中华人民共和国劳动合同法 第四……中，应选D，核心判断是“公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在劳动关系或用人单位责任边界不准，因为“补充协议是对劳动合同的变更，所以没有法律约束力”与题面事实或法律规则不匹配。；B项不对在条件说绝对或忽略法定前提，因为“如张某经培训仍不能业绩达标，公司可立即解除合同”与题面事实或法律规则不匹配。；C项不对在纠纷解决程序或法律效力错位，因为“张某若申请劳动仲裁，裁决一经作出即发生法律效力”与题面事实或法律规则不匹配。,10．销售员张某在某公司工作三年后，公司与其签订补充协议，约定每月销售额低于 3 万元无工 资；连续两个月销售额低于 3 万元，公司将予以辞退。后来，公司以张某连续三个月业绩未 达标为由，拒绝支付其当月工资，并发出解除劳动合同通知。依据下列法律条款可推知 中华人民共和国劳动合同法 第四十条 有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或 者额外支付劳动者一个月工资后，可以解除劳动合同： （一） …… （二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的； （三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经 用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。 A．补充协议是对劳动合同的变更，所以没有法律约束力 B．如张某经培训仍不能业绩达标，公司可立即解除合同 C．张某若申请劳动仲裁，裁决一经作出即发生法律效力 D．公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,11,C,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,在龚某与蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是中，应选C，核心判断是“②③”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“①②”与题面事实或法律规则不匹配。；B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①④”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,11．龚某与蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是 ①蔡某受伤是因不可抗力引起的，龚某无需承担赔偿责任 ②判决结果体现民法公平原则，合理确定双方权利和义务 ③庭审过程中，审判长询问双方是否同意调解，如果同意则合议庭主持调解 ④如果蔡某不服法院判决结果，可以在判决后十日内申请启动审判监督程序 A．①② B．①④ C．②③ D．③④,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_东城_二模_007,2024,东城,二模,东城二模,7,A,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,在乐业公司系“舒A”注册商标的专用权人，该公司主要生产用于治疗跌打损伤的医疗 用品。徐某在其经营的“跌打损伤修复贴”产品外包装的醒目位置使用了“乐业”名 称，其外包装与乐业公司的同类型产品的外包装高度近似。乐业公司以徐某侵权为 由提起诉讼。以下说法正确的是中，应选A，核心判断是“①②”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①0 ③”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“②④”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,7.乐业公司系“舒A”注册商标的专用权人，该公司主要生产用于治疗跌打损伤的医疗 用品。徐某在其经营的“跌打损伤修复贴”产品外包装的醒目位置使用了“乐业”名 称，其外包装与乐业公司的同类型产品的外包装高度近似。乐业公司以徐某侵权为 由提起诉讼。以下说法正确的是 ①徐某的行为容易导致消费者误认，构成不正当竞争 ②徐某的行侵害了消费者的知情权，应当合法诚信经营 ③徐某在类似的商品上使用“乐业”名称，构成商标侵权 ④乐业公司的注册商标保护期15年，从申请之日起计算 A.①② B. ①0 ③ C.②④ D.③④,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_海淀_二模_010,2024,海淀,二模,海淀二模,11,A,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,在黄某某是某小区业主，其居住的楼房出口区域经常 停放有某公司的多辆共享单车，影响正常通行。黄 某某委托律师向某公司邮寄律师函，要求某公司在 接到律师函 10 日内，在其公司的手机应用程序中， 将上述区域设置为禁停区。某公司收到律师函后未 采取相应措施，黄某某遂起诉至法院，要求该公司……中，应选A，核心判断是“①②”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①④”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“②③”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④ 中华人民共和国民法典 第二百七十四条 建筑区划内 的道路，属于业主共有，但是属于城 镇公共道路的除外。建筑区划内的其 他公共场所、公用设施和物业服务用 房，属于业主共有。 高……”与题面事实或法律规则不匹配。,11．黄某某是某小区业主，其居住的楼房出口区域经常 停放有某公司的多辆共享单车，影响正常通行。黄 某某委托律师向某公司邮寄律师函，要求某公司在 接到律师函 10 日内，在其公司的手机应用程序中， 将上述区域设置为禁停区。某公司收到律师函后未 采取相应措施，黄某某遂起诉至法院，要求该公司 将上述区域设置为共享单车的禁停区。对此案推断合理的是 ①作为共有权人的业主，对小区建筑区划内的共有部分享有共有和共同管理的权利 ②共享单车扎堆停放妨碍居民正常通行，黄某某有权要求排除妨碍、恢复正常通行 ③某公司作为手机应用程序的运营方，只是提供相关链接服务，无须承担侵权责任 ④黄某某可向业主委员会或者物业公司投诉，强制禁止共享单车进入自己所在小区 A．①② B．①④ C．②③ D．③④ 中华人民共和国民法典 第二百七十四条 建筑区划内 的道路，属于业主共有，但是属于城 镇公共道路的除外。建筑区划内的其 他公共场所、公用设施和物业服务用 房，属于业主共有。 高三年级（思想政治） 第 4 页（共 8 页）,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_西城_一模_012,2024,西城,一模,西城一模,6,C,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,在王某向赵某借了50万元，并将自己唯一的机动车交予赵某作为质押。王某又向钱某借了20万元，承诺半年后还款。结果，半年后王某并没有还款。钱某不满，在得知王某名下有机动车后，将王某诉至人民法院，要求将王某名下的机动车折价赔偿给他。以下认识正确的是中，应选C，核心判断是“②④”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“①②”与题面事实或法律规则不匹配。；B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①③”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,6． 王某向赵某借了50万元，并将自己唯一的机动车交予赵某作为质押。王某又向钱某借了20万元，承诺半年后还款。结果，半年后王某并没有还款。钱某不满，在得知王某名下有机动车后，将王某诉至人民法院，要求将王某名下的机动车折价赔偿给他。以下认识正确的是 ①本案涉及债权关系，客体是王某名下的机动车 ②本案涉及担保物权，对应的是机动车的交换价值 ③王某将机动车交予赵某，赵某则拥有了该机动车的所有权 ④赵某实际占有王某作为担保物的机动车，享有质权，可依法优先受偿 A．①② B．①③ C．②④ D．③④,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_西城_一模_012,2024,西城,一模,西城一模,7,A,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,在蔬菜照绿光加正白光、鲜肉照红光加冷白光、海鲜照蓝光加冷白光……打灯销售生鲜农产品的现象很普遍，这种灯行业内叫“生鲜灯”。“生鲜灯”照射下的食品格外诱人。国家市场监管总局修订发布的《食用农产品市场销售质量安全监督管理办法》规定，销售生鲜食用农产品，不得使用对食用农产品的真实色泽等感……中，应选A，核心判断是“①②”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①④”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“②③”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,7． 蔬菜照绿光加正白光、鲜肉照红光加冷白光、海鲜照蓝光加冷白光……打灯销售生鲜农产品的现象很普遍，这种灯行业内叫“生鲜灯”。“生鲜灯”照射下的食品格外诱人。国家市场监管总局修订发布的《食用农产品市场销售质量安全监督管理办法》规定，销售生鲜食用农产品，不得使用对食用农产品的真实色泽等感官性状造成明显改变的照明等设施误导消费者对商品的感官认知。下列观点正确的是 ①经营者应依法、诚信经营，保障消费者的合法权益 ②消费者发现经营者利用“生鲜灯”等照明设施误导自己，可依法维权 ③经营者使用“生鲜灯”销售产品属于不正当竞争，是搭他人商业信誉的便车 ④经营者利用与消费者信息不对称的优势，侵害了消费者的自主选择权 A．①② B．①④ C．②③ D．③④,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_西城_二模_013,2024,西城,二模,西城二模,13,C,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,在在人民调解方式的探索与深化方面，追求“小事不出村，大事不出镇，矛盾不上交”的“枫桥经验”是典型代表。我们要坚持好、发展好新时代“枫桥经验”，是因为它中，应选C，核心判断是“②③”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“①③”与题面事实或法律规则不匹配。；B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①④”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“②④”与题面事实或法律规则不匹配。,13．在人民调解方式的探索与深化方面，追求“小事不出村，大事不出镇，矛盾不上交”的“枫桥经验”是典型代表。我们要坚持好、发展好新时代“枫桥经验”，是因为它 ①尊重当事人的权利，只收取最基本的费用 ②是党领导下解决纠纷行之有效的基层社会治理机制和方法 ③依靠人民群众正确处理人民内部矛盾 ④由人民法院主持调解，可使当事人达成调解协议 A．①③ B．①④ C．②③ D．②④,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2024_顺义_二模_014,2024,顺义,二模,顺义思政二模,11,A,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,在小卫购买并学习了E公司的课程后，对此课程不满意，在某网站匿名评价。之后小卫向某报业公司投稿，某报业公司调查后如实报道了这起事件。E公司就此诉至法院，主张某报业公司、小卫的行为构成共同侵权，要求立即删除案涉内容，公开赔礼道歉并赔偿经济损失。一审法院判决驳回了E公司的全部诉讼请求。对……中，应选A，核心判断是“①③”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①④”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“②③”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“②④”与题面事实或法律规则不匹配。,11.小卫购买并学习了E公司的课程后，对此课程不满意，在某网站匿名评价。之后小卫向某报业公司投稿，某报业公司调查后如实报道了这起事件。E公司就此诉至法院，主张某报业公司、小卫的行为构成共同侵权，要求立即删除案涉内容，公开赔礼道歉并赔偿经济损失。一审法院判决驳回了E公司的全部诉讼请求。对此，认识正确的是 ①小卫匿名差评，积极行使了批评监督权，没有逾越法律红线 ②本判决为终审判决，E公司不得提起上诉 ③某报业公司作为新闻媒体，为公共利益如实报道，不承担民事责任 ④该案件适用举证责任倒置原则，故小卫需承担举证责任 A.①③ B.①④ C.②③ D.②④,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
2025_顺义_一模_024,2025,顺义,一模,2025顺义一模,10,A,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/细则/细则.docx,在某公司员工邓某将其已怀孕的情况告知人事部门，公司于当日通知邓某调岗到外省，调岗理由为邓某 在一年内有两天的工作日志内容一致，主观认为存在日志作假情形。邓某表示愿意在产假结束后去外省上 班。公司以其“工作日志弄虚作假，不服从公司工作安排，严重缺乏职业道德”和依据《劳动法》第三条第 ……中，应选A，核心判断是“邓某可以特殊劳动保护的原则和调岗理由缺乏事实依据，依法要求公司履行合同”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“邓某虽未完整履行义务，但公司单方解约违背了协商一致的原则，构成实际违约”与题面事实或法律规则不匹配。；C项不对在纠纷解决程序或法律效力错位，因为“邓某须以双方自愿订立的有效仲裁协议为前提申请仲裁，这是解决争议的必经程序”与题面事实或法律规则不匹配。；D项不对在劳动关系或用人单位责任边界不准，因为“公司依据《劳动法》规定，认为邓某两天的日志作假是违反职业道德，故解约合法”与题面事实或法律规则不匹配。,10．某公司员工邓某将其已怀孕的情况告知人事部门，公司于当日通知邓某调岗到外省，调岗理由为邓某 在一年内有两天的工作日志内容一致，主观认为存在日志作假情形。邓某表示愿意在产假结束后去外省上 班。公司以其“工作日志弄虚作假，不服从公司工作安排，严重缺乏职业道德”和依据《劳动法》第三条第 二款的规定向邓某发送《解除劳动合同通知函》 。因此双方发生争议。 法条链接《中华人民共和国劳动法》第三条第二款规定：“劳动者应当完成劳动任务，提高职业 第4页/共18页 技能，执行劳动安全卫生规程，遵守劳动纪律和职业道德。” 第五十八条国家对女职工和未成年工实行特殊劳动保护。 对此，下列说法正确的是（ ） A．邓某可以特殊劳动保护的原则和调岗理由缺乏事实依据，依法要求公司履行合同 B．邓某虽未完整履行义务，但公司单方解约违背了协商一致的原则，构成实际违约 C．邓某须以双方自愿订立的有效仲裁协议为前提申请仲裁，这是解决争议的必经程序 D．公司依据《劳动法》规定，认为邓某两天的日志作假是违反职业道德，故解约合法,,,accept_high,选择题私法/程序法锚点清楚且答案已锁定。
