ledger_id,suite,question_no,source_id,source_type,evidence_level,file_path_hint,status,notes
2026通州期末_Q20_SRC_35ef9424281a,2026通州期末,20,SRC_35ef9424281a,P0_candidate_scoring,P0_formal_scoring_rule,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,rechecked_batch01_promoted_source,PPTX slide15 formal scoring; six Q20 points extracted and fused as Batch01 candidates
2026通州期末_Q20_SRC_b66cc2d35877,2026通州期末,20,SRC_b66cc2d35877,P3_candidate_paper,P3_paper_text_support,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,rechecked_batch01_support,Paper PDF supports prompt/material; PPT scoring slide resolves punctuation
2026通州期末_Q20_SRC_949c6be51c74,2026通州期末,20,SRC_949c6be51c74,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/codex_extraction_logs/2026通州期末_试卷_pdf_text.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026通州期末_Q20_SRC_5b035b4e48c5,2026通州期末,20,SRC_5b035b4e48c5,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/screenshots/2026通州期末_试卷/page_07.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026通州期末_Q20_SRC_1b5dda693ba3,2026通州期末,20,SRC_1b5dda693ba3,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/screenshots/2026通州期末_试卷/page_08.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026通州期末_Q20_SRC_abd9a2350df5,2026通州期末,20,SRC_abd9a2350df5,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/screenshots/2026通州期末_试卷/page_09.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026通州期末_Q20_SRC_ea71b3089e23,2026通州期末,20,SRC_ea71b3089e23,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/screenshots/2026通州期末_试卷/page_10.png,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026朝阳期中_Q17_SRC_38b70196a1bf,2026朝阳期中,17,SRC_38b70196a1bf,P0_candidate_scoring,P0_candidate,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/extracted_text/486fe5ba720a2ff7_2024.11期中政治朝阳评标2.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026朝阳期中_Q17_SRC_559f42326f69,2026朝阳期中,17,SRC_559f42326f69,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_从0重跑_GPT55内容监督_ClaudeCode完整复跑_2026-05-02/02_extraction/codex_extraction_logs/2026朝阳期中/试卷_pdf_text.txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
2026朝阳期中_Q17_SRC_ab2a96019435,2026朝阳期中,17,SRC_ab2a96019435,P3_candidate_paper,P3_paper_text,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/extracted_text/34231242a333af45_202411朝阳高三政治 期中1试题(1).txt,located_needs_read_recheck,auto-located from current SOURCE_INVENTORY; not yet promoted to evidence
