material_atom_id,question_id,material_phrase,plain_description,subject_or_actor,action_or_event,affected_party,conflict_or_problem,legal_signal_if_any,possible_relevance_to_answer,source_locator,uncertainty
M_CC0002_2024_丰台_一模_17_01,CC0002_2024_丰台_一模_17,17.(8 分) [page 5] 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过 失的除外。,17.(8 分) [page 5] 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过 失的除外。,,,,yes,民法典,carries 法律事实/规则信号,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_02,CC0002_2024_丰台_一模_17,资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。,资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。,,,,,,背景或价值铺垫,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_03,CC0002_2024_丰台_一模_17,甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。,甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。,,,,,,背景或价值铺垫,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_04,CC0002_2024_丰台_一模_17,乙某在驾驶过程中因雨天 路滑，撞到灯杆，造 成甲某受伤住院。,乙某在驾驶过程中因雨天 路滑，撞到灯杆，造 成甲某受伤住院。,,,,,,背景或价值铺垫,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_05,CC0002_2024_丰台_一模_17,为此，乙某主动垫付了部分医疗费用。,为此，乙某主动垫付了部分医疗费用。,,,,,,背景或价值铺垫,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_06,CC0002_2024_丰台_一模_17,甲某认为， 本次交通事故对自己造成严重人身 财产损害，乙某应承担全部责任，向其赔付医疗费、误 工费和护理费等损失。,甲某认为， 本次交通事故对自己造成严重人身 财产损害，乙某应承担全部责任，向其赔付医疗费、误 工费和护理费等损失。,,,,yes,,背景或价值铺垫,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_07,CC0002_2024_丰台_一模_17,乙某认为自己好意让甲某 免费搭乘，由于客观原因发生意外，并无过错，不应该承担全部责任。,乙某认为自己好意让甲某 免费搭乘，由于客观原因发生意外，并无过错，不应该承担全部责任。,,,,,,背景或价值铺垫,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0002_2024_丰台_一模_17_08,CC0002_2024_丰台_一模_17,法院综合考虑本案好意同乘时的具体情况、事故事实以及被告乙某主动承担部分责任的行为等，酌情减轻 乙某赔偿责任。,法院综合考虑本案好意同乘时的具体情况、事故事实以及被告乙某主动承担部分责任的行为等，酌情减轻 乙某赔偿责任。,,,,yes,被告,carries 法律事实/规则信号,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,"17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。","17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。",,,,yes,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_02,CC0025_2024_朝阳_二模_17,【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 【资料包】 中华人民共和国劳动和社会保障部 发布的《关于确立劳动关系有关事项的 通知》指出:劳动关系的核心特征为劳动 者与用人单位之间具有人格、经济、组织 的从属性。,【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 【资料包】 中华人民共和国劳动和社会保障部 发布的《关于确立劳动关系有关事项的 通知》指出:劳动关系的核心特征为劳动 者与用人单位之间具有人格、经济、组织 的从属性。,,,,,用人单位,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_03,CC0025_2024_朝阳_二模_17,"认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;","认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;",,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_04,CC0025_2024_朝阳_二模_17,劳动者是否须按照平台指令完成工作任 务等。,劳动者是否须按照平台指令完成工作任 务等。,,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_05,CC0025_2024_朝阳_二模_17,"经济从属性:体现为平台企业是否 掌握劳动者从业所必需的数据信息等重 要生产资料,是否允许劳动者商定服务 价格等。","经济从属性:体现为平台企业是否 掌握劳动者从业所必需的数据信息等重 要生产资料,是否允许劳动者商定服务 价格等。",,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_06,CC0025_2024_朝阳_二模_17,"组织从属性:体现在劳动者是否被 纳入平台企业的组织体系当中,并以平 台名义对外提供服务等。","组织从属性:体现在劳动者是否被 纳入平台企业的组织体系当中,并以平 台名义对外提供服务等。",,,,,劳动者,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_07,CC0025_2024_朝阳_二模_17,"王某于2022 年6 月14 日与甲公司 订立为期1 年的《车辆管理协议》约定: 王某与甲公司建立合作关系,王某自备 面包车1 辆,通过公司平台接受派单提 供货物运输服务。","王某于2022 年6 月14 日与甲公司 订立为期1 年的《车辆管理协议》约定: 王某与甲公司建立合作关系,王某自备 面包车1 辆,通过公司平台接受派单提 供货物运输服务。",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_08,CC0025_2024_朝阳_二模_17,"甲公司与客户结算 运输费,每月向王某支付包月服务费 6000 元及奖励金。","甲公司与客户结算 运输费,每月向王某支付包月服务费 6000 元及奖励金。",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_09,CC0025_2024_朝阳_二模_17,"王某每日在公司平台签到并接受 派单,跑单时长均在8 小时以上;","王某每日在公司平台签到并接受 派单,跑单时长均在8 小时以上;",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_10,CC0025_2024_朝阳_二模_17,甲公 司通过平台对王某的订单完成情况进 行全程跟踪;,甲公 司通过平台对王某的订单完成情况进 行全程跟踪;,,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_11,CC0025_2024_朝阳_二模_17,"王某每日接单量超过4 单 时享有加单奖励,出现接单量不足、无 故拒单、货物损毁等情形时按照公司制 度扣减部分服务费。","王某每日接单量超过4 单 时享有加单奖励,出现接单量不足、无 故拒单、货物损毁等情形时按照公司制 度扣减部分服务费。",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_12,CC0025_2024_朝阳_二模_17,"2023 年3 月2 日, 甲公司因调整运营规划,提出提前终止 与王某的合作关系。","2023 年3 月2 日, 甲公司因调整运营规划,提出提前终止 与王某的合作关系。",,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_13,CC0025_2024_朝阳_二模_17,"王某认为其与甲公司之间实际上 已构成劳动关系,甲公司应当支付解除 劳动合同经济补偿,甲公司以双方是合 作关系为由拒绝,王某遂向仲裁委员会 申请仲裁。","王某认为其与甲公司之间实际上 已构成劳动关系,甲公司应当支付解除 劳动合同经济补偿,甲公司以双方是合 作关系为由拒绝,王某遂向仲裁委员会 申请仲裁。",,,,,劳动合同；经济补偿,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_14,CC0025_2024_朝阳_二模_17,【处理结果】 仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。,【处理结果】 仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。,,,,,劳动合同；经济补偿,carries 法律事实/规则信号,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0025_2024_朝阳_二模_17_15,CC0025_2024_朝阳_二模_17,[page 7] 高三思想政治 第7 页(共8 页),[page 7] 高三思想政治 第7 页(共8 页),,,,,,背景或价值铺垫,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_01,CC0040_2024_海淀_一模_19,19．（8 分）首例涉“虚拟数字人”侵权案宣判。,19．（8 分）首例涉“虚拟数字人”侵权案宣判。,,,,yes,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_02,CC0040_2024_海淀_一模_19,甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。,甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_03,CC0040_2024_海淀_一模_19,甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、11 月通过某平台发布。,甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、11 月通过某平台发布。,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_04,CC0040_2024_海淀_一模_19,其中一段用以介 绍虚拟数字人Ada 的场景应用，另一段记录真人演员与虚 拟数字人Ada 的动作捕捉画面，对虚拟数字人Ada 进行商业化使用。,其中一段用以介 绍虚拟数字人Ada 的场景应用，另一段记录真人演员与虚 拟数字人Ada 的动作捕捉画面，对虚拟数字人Ada 进行商业化使用。,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_05,CC0040_2024_海淀_一模_19,2022 年7 月，乙公司通过某社交软件发布上述两段视频，视频的居中位置使用甲公司发布的 相关视频内容，并在片头片尾替换有关标识，以及在整体视频上添加虚拟数字人课程的营销信息， 其中一段视频还添加乙公司的注册商标，并将其他虚拟数字人名称作为标题一部分。,2022 年7 月，乙公司通过某社交软件发布上述两段视频，视频的居中位置使用甲公司发布的 相关视频内容，并在片头片尾替换有关标识，以及在整体视频上添加虚拟数字人课程的营销信息， 其中一段视频还添加乙公司的注册商标，并将其他虚拟数字人名称作为标题一部分。,,,,,,背景或价值铺垫,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
M_CC0040_2024_海淀_一模_19_06,CC0040_2024_海淀_一模_19,甲公司向法 院提起诉讼，法院判决乙公司消除影响并赔偿经济损失。,甲公司向法 院提起诉讼，法院判决乙公司消除影响并赔偿经济损失。,,,,yes,消除影响；起诉,carries 法律事实/规则信号,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,heuristic_sentence_split_from_text_layer
