entry_id,suite_question,kind,framework_section,evidence_level,evidence_signal
1,2026朝阳二模 第16题,主观题,矛盾就是对立统一,正式阅卷细则,正式阅卷细则：传承与创新的关系对应“对立统一/联系”。
2,2026朝阳二模 第16题,主观题,辩证否定 / 守正创新,正式阅卷细则,正式阅卷细则：继承维度列“坚持辩证否定/发展的观点”。
3,2026朝阳二模 第16题,主观题,矛盾的特殊性 / 具体问题具体分析,正式阅卷细则,正式阅卷细则：创新维度列“回应群众需求/具体问题具体分析/一切从实际出发”。
4,2026朝阳二模 第16题,主观题,价值观的导向作用,正式阅卷细则,正式阅卷细则：落实社会主义核心价值观维度列“价值观导向作用/社会意识作用”。
5,2026朝阳二模 第21题,主观题,系统观念 / 系统优化,正式阅卷细则,正式阅卷细则：系统思维强调整体性、关联性和协同性；要求用联系、全面、整体的观点看问题。
6,2026朝阳二模 第21题,主观题,量变与质变 / 适度原则,正式阅卷细则,正式阅卷细则：战略定力的“行动持久”对应“量变与质变、久久为功”。
7,2026东城二模 第16题,主观题,实践是认识的基础,东城第16题主观题细则,东城第16题主观题细则：核心知识包括“实践与认识辩证关系”；示例写明实践是认识来源、发展动力和检验真理的标准。
8,2026东城二模 第16题,主观题,辩证否定 / 守正创新,东城第16题主观题细则,东城第16题主观题细则：材料表列“发展（辩否）”“守正创新/理论与实践统一/文化与科技融合”。
9,2026海淀二模 第16题,主观题,联系的普遍性 / 联系的观点（总）,教师版参考答案,教师版参考答案：第16题可从“联系、实践与认识”等角度作答。
10,2026海淀二模 第16题,主观题,实践与认识（总）,教师版参考答案,教师版参考答案：第16题可从“联系、实践与认识”等角度作答。
11,2026西城二模 第16题,主观题,矛盾的普遍性和特殊性,教师版参考答案,教师版参考答案：第16题可从“矛盾的普遍性和特殊性、实践、中华优秀传统文化”等角度作答。
12,2026西城二模 第16题,主观题,实践是认识的基础,教师版参考答案,教师版参考答案：第16题可从“矛盾的普遍性和特殊性、实践、中华优秀传统文化”等角度作答。
