suite,question_no,priority_group,codex_status,claudecode_status,worker_status,patcher_status,governor_status,fusion_status,evidence_status,notes
2026通州期末,20,P0硬样本,codex_worker_batch01_done,lane_b_closed,batch01_entries_written,pass_with_fixes,pass_with_fixes,candidate_with_fixes,P0_formal_scoring_rule,Batch01进入融合候选；通州六点已按评分细则展开；不得放行学生终稿
2026朝阳期中,17,P0硬样本,codex_worker_batch01_done,lane_b_closed,batch01_entries_written,pass_with_fixes,pass_with_fixes,candidate_with_fixes,P0_formal_scoring_rule,Q17总说/分说已入候选；必修二边界单列排除
2025海淀期中,16,海淀重点,codex_worker_batch01_done,lane_b_provisional_superseded_by_codex_visual,batch01_entries_written,pass,pass_with_guard,candidate_with_fixes,user_confirmed_image_scoring_material,DOCX内嵌image2已由Codex视觉核验；ClaudeCode未找到图片的blocker已被本地证据覆盖
2025海淀期中,21,海淀重点,codex_worker_batch01_done,lane_b_provisional_superseded_by_codex_visual,batch01_entries_written,pass_with_fixes,pass_with_guard,candidate_with_fixes,user_confirmed_image_scoring_material,DOCX内嵌image8已由Codex视觉核验；图片备注仍需分类
2025海淀期末,22,海淀重点,codex_worker_batch02_done,lane_b_provisional_p2,batch02_entries_written,pass_with_fixes,pass_with_fixes,candidate_with_fixes,P2_teaching_lecture_only,Batch02 fusion atom written as P2 optional short-essay knowledge; not P0 frequency
2025海淀二模,21,海淀重点,codex_worker_batch02_done,lane_b_closed,batch02_entries_written,pass_with_fixes,pass_with_fixes,candidate_with_fixes,P1_structured_scoring_answer_plus_P0_marking_record_support,Batch02 fusion atoms written with P1 structured answer + P0 marking record support; not pure P0
2024东城一模,16,东城重点,codex_worker_batch01_done,lane_b_provisional_p2,batch01_entries_written,pass_with_fixes,pass_with_guard,candidate_with_fixes,P2_teaching_or_lecture_with_marking_details,P2跨书题，只作候选；题面已视觉核读
2024东城一模,20,东城重点,codex_worker_batch01_done,lane_b_provisional_p2,batch01_entries_written,pass_with_fixes,pass_with_guard,candidate_with_fixes,P2_teaching_or_lecture_with_scoring_info,P2经济题混模块；高水平对外开放不入主链
2026朝阳一模,20,朝阳重点,codex_worker_batch02_done,lane_b_closed,batch02_entries_written,pass_with_fixes,pass_with_fixes,candidate_with_fixes,P0_formal_scoring_rule,Batch02 fusion atoms written; economic globalization full phrase preserved; no final
2026顺义一模,20,郊区样本,codex_worker_batch02_done,lane_b_closed,batch02_entries_written,pass_with_fixes,pass_with_fixes,candidate_with_fixes,P0_formal_scoring_rule,Batch02 fusion atoms written;共同利益 kept separate; short globalization phrase merged as variant
