module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组,prompt_check,score_check,surface_check,qa_flags
时代背景,机遇,和平与发展仍是时代主题,8,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
时代背景,机遇,和平与发展仍是时代主题,9,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,（本题6分）,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
理论,合作,国家间共同利益是国家合作的基础,10,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,,,NO_MATCH,EMPTY,EMPTY,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
理论,合作,国家间共同利益是国家合作的基础,14,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
理论,合作,维护国家利益是主权国家对外活动的出发点和落脚点,3,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,共享经济全球化成果，促进世界经济共同繁荣,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,6,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,建设开放型世界经济，扩大开放合作,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,中国扩大高水平对外开放与制度型开放,10,2026海淀一模Q20,中国标准走出国门撬动两个市场两种资源,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,利用两个市场两种资源优化全球资源配置,6,2026海淀一模Q20,中国标准走出国门撬动两个市场两种资源,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,,（本题8分）,EXACT,NO_MATCH,EMPTY,SCORE_TEXT_NOT_IN_CARD
