key,count,sample_title,sample_core_heading,sample_samegroup_text
2025海淀二模Q21,14,8. 2025海淀二模Q21,核心答题点：相互尊重、公平正义、合作共赢的新型国际关系,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，双向论证“中国需要联合国，联合国也需要中国”
· 中国需要联合国：联合国是当今世界最具普遍性、代表性、权威性的政府间国际组织，是集体安全机制的核心、实践多边主义的最佳场所，在维护世界和平、推动共同发展、促进人类文明进步中发挥重要作用；联合国对中国对外开放和现代化事业作出独特贡献，成为中国开展多边合作的主要舞台
· 联合国需要中国：中国作为联合国创始会员国、安理会常任理事国，是世界上最大的发展中国家和国际政治经济格局中的重要力量；中国坚定维护以联合国为核心的国际体系，维护《联合国宪章》宗旨和原则，支持联合国工作和改革；中国为完善全球治理、构建新型国际关系、弘扬全人类共同价值、坚持正确义利观、构建人类命运共同体贡献中国智慧和中国方案"
2026朝阳期中Q17,14,7. 2026朝阳期中Q17,核心答题点：维护国家利益是主权国家对外活动的出发点和落脚点,"【同题组】 （按原题答题层次）
· 答题层次：本题8分；一层3分，两层6分，三层8分；每层均按“总说：处理什么关系—分说：如何处理关系”展开
· 处理好自力更生和对外开放的关系：把核心技术自主可控、把握创新主动权、创新驱动、技术研发和核心竞争力作为自力更生一端；把国际交流合作、参与经济全球化和国际分工、发展开放型经济、共商共建共享、两个市场两种资源、国内国际双循环作为对外开放一端
· 处理好发展和安全的关系：以总体国家安全观、底线思维、维护经济安全和科技安全、完善监管与法律制度等守住安全底线；以人工智能赋能经济平稳可持续发展、高质量发展、注入新动能、降本增效、提高效率、优化资源配置和促进经济增长体现发展价值
· 处理好中国发展和世界发展的关系：一方面维护本国利益、谋求本国发展，满足人民美好生活需要，推动我国产业结构优化升级；另一方面兼顾他国合理关切，为世界提供公共产品和发展机遇，坚持正确义利观，推动发展中国家发展，贡献中国智慧和中国方案，展现大国责任，推动构建人类命运共同体"
2024朝阳一模Q21,12,2. 2024朝阳一模Q21,核心答题点：百年变局与外部风险挑战,"【同题组】 （按原题答题层次）
· 答题层次：本题9分，先分析我国当前经济形势，再回答如何在变局中开新局
· 分析我国当前经济形势：经济总量持续增长、经济增速保持稳健；我国经济进入以新发展理念引领的高质量发展阶段；外部环境日趋严峻、风险挑战增多；我国经济保持强大韧性和良好势头，在世界经济中的地位和贡献稳步提升
· 政治多极化维度：面对外部风险挑战，要维护我国主权、安全和发展利益，在谋求本国发展中促进各国共同发展，坚持合作共赢，推动建设新型国际关系，推动构建人类命运共同体，为我国发展营造良好外部环境
· 经济全球化维度：依托我国超大规模市场优势，增强国内国际两个市场两种资源联动效应，深度参与全球产业分工和合作，推进高水平对外开放，构建国内国际双循环相互促进的新发展格局，同时坚持独立自主、自力更生，把发展主动权牢牢掌握在自己手中"
2026顺义一模Q20,12,10. 2026顺义一模Q20,核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，按共同利益必答、国际政治、国际经济组织
· 必答基础：国家间共同利益是国家合作的基础，科技小院回应全球南方农业发展、人才培养、绿色发展和可持续发展的共同需求
· 国际政治：和平与发展是时代主题；构建人类命运共同体是习近平外交思想的核心理念；可结合独立自主的和平外交政策、外交政策宗旨、正确义利观、新型国际关系、合作共赢、互利共赢、共享发展成果说明南南合作为什么能成为典范
· 国际经济：科技小院输出农业技术、提升生产率、降低成本、培养本土人才、激发内生发展动力，体现经济全球化朝普惠、平衡、共赢方向发展，让更多全球南方国家共享发展成果"
2026石景山一模Q20,11,15. 2026石景山一模Q20,核心答题点：和平与发展仍是时代主题,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，任选两个关键词，每个关键词按学科用语加合理分析展开
· 共同：可从共商共建共享、人类命运共同体、维护共同利益等角度说明，中国倡议推动亚太各方共同维护多边贸易体制、共同推进产业链供应链稳定、共享区域发展繁荣，维护亚太各国共同利益
· 开放：可从经济全球化、贸易和投资自由化便利化、多边主义、开放型区域经济等角度说明，中国倡议坚持世贸组织基本原则，破除贸易壁垒，深化合作共赢，夯实亚太开放发展的基础
· 包容：可从和平发展合作共赢、包容普惠的经济全球化、维护发展中国家正当权益等角度说明，中国倡议着力解决发展不平衡问题，使发展成果更加可持续、更好惠及亚太全体人民"
2024朝阳期中Q20(3),9,"2. 2024朝阳期中Q20(3)""数字驱动商通全球""短评",核心答题点：共享经济全球化成果，促进世界经济共同繁荣,"【同题组】 （按原题答题层次）
· 答题层次：本题10分，短评题，按题目、三段材料分别点评、总结或总评组织
· 短评题目（1分）
· 三段材料分别点评（6分，每段“事实1分+点评1分”）：汇集新产品，写数贸会推动数字科技产品贸易和使用，促进全球经济创新发展；打造新平台，写数贸会搭建交流合作平台，促进相互投资贸易，为各国企业创造有利机遇，或更好利用两个市场两种资源；带来新机遇，写数字平台和电子商务降低贸易成本、提升贸易便捷度、促进产品全球流通、共享中国发展机遇
· 总结或总评（2分）：办好数字贸易博览会，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；体现中国平等开放、合作共享的全球治理理念，或有利于我国建设高层次开放型经济"
2025东城一模Q20,8,1. 2025东城一模Q20,核心答题点：国家间共同利益是国家合作的基础,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按原题三层评分细则组织
· 第一层（4分）：①共同利益是合作的基础（2分；替代：具体合作，如共建“一带一路”、贸易自由化便利化，可给1分）；②推动高水平对外开放/促进高质量发展/推动经济全球化发展朝着更加开放、包容、普惠、平衡、共赢的方向发展（2分）
· 第二层（2分）：维护发展中国家的利益（2分；替代：完善全球治理/推进国际关系民主化，可给1分）
· 第三层（2分）：开辟中国特色大国外交的新境界/构建人类命运共同体的新实践（2分）"
2025西城二模Q19(2),8,1. 2025西城二模Q19(2),核心答题点：对最不发达国家实行零关税，推动普惠包容的经济全球化,"【同题组】 （按原题答题层次）
· 答题层次：本题5分，按中国担当3分和世界意义2分组织
· 中国担当（3分）：开放广阔的中国市场或坚持正确义利观（1分）；与发展中国家或最不发达国家共享发展新机遇，惠民生增福祉，实现互利共赢（2分，需有对象和具体说明）
· 世界意义（2分）：推动普惠包容的经济全球化/建设开放型世界经济/促进贸易自由化，促进共同发展、维护持久和平，共同推进现代化；任意1点1分，共2分"
2026房山二模Q20,8,3. 2026房山二模Q20,核心答题点：共同利益是合作的基础,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，围绕世界数据组织完善全球数据治理、服务全球数字经济发展的智慧组织
· 治理方向：普惠包容的经济全球化、平等有序的世界多极化，共同利益/共同发展，合作共赢/互利共赢
· 治理方式：共商共建共享的全球治理观、真正的多边主义，推动数据要素在全球范围内流动
· 材料落点：结合世界数据组织弥合数据鸿沟、释放数据价值、繁荣数字经济说明中国智慧"
2024海淀一模Q18(1),7,3. 2024海淀一模Q18(1),核心答题点：促进全球资源优化配置和国际贸易发展,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，按细则三项组织
· ①促进贸易投资便利化、自由化（2分；替代：促进贸易往来；促进对外合作交流/便利国内外交流/便利人员往来/降低活动成本可给1分，不重复给分）
· ②吸引全球资源要素自由流动（1分）；充分利用国内国际两种资源、两个市场（2分；替代：开放、包容、普惠、共赢/互利共赢/国内国际双循环）
· ③推进高水平对外开放/发展更高水平开放型经济（1分；替代：更大范围、更宽领域对外开放）"
