ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_Q0001_2024_东城_一模_16_01,Q0001_2024_东城_一模_16,"结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等
（每一层2分，满分7分）
细则：
[slide 72]
示例：
坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展；
坚持系统优化的方法，既疏解非首都功能又发挥一核两翼的作用，促进区域协调发展，助推首都都市圈高质量发展；
坚持创新绿色发展，发挥三地比较优势，促进产业优化升级，构建创新引领协调发展的现化化产业体系，助推首都都市圈高质量发展。",综合,不确定,yes,yes,uncertain,no,"结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等
（每一层2分，满分7分）
细则：
[slide 72]
示例：
坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展；
坚持系统优化的方法，既疏解非首都功能又发挥一核两翼的作用，促进区域协调发展，助推首都都市圈高质量发展；
坚持创新绿色发展，发挥三地比较优势，促进产业优化升级，构建创新引领协调发展的现化化产业体系，助推首都都市圈高质量发展。",F0009:slide 27 | F0234:slide 27
A_Q0003_2024_东城_二模_18_2_01,Q0003_2024_东城_二模_18_2,请你运用相关知识，针对不同主体各提一条建议，并说明其理论依据。,建议,不确定,uncertain,yes,uncertain,yes,请你运用相关知识，针对不同主体各提一条建议，并说明其理论依据。,F0036:text | F0261:text
A_Q0004_2024_东城_二模_19_1_01,Q0004_2024_东城_二模_19_1,"请求”，其是被告向原告主张的利益，不少学生对原告提出诉讼请求
3.不能始终如一的站在自己立场的上提出主张
4.审题不清，将当事人的情况和诉求弄混 | 试卷讲评建议 | 锻炼学生概括情境案例的能力，尤其是提取关键信息的能力。",建议,不确定,uncertain,yes,uncertain,yes,"请求”，其是被告向原告主张的利益，不少学生对原告提出诉讼请求
3.不能始终如一的站在自己立场的上提出主张
4.审题不清，将当事人的情况和诉求弄混 | 试卷讲评建议 | 锻炼学生概括情境案例的能力，尤其是提取关键信息的能力。",F0037:text | F0262:text
A_Q0005_2024_丰台_一模_16_01,Q0005_2024_丰台_一模_16,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,F0044:text | F0268:text
A_Q0006_2024_丰台_一模_17_01,Q0006_2024_丰台_一模_17,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8
A_Q0007_2024_丰台_二模_17_01,Q0007_2024_丰台_二模_17,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,说明,法律与生活,uncertain,yes,uncertain,no,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,F0047:text | F0270:text
A_Q0009_2024_朝阳_一模_19_01,Q0009_2024_朝阳_一模_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0014:text | F0239:text
A_Q0010_2024_朝阳_一模_20_2404_01,Q0010_2024_朝阳_一模_20_2404,结合上述资料ꎬ在分析我国当前经济形势的基础上ꎬ运用«当代国际政治与经济»知识ꎬ,说明,不确定,uncertain,yes,uncertain,no,结合上述资料ꎬ在分析我国当前经济形势的基础上ꎬ运用«当代国际政治与经济»知识ꎬ,F0237:text
A_Q0011_2024_朝阳_二模_17_01,Q0011_2024_朝阳_二模_17,"请仲裁。
【处理结果】
仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。
结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",意义,不确定,yes,yes,uncertain,no,"请仲裁。
【处理结果】
仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。
结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2
A_Q0012_2024_朝阳_二模_18_01,Q0012_2024_朝阳_二模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0018:page 2 | F0241:page 2
