canonical_question_id,suite_id,original_qno,question_type,section_scope,knowledge_node,reasoning_node,phase04_level,answer_pairing_status,rubric_pairing_status,visual_status,phase12_rescan_category,blocker_reason,phase12_initial_rescan_category,phase12_final_action,phase12_rescan_note
Q-2024朝阳一模-1,S-2024朝阳一模,1,选择题,待判,判断;概念,逻辑三律与概念规则,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,blocked,scope pending or boundary row,new_candidate,blocked_keep_out,范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳一模-10,S-2024朝阳一模,10,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-11,S-2024朝阳一模,11,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-12,S-2024朝阳一模,12,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-13,S-2024朝阳一模,13,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-14,S-2024朝阳一模,14,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-15,S-2024朝阳一模,15,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-16,S-2024朝阳一模,16,主观题,待判,归纳,归纳推理与因果探求,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,blocked,scope pending or boundary row,new_candidate,blocked_keep_out,范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳一模-17,S-2024朝阳一模,17,主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳一模-19,S-2024朝阳一模,19,主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳一模-2,S-2024朝阳一模,2,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,推理,假言;充分条件;判断;前提;必要条件;推理;演绎推理,假言推理;其他复合推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_031,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,推理,假言;充分条件;判断;前提;必要条件;推理;演绎推理,假言推理;其他复合推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_031,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,推理,前提,其他复合推理,L0_BLOCKED,answer_confirmed_from_rubric_031_当代国政经,formal_rubric_pptx_其他模块,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,out_of_scope,scope_out=当代国际政治与经济(非选必三逻辑与思维),new_candidate,excluded_keep_out,scope_out=当代国际政治与经济(非选必三逻辑与思维)
Q-2024朝阳一模-3,S-2024朝阳一模,3,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-4,S-2024朝阳一模,4,选择题,待判,归纳;辩证思维,归纳推理与因果探求,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,blocked,scope pending or boundary row,new_candidate,blocked_keep_out,范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳一模-5,S-2024朝阳一模,5,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-6,S-2024朝阳一模,6,选择题,待判,排中律;概念;矛盾律,逻辑三律与概念规则,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,new_body_candidate,scope pending or boundary row,new_candidate,body_after_362_repair,逻辑规则选择题，讲评材料给出答案和 A/B/C/D 逻辑诊断，可转 review-only 正文。
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,思维,创新思维;发散思维;想象;聚合思维;超前思维;迁移,,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_C_from_031_pptx,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳一模-8,S-2024朝阳一模,8,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,思维,系统观念,,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_D_from_031_pptx,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳二模-1,S-2024朝阳二模,1,选择题,待判,判断;必要条件;联言,假言推理;联言推理,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,visual_missing,choice options not fully detected in text,new_candidate,blocked_keep_out,选择题选项未完整恢复，不能转正文。
Q-2024朝阳二模-10,S-2024朝阳二模,10,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-11,S-2024朝阳二模,11,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-12,S-2024朝阳二模,12,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-13,S-2024朝阳二模,13,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-14,S-2024朝阳二模,14,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-15,S-2024朝阳二模,15,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
