question_id,year,district,exam_stage,question_no,ask_text,evidence_level,framework_entry_node,why_this_entry,ask_trigger,material_trigger,minimum_judgment_required,material_layering,legal_knowledge_triggered,rubric_atom_ids_matched,full_score_sentence_generated,complete_answer_generated,lost_points_if_any,reason_for_loss,module_boundary_risk,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,pass_status,patch_needed,patch_type,patch_suggestion,final_body_status,final_use_rule
CC0001_2024_丰台_一模_16,2024,丰台,一模,16,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,formal,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,codes=无交叉验证核心code；材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,16.结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动力。 | 参考答案： 中国共产党是中国特色社会主义事业的领导核心，“四下基层”是党坚持群众路线、密切联系群众的重要抓手，能为社会主义现代化建设注入强进动力。 | 通过宣传，使党的路线、方针、政策直达基层，落地生根；,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,R_CC0001_2024_丰台_一模_16_01 ; R_CC0001_2024_丰台_一模_16_02 ; R_CC0001_2024_丰台_一模_16_03 ; R_CC0001_2024_丰台_一模_16_04,不生成选必二法律满分句；先移入边界复核/剔除清单。,该题在 v1 压测中不作为选必二法律主观题闭环样本。,无法进入 v1 法律框架，若硬写会偏成非选必二或空泛法治表达。,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,选必二,high,medium,FAIL,yes,必修三化,移入模块边界复核表；若细则主干不是法律规则，不进入最终宝典正文。,边界复核，不进入正文,不作法律题示范，只作边界排除
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,formal,F6 价值收束必须从法律规则推出,codes=CB01；题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,合同/责任事实；相邻/民法原则事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,17.(8 分) [page 5] 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减 | 资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。 | 甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。,法理依据与现实意义分层,R_CC0002_2024_丰台_一模_17_M17_01 ; R_CC0002_2024_丰台_一模_17_M17_02 ; R_CC0002_2024_丰台_一模_17_M17_03 ; R_CC0002_2024_丰台_一模_17_M17_04,法理依据5分：法院判决应以事实为依据，以法律为准绳，为必踩点1分。；法理依据：双方形成好意同乘，需明确权利义务；涉及侵权责任一般规定，2分。,法理依据5分：法院判决应以事实为依据，以法律为准绳，为必踩点1分。。法理依据：双方形成好意同乘，需明确权利义务；涉及侵权责任一般规定，2分。。法理依据：结合好意同乘事故减轻赔偿责任的条件和案件事实进行说明，2分。。现实意义：维护双方合法权益，1分。,未见明显丢分点；压测仍需人工抽查细则原文。,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,选必二,high,medium,PASS,no,,无需 v1 修补；进入 v2 时保持节点证据映射。,正文示范,可作为主干满分示范
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,formal,F3 定准法律入口：从六类候选中选,codes=CB09；题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,17. （8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。 | 在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。 | 依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。,相邻关系与民法原则锚句,R_CC0011_2024_丰台_二模_17_01,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。）,未见明显丢分点；压测仍需人工抽查细则原文。,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,选必二,high,medium,PASS,no,,无需 v1 修补；进入 v2 时保持节点证据映射。,正文示范,可作为主干满分示范
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,,formal,F3 定准法律入口：从六类候选中选,codes=CB09；题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,设问抽取不完整，需回源,合同/责任事实；消费/IP/竞争事实；相邻/民法原则事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,19.（7分） 社会主义市场经济本质上是法治经济。 | 民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 | 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；,相邻关系与民法原则锚句,R_CC0019_2024_朝阳_一模_19_01,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。","19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",未见明显丢分点；压测仍需人工抽查细则原文。,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,选必二,high,medium,PASS,no,,无需 v1 修补；进入 v2 时保持节点证据映射。,正文示范,可作为主干满分示范
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",formal,F3 定准法律入口：从六类候选中选 + F2 把材料事实翻译成法律事实,codes=CB02;CB03;CB04;CB10；题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",劳动/用工事实；合同/责任事实；程序/证据事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,"17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 | 【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 | 认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;",平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡 ; 材料事实转译为法律语言,R_CC0025_2024_朝阳_二模_17_01 ; R_CC0025_2024_朝阳_二模_17_02 ; R_CC0025_2024_朝阳_二模_17_03 ; R_CC0025_2024_朝阳_二模_17_04,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。；原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。。原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；。甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显 的经济从属性；。王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属 性。,未见明显丢分点；压测仍需人工抽查细则原文。,题号已由交叉验证代码本支撑，v1 可从设问、材料转译、定性/责任/价值生成答案。,选必二,high,medium,PASS,no,,无需 v1 修补；进入 v2 时保持节点证据映射。,正文示范,可作为主干满分示范
CC0026_2024_朝阳_二模_18,2024,朝阳,二模,18,,formal,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,codes=无交叉验证核心code；材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,设问抽取不完整，需回源,劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,"18. 5% 比上年增长 7. 1% 6. 0% 4. 2% 5. 4% 下列说法正确的是 ①提高经营净收入和财产净收入占比有助于缩小居民收入差距 ②转移净收入快速增长说明我国 | 2023 年7 月,我国民 营商业航天企业自主研制的全球首枚液氧甲烷火箭成功发射,标志着我国运载火箭在 新型低成本液体推进剂应用方面取得突破,走过了从“0”到“1”的“拓荒”阶 | 对此,下列选项正确的是 ①“商业航天”与“航天”两个概念是属种关系 ②我国商业航天的发展体现了事物发展过程中的渐进性与飞跃性 ③我国商业航天的发展应以航天“国家队”为主,坚持底",劳动/用工事实；合同/责任事实；相邻/民法原则事实；程序/证据事实；意义/价值收束任务,R_CC0026_2024_朝阳_二模_18_01 ; R_CC0026_2024_朝阳_二模_18_02 ; R_CC0026_2024_朝阳_二模_18_03 ; R_CC0026_2024_朝阳_二模_18_04,不生成选必二法律满分句；先移入边界复核/剔除清单。,该题在 v1 压测中不作为选必二法律主观题闭环样本。,无法进入 v1 法律框架，若硬写会偏成非选必二或空泛法治表达。,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,选必二,high,medium,FAIL,yes,必修三化,移入模块边界复核表；若细则主干不是法律规则，不进入最终宝典正文。,边界复核，不进入正文,不作法律题示范，只作边界排除
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,运用《法律与生活》知识，谈谈对本案判决的认识。,reference_only,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,codes=无交叉验证核心code；只有 reference_only 或普通答案，不能宣称满分闭环，只能作弱验证。,运用《法律与生活》知识，谈谈对本案判决的认识。,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,19．（8 分）首例涉“虚拟数字人”侵权案宣判。 | 甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。 | 甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、,劳动/用工事实；合同/责任事实；消费/IP/竞争事实；程序/证据事实；意义/价值收束任务,R_CC0040_2024_海淀_一模_19_01,19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。,19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。,可能丢失部分细则闭合、低频题源或正式评分依据。,只有 reference_only 或普通答案，不能宣称满分闭环，只能作弱验证。,选必二,high,medium,PARTIAL,yes,证据不足,保留为 reference_only 验证题，等待正式细则/评标后再决定是否入核心。,开放容器/弱证据示范,只作弱示范，需补正式细则
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,formal,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,codes=无交叉验证核心code；有法律信号但未进入交叉验证代码本核心，v1 可试启动但不能证明全细则闭合。,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,合同/责任事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,19．（6 分）遗赠扶养协议纠纷案宣判。 | 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至 | 曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。,合同/责任事实；意义/价值收束任务,R_CC0045_2024_海淀_二模_19_01,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,可能丢失部分细则闭合、低频题源或正式评分依据。,有法律信号但未进入交叉验证代码本核心，v1 可试启动但不能证明全细则闭合。,选必二,high,medium,PARTIAL,yes,漏节点,作为开放容器低频题源记录；回源补证后再决定是否新增/拆分 code，不凭单题扩核心。,开放容器/弱证据示范,只作弱示范，需补正式细则
CC0047_2024_海淀_二模_21,2024,海淀,二模,21,结合材料，综合运用所学，谈谈如何循“新”出发，实现“既宏伟又朴素”的目标。,formal,F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,codes=无交叉验证核心code；材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,结合材料，综合运用所学，谈谈如何循“新”出发，实现“既宏伟又朴素”的目标。,劳动/用工事实；程序/证据事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,21．（8分）循“新”出发，向“新”而行。 | 习近平总书记强调：“我们的目标很宏伟，也很朴素，归根到底就是让老百姓过上更好的日子。 | 孩子的抚养教育，年轻人的就业成才，老年人的就医养老，是家事也是国事，大家要共同努力，把这些事办好。,劳动/用工事实；程序/证据事实；意义/价值收束任务,R_CC0047_2024_海淀_二模_21_01 ; R_CC0047_2024_海淀_二模_21_02 ; R_CC0047_2024_海淀_二模_21_03 ; R_CC0047_2024_海淀_二模_21_04,不生成选必二法律满分句；先移入边界复核/剔除清单。,该题在 v1 压测中不作为选必二法律主观题闭环样本。,无法进入 v1 法律框架，若硬写会偏成非选必二或空泛法治表达。,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,选必二,high,medium,FAIL,yes,必修三化,移入模块边界复核表；若细则主干不是法律规则，不进入最终宝典正文。,边界复核，不进入正文,不作法律题示范，只作边界排除
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,运用法治知识，对小海的观点进行评析。,formal,F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选 + F6 价值收束必须从法律规则推出,codes=无交叉验证核心code；材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,运用法治知识，对小海的观点进行评析。,相邻/民法原则事实；意义/价值收束任务,先判断设问终点，再把材料事实转译为法律事实，并确定核心法律入口。,"21（1）75 年，大国自信而坚定的脚步。 | 1950年5月1日,《中华人民共和国婚姻法》开始施行。 | 这是新中国成立后颁布的第一部具有基本法律性质 的法律，彻底废除了封建主义家庭制度，确立了以婚姻自由、一夫一妻、保护妇女儿童权益为原则的社会主 义婚姻家庭制度。",相邻/民法原则事实；意义/价值收束任务,R_CC0051_2024_海淀_期中_21_1_01 ; R_CC0051_2024_海淀_期中_21_1_02 ; R_CC0051_2024_海淀_期中_21_1_03 ; R_CC0051_2024_海淀_期中_21_1_04,不生成选必二法律满分句；先移入边界复核/剔除清单。,该题在 v1 压测中不作为选必二法律主观题闭环样本。,无法进入 v1 法律框架，若硬写会偏成非选必二或空泛法治表达。,材料/细则显示强模块边界风险或疑似误收，v1 不应把它作为选必二法律主观题核心样本。,选必二,high,low,FAIL,yes,必修三化,移入模块边界复核表；若细则主干不是法律规则，不进入最终宝典正文。,边界复核，不进入正文,不作法律题示范，只作边界排除
