source,extract,status,chars
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025东城一模_细则_2025东城一模细则.pdf.txt,ok,5825
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025东城一模_试卷_2025北京东城高三一模政治（教师版）.pdf.txt,ok,7943
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025朝阳一模_其他材料_20250329高3阅卷总结17_1题_具身智能_任会波组_阐释论证.doc.txt,old_doc_not_extracted,47
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025朝阳一模_其他材料_20250329高3阅卷总结18题_社区治理_汤桃玲组_探究建构.doc.txt,old_doc_not_extracted,47
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025朝阳一模_其他材料_20250329高3阅卷总结19题_合同欺诈_阐释论证.doc.txt,old_doc_not_extracted,47
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025朝阳一模_其他材料_高三政治一模试卷讲评.pptx.txt,ok,69146
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\细则\2025朝阳一模细则.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025朝阳一模_细则_2025朝阳一模细则.pdf.txt,empty_text,18
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模\试卷\2025北京朝阳高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025朝阳一模_试卷_2025北京朝阳高三一模政治（教师版）.pdf.txt,ok,9876
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\其他材料\EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025海淀一模_其他材料_EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf.txt,ok,2899
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\细则\2025海淀一模细则.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025海淀一模_细则_2025海淀一模细则.docx.txt,ok,996
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模\试卷\2025北京海淀高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025海淀一模_试卷_2025北京海淀高三一模政治（教师版）.pdf.txt,ok,9303
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025西城一模_细则_2025西城一模细则.docx.txt,ok,4019
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\试卷\2025北京西城高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区一模_2025西城一模_试卷_2025北京西城高三一模政治（教师版）.pdf.txt,ok,9629
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025东城二模_细则_2025东城二模细则.pdf.txt,ok,5612
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\试卷\2025北京东城高三二模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025东城二模_试卷_2025北京东城高三二模政治（教师版）.pdf.txt,ok,8011
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\其他材料\扫描全能王 2025-05-13 21.42.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025朝阳二模_其他材料_扫描全能王_2025-05-13_21.42.pdf.txt,empty_text,18
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\细则\2025朝阳二模细则.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025朝阳二模_细则_2025朝阳二模细则.docx.txt,ok,7506
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\试卷\2025北京朝阳高三二模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025朝阳二模_试卷_2025北京朝阳高三二模政治（教师版）.pdf.txt,ok,9859
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025届二模考试讲评0510.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf.txt,ok,12638
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\其他材料\2025年海淀二模评标实录.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025海淀二模_其他材料_2025年海淀二模评标实录.docx.txt,ok,2083
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\细则\2025海淀二模细则.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025海淀二模_细则_2025海淀二模细则.docx.txt,ok,2763
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\试卷\2025北京海淀高三二模政治.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025海淀二模_试卷_2025北京海淀高三二模政治.pdf.txt,empty_text,18
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\细则\2025西城二模细则.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025西城二模_细则_2025西城二模细则.docx.txt,ok,4220
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模\试卷\2025北京西城高三二模政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区二模_2025西城二模_试卷_2025北京西城高三二模政治（教师版）.pdf.txt,ok,9170
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\其他材料\2025。1东城讲评 修改.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025东城期末_其他材料_2025。1东城讲评_修改.pdf.txt,ok,3432
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\细则\2025东城期末细则.pptx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025东城期末_细则_2025东城期末细则.pptx.txt,ok,4440
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\试卷\2025北京东城高三（上）期末政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025东城期末_试卷_2025北京东城高三（上）期末政治（教师版）.pdf.txt,ok,21968
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\其他材料\朝阳高三期末2025.pptx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025朝阳期末_其他材料_朝阳高三期末2025.pptx.txt,ok,14287
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\细则\2025朝阳期末细则.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025朝阳期末_细则_2025朝阳期末细则.pdf.txt,empty_text,18
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末\试卷\2025北京朝阳高三（上）期末政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025朝阳期末_试卷_2025北京朝阳高三（上）期末政治（教师版）.pdf.txt,ok,9743
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\细则\2025海淀期中细则.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025海淀期中_细则_2025海淀期中细则.docx.txt,ok,1442
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中\试卷\2024北京海淀高三（上）期中政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025海淀期中_试卷_2024北京海淀高三（上）期中政治（教师版）.pdf.txt,ok,9848
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\细则\2025海淀期末细则.pptx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025海淀期末_细则_2025海淀期末细则.pptx.txt,ok,14296
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末\试卷\2025北京海淀高三（上）期末政治（教师版）.docx,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025海淀期末_试卷_2025北京海淀高三（上）期末政治（教师版）.docx.txt,ok,10105
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\细则\2025西城期末细则.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025西城期末_细则_2025西城期末细则.pdf.txt,ok,4079
C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末\试卷\2025北京西城高三（上）期末政治（教师版）.pdf,C:\Users\Administrator\Desktop\4.25凌晨政治庄园\04_证据与日志\PHI-02_extracts\2025各区期末_2025西城期末_试卷_2025北京西城高三（上）期末政治（教师版）.pdf.txt,ok,8305
