framework_node,parent_path,入正文题,选择题陷阱题,辅助挂载题,辅助理解题,同类索引题,blocked题,excluded题,证据等级集合,备注
科学思维-客观性,科学思维>客观性,Q-2024海淀二模-17-1;Q-2025海淀期末-17-1;Q-2024西城一模-19-5,,,,,,,A-formal,028细则确认；时间利用调查全面真实准确反映对象=客观性 / 015细则确认；永动机违反能量守恒=违背客观规律=客观性反面 / 025细则确认；立足实践调查研究=客观性的实践基础点
科学思维-探索性·方法更新,科学思维>探索性,Q-2024海淀二模-17-1,,,,,,,A-formal,028细则三新支持点（按SCIENCE_ONLY_SOURCE_SUPPORTED锁定为科学思维下的探索性而非独立创新思
科学思维-整体安排,科学思维>整体安排,Q-2024海淀二模-17-1,,,,,,,A-formal,028细则三阶段任务安排支持点（按SCIENCE_ONLY_SOURCE_SUPPORTED锁定）
科学思维-预见性,科学思维>预见性,,,Q-2025海淀二模-12,,,,,B-choice-signal,supplemental answer source确认D；耐心资本看长期/趋势=预见性诱惑但归到超前思维更准
辩证思维-分析与综合,辩证思维>分析综合,Q-2025海淀二模-20,,,,,,,A-formal,009/010/011细则确认；共享四维度分析后综合到共同富裕
辩证思维-整体性·系统优化,辩证思维>整体性,Q-2025海淀二模-20,Q-2025海淀期末-2,,,,,,A-formal;B-choice-signal,与分析综合并列；细则角度池1 / 015试卷确认C(②③)；旅游项目关注乘客与环境关系=整体性
辩证思维-质量互变·动态性,辩证思维>动态性,Q-2025海淀二模-20,Q-2025海淀期末-5,,,,,,A-formal;B-choice-signal,细则角度池2；渐进共享=量变质变 / 015试卷确认D(③④)；④渐进性飞跃性统一=动态性硬信号
辩证思维-辩证否定（扬弃）,辩证思维>辩证否定,Q-2025海淀二模-20,,,,,,,A-support,细则角度池3；保留+克服=扬弃
辩证思维-矛盾分析法,辩证思维>矛盾分析法,Q-2024西城一模-19-5,,Q-2025海淀二模-20,,,,,A-formal;A-support,细则备注最多2分；共建共享对立统一 / 025细则附中补内外矛盾；趋势研判
创新思维-思路新方法新结果新（三新）,创新思维>三新,,,,Q-2024海淀二模-17-1,,,,A-support,028细则三新支持点（本轮按SCIENCE_ONLY_SOURCE_SUPPORTED上挂科学思维-探索性，三新作为辅助
创新思维-联想思维（同化性迁移）,创新思维>联想,Q-2025海淀期末-18,Q-2024西城一模-13;Q-2025海淀期末-2,,,,,,A-formal;B-choice-signal,015细则确认；赤印意象迁移到建筑设计=同化性迁移 / 025细则确认B；火字联想散漫飘忽=非逻辑制约畅想性 / 015试卷确认C(②③)；②场景迁移=联想思维
创新思维-逆向思维,创新思维>逆向思维,Q-2025海淀期末-18,,,,,,,A-formal,015细则确认；人找书→书找人=结构顺序反向思考
创新思维-发散思维与聚合思维,创新思维>发散与聚合,,,Q-2025海淀期末-18,,,,,A-support,细则未单独点名；多元资源整合呈发散聚合两翼用法
创新思维-超前思维,创新思维>超前思维,Q-2025海淀二模-12;Q-2024西城一模-19-5,,,,,,,A-support;B-choice-signal,supplemental source确认D；耐心资本看长期/趋势/风险收益平衡 / 025细则附中补超前思维；未来产业未成形需提前布局
创新思维-推理与想象,创新思维>推理与想象,Q-2024西城一模-19-5,,,,,,,A-formal,025细则确认；由过去现在推未来=合理运用推理想象
创新思维-改变创造条件·建立新的具体联系,创新思维>改变条件,Q-2025西城二模-16-3,,,,,,,A-formal,037细则确认；调整种植结构等运用创新思维改变创造条件
认识发展历程-感性具体,认识发展历程>感性具体,Q-2024海淀二模-17-2,,,,,,,A-formal,028细则确认；调查了解阶段=感性具体
认识发展历程-思维抽象,认识发展历程>思维抽象,Q-2024海淀二模-17-2,,,,,,,A-formal,028细则确认；分析研究阶段从杂多现象抽出本质
认识发展历程-思维具体,认识发展历程>思维具体,Q-2024海淀二模-17-2,,,,,,,A-formal,028细则确认；本质再回到完整整体图景
形式逻辑-概念-下定义结构,形式逻辑>概念>下定义,Q-2024西城一模-19-2,,,,,,,A-formal,025细则确认2分；被定义项+联结词+种差+邻近属
形式逻辑-概念-外延关系（属种/相容）,形式逻辑>概念>外延关系,Q-2024西城一模-19-3;Q-2025西城二模-6,Q-2024海淀二模-6,,,,,,A-formal;B-choice-signal,025细则确认1分；举国体制与新型举国体制属种关系 / 037细则确认C；洛阳红:牡丹与谷雨:节气同为属种 / 028细则确认C；国债分类外延+属性识别+换位推理
形式逻辑-概念-属性识别,形式逻辑>概念>属性,Q-2024海淀二模-6,,,,,,,B-choice-signal,028细则确认C；'发行期限10年以上'反映超长期特别国债的属性
形式逻辑-判断-选言判断（相容/不相容）,形式逻辑>判断>选言,Q-2025海淀期末-8,,,,,,,B-choice-signal,015试卷确认D；不相容选言为真则相容选言必真
形式逻辑-推理-换位推理规则,形式逻辑>推理>换位,,,,Q-2024海淀二模-6,,,,B-choice-signal,028细则确认C；D选项陷阱'增量工具是特别国债'违反全称肯定换位
推理-演绎推理-充分条件假言推理（肯定后件无效）,推理>演绎>充分条件,Q-2025西城二模-16-2,,,,,,,A-formal,037细则确认4分；后件真不能必推前件真
推理-演绎推理-必要条件假言推理,推理>演绎>必要条件,,Q-2025西城二模-7,,,,,,B-choice-signal,037试卷确认C(②④)；甲医生'只有p才q'必要条件假言
推理-演绎推理-三段论（中项周延/有效式）,推理>演绎>三段论,,Q-2025海淀二模-13,,,,,,B-choice-signal,supplemental source确认C；C三段论有效式为正项
推理-归纳推理-完全归纳推理,推理>归纳>完全归纳,,Q-2024西城一模-11,,,,,,B-choice-signal,025细则确认B(①③)；三舱段三个全枚举
推理-归纳推理-求异法（因果探求）,推理>归纳>求异法,,Q-2024海淀二模-5;Q-2025西城二模-7,,,,,,B-choice-signal,028细则确认A；阳光晒/遮挡/室内三组场合差异中找原因 / 037细则确认C(②④)；②乙医生求异法
推理-类比推理（可信度限制）,推理>类比,,Q-2025西城二模-7,,,,,,B-choice-signal,037试卷确认C；丙医生类比推理可信度最低
推理-逻辑错误-小项不当周延（小项扩大）,推理>错误>小项扩大,,,,,（同类索引；本批未发现新硬样本，跨批引用2024朝阳二模-7）,,,—,跨batch引用：2024朝阳二模-7锁定为小项扩大；本批未新增硬样本
推理-逻辑错误-轻率概括vs四概念（伯乐之子）,推理>错误>四概念,,Q-2025海淀期末-8(C项陷阱),,,,,,B-choice-signal,015试卷C项陷阱；伯乐之子把癞蛤蟆判为好马=外延错乱/四概念诱称'轻率概括'
综合应用·综合短文（同类索引节点）,综合,,,,,Q-2024海淀二模-21;Q-2025海淀期末-22,,,boundary,028细则水平描述+热词+知识运用；综合所学短文，作为综合题同类索引保留 / 015细则可选知识含质量互变规律；本节点fusion-only attach，不入正文
