priority,reasons,question_id,label,suite_id,year,district,stage,question_no,question_type,include_status,curation_status,evidence_status,secondary_score,rubric_source,answer_source,candidate_answer,front_domain,complete_prompt_preview
1,rubric_pending,2024_海淀_二模_010_Q11,2024 海淀 二模 海淀二模 第11题,2024_海淀_二模_010,2024,海淀,二模,11,choice,included,accept_high,rubric_match_pending,kept_current,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,,人格权侵权,10 日内，在其公司的手机应用程序中， 将上述区域设置为禁停区。某公司收到律师函后未 采取相应措施，黄某某遂起诉至法院，要求该公司 将上述区域设置为共享单车的禁停区。对此案推断合理的是 ①作为共有权人的业主，对小区建筑区划内的共有部分享有共有和共同管理的权利 ②共享单车扎堆停放妨碍居民正常通行，黄某某有权要求排除妨碍、恢复正常通行 ③某公司作为手机应用程序的运营方，只是提供相关链接服务，无须承担侵权责任 ④黄某某可向业主委员会或者物业公司投诉，强制禁止共享单车进入自己所在小区 A．①② B．①④ C．②③ D．③④
1,rubric_pending,2024_石景山_一模_011_Q11,2024 石景山 一模 石景山一模 第11题,2024_石景山_一模_011,2024,石景山,一模,11,choice,included,defer_answer_missing,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,,人格权侵权,佳治疗时间而将商家诉至法院，请求 判决商家承担价款的三倍赔偿责任，以及自己看牙的医疗费损失。法院最终判决商 家赔偿其三倍价款，驳回了赵某要求商家赔偿医疗费用的诉讼请求。以下理解正确的是 ①商家虚假宣传行为侵犯了赵某作为消费者的知情权、自主选择权及安全消费权利 ②由于涉案双方之间存在买卖合同关系，商家应当承担三倍惩罚性赔偿的违约责任 ③牙膏不属于医疗器械、药品的范围，商家构成欺诈行为，应承担惩罚性赔偿责任 ④赵某如不能证明其牙病的发生与涉案产品间存在因果关系需承担举证不能的责任 A．①② B．①④ C．②③ D．③④
1,rubric_pending,2025_东城_二模_025_Q10,2025 东城 二模 2025东城二模 第10题,2025_东城_二模_025,2025,东城,二模,10,choice,included,defer_answer_missing,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,,纠纷解决生态公益与新业态,10.司法助力旅游市场健康发展，就地解“游”愁。某地风景名胜区游客张某不顾警示逗猴喂猴，不慎被抓伤。 在接受工作人员救护后，张某拨打旅游环保法庭热线电话，要求景区管委会对其进行赔偿。旅游环保法庭 工作人员迅速到达现场，向双方当事人释法说理，开展调解工作。对此，下列说法正确的是 A.就地化解旅游纠纷，人民调解机制助力打造安心舒心的旅游环境 B.本案符合举证责任倒置情形，张某作为受害者无须提交任何证据 C.如果能证明张某在游览时没有尽到相应注意义务，景区就能免责 D.景区如果没有尽到安全保障义务，则须承担赔偿责任
1,rubric_pending,2025_东城_二模_025_Q11,2025 东城 二模 2025东城二模 第11题,2025_东城_二模_025,2025,东城,二模,11,choice,included,defer_answer_missing,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,,物权相邻继承家庭,11.物权是最基本的财产权，国家依法保护物权。下列情形符合我国法律规定的是 A.李某作为土地承包经营权人，可以自主决定依法向他人流转土地经营权的方式 B.王某“一房二卖”，先签买房合同且入住的丁某可对抗已办完产权过户的刘某权利 C.张某向银行抵押贷款，没有按约定还款时，银行可以直接获得抵押财产所有权 D.付某将借来的电脑以远低于市场的价格卖给申某，因已交付，电脑归申某所有
1,rubric_pending,2025_东城_二模_025_Q12,2025 东城 二模 2025东城二模 第12题,2025_东城_二模_025,2025,东城,二模,12,choice,included,defer_answer_missing,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,,合同消费者劳动,12.田某与所在公司就解除劳动关系、结清工资等事项达成一致，依法签订《解除劳动合同协议书》 。不久， 田某以对内容了解不足、存在误解为由提起劳动仲裁，请求撤销协议书，被劳动人事争议仲裁委员会驳回。 下列说法正确的是 ①在解除合同过程中发生争议，田某应先向劳动保障监察部门投诉 ②若田某不服裁决结果，有权向法院提起公诉解决与该公司的纠纷 ③协议经双方协商一致且田某签字确认，应视为田某真实意思表示 ④双方当事人均应遵循诚实信用原则，按照协议履行自身义务 A.①② B.①③ C.②④ D.③④
1,rubric_pending,2025_东城_期末_031_Q11,2025 东城 期末 2025东城期末 第11题,2025_东城_期末_031,2025,东城,期末,11,choice,included,defer_answer_missing,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,,知识产权不正当竞争,案件中（ ） 资料卡 数据集，是一种由数据所组成的集合。 数据相关权益的认定往往因数据的无形性、可复制性等特性而变得困难，举证难度极大。 北京市知识产权局等部门于 2023 年 5 月颁布了北京市数据知识产权登记管理办法（试行） 》 。 ①甲公司和乙公司发生民事纠纷，民事行为客体是不正当竞争行为 ②《数据知识产权登记证书》获得法院认可，甲公司举证难度有所降低 ③适用无过错侵权责任原则，无论乙公司有无过错都应承担责任 ④完善行政机关与司法机关的协同保护机制，促进数据市场良性发展 A．①② B．①③ C．②④ D．③④
1,rubric_pending,2025_东城_期末_031_Q12,2025 东城 期末 2025东城期末 第12题,2025_东城_期末_031,2025,东城,期末,12,choice,included,defer_mixed_module,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,,物权相邻继承家庭,12．《中华人民共和国民法典》规范各类民事主体的各种人身关系和财产关系，涉及社会和经济生活的方 方面面，被称为“社会生活的百科全书” ，下列内容符合民法典规定的是（ ） A．合同缺少价款、履行期限，不影响合同的成立和生效 B．自然人可以与继承人范围内的个人签订遗赠扶养协议 C．报刊转载其他报刊已经刊登的作品，不必支付使用费 D．房屋、汽车、电脑、股票等均可进行抵押和质押担保 第4页/共20页
1,rubric_pending,2025_丰台_一模_016_Q10,2025 丰台 一模 2025丰台一模 第10题,2025_丰台_一模_016,2025,丰台,一模,10,choice,excluded_by_curation,reject_weak_signal,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,,合同消费者劳动,10. 某市人民检察院在“新就业形态劳动者权益保护”专项活动中，发现某外卖平台长期忽视骑手工伤保 险缴纳义务，导致 37 名骑手因工伤索赔无门。该检察院遂向法院提起公益诉讼，要求平台补缴社保并公 开道歉。下列认识正确的是（ ） A. 公司应履行缴纳社会保险的义务，按照平等自愿的原则与劳动者订立合同 第4页/共11页 B. 人民检察院通过公益诉讼，可以纠正损害公共利益的行为 C. 人民法院在执法过程中要公开透明，积极维护劳动者合法权益 D. 公益诉讼作为解决劳动争议纠纷的必经程序，补齐了劳动者权益保护机制短板
1,rubric_pending,2025_丰台_一模_016_Q11,2025 丰台 一模 2025丰台一模 第11题,2025_丰台_一模_016,2025,丰台,一模,11,choice,included,defer_answer_missing,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,,合同消费者劳动,后，当日即联系朱某要求办理退费，但朱某未作回应。后来，该公司以赵某未提交书面退款申请及 拨打公司退款电话为由，不予全额退款。赵某诉至法院，请求判令该公司全额退款并赔偿利息损失。下列 分析正确的是（ ） ①合同约定明确，赵某未按约定方式申请退款，其诉求不应得到法院支持 ②朱某作为公司销售人员，赵某联系朱某要求退款可视为履行了退款申请手续 ③该公司以未提交书面申请、未拨打电话为由拒绝退款，违背了诚信原则 ④该公司在法院判决后全额退款并赔偿利息损失，属于违约责任中的继续履行 A. ①② B. ①④ C. ②③ D. ③④
1,rubric_pending,2025_丰台_一模_016_Q14,2025 丰台 一模 2025丰台一模 第14题,2025_丰台_一模_016,2025,丰台,一模,14,choice,excluded_by_curation,reject_non_xuanbier,rubric_match_pending,answer_locked,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,,合同消费者劳动,利工程，由京杭大运 河、隋唐大运河、浙东运河三部分构成，全长近 3200 公里，对中国政治统一、经济发展、文化繁荣发挥 了重要作用，是中华民族伟大创造力、凝聚力和生命力的代表，是展现中华文明突出特性的鲜活文化符 号。下列选项正确的是（ ） A. “大运河”与“水利工程”之间是交叉关系 B. “中国大运河由京杭大运河、隋唐大运河、浙东运河三部分构成”是相容选言判断 C. “展现中华文明突出特性的鲜活文化符号”作为单称肯定判断的谓项是不周延的 D. “中华民族有着善治水的优良传统”是特称肯定判断，其主项周延而谓项不周延
