clean_order,question_id,visible_title,question_type,primary_node,secondary_node,role,hard_lock,notes
1,Q-2025海淀二模-20,2025 海淀二模第20题,主观题,辩证思维-角度池,辩证思维-整体性|动态性|分析与综合|质量互变|辩证否定,positive_example,no,共享发展四层次按角度池选两点写深；非三点全必答
2,Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,主观题,科学思维-客观性,,positive_example,no,永动机；违背客观规律
3,Q-2025海淀期末-18,2025 海淀期末第18题,主观题,创新思维-逆向思维,创新思维-联想思维,positive_example,no,人找书到书找人=逆向；赤印意象=联想
4,Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,主观题,科学思维-客观性,科学思维-探索性|整体安排,positive_example,LOCK_单线,只问科学思维；不能并列科学/创新/辩证三模块
5,Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,主观题,认识发展历程-感性具体→思维抽象→思维具体,,positive_example,no,调查了解=感性具体；分析研究=思维抽象再发展到思维具体
6,Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,主观题,充分条件假言推理-后件真不能推前件,,positive_example,no,后件红嘴蓝鹊真不能倒推前件岩松鼠
7,Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,主观题,创新思维-改变创造条件,,positive_example,no,改种动物不喜啃食作物建立新具体联系
8,Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,主观题,概念定义-定义结构,,positive_example,no,被定义项+联结词+种差+邻近属
9,Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,主观题,概念外延关系-属种关系,,positive_example,no,新型举国体制是举国体制的种概念
10,Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,主观题,辩证思维-矛盾分析,创新思维-超前思维|综合推理,positive_example,no,实践问题→调查研究→因果规律→矛盾分析→推理想象
11,Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,主观题,系统观念,创新思维-发散思维与聚合思维|超前思维,positive_example,no,基础研究→研发→转化→应用整体统筹+0到1把1拉长
12,Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,主观题,逻辑三律-矛盾律,联言判断|充分条件假言推理|三段论-中项不周延,positive_example,no,三主张分别违反矛盾律/肯后误推/中项不周延
13,Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,主观题,创新思维-联想思维,创新思维-发散思维与聚合思维|思路新方法新结果新,positive_example,no,登月服飞天飘带+火箭尾焰+多功能聚合
14,Q-2026朝阳期中-20,2026 朝阳期中第20题,主观题,辩证思维-对立统一,辩证思维-动态性|整体性|分析与综合|质量互变,positive_example,no,机遇挑战并存的辩证思维方法多线
15,Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问,主观题,创新思维-超前思维,创新思维-联想|逆向|发散与聚合,positive_example,no,工业城市文旅转型；冷资源转热经济
16,Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问,主观题,充分条件假言推理-否定后件式,,positive_example,no,否定"不可能有大量炭化竹节"=否后必否前
17,Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问,主观题,必要条件假言推理-肯定后件式,,positive_example,no,只有气候温暖才可能生长竹子；保留"古代""当时"
18,Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问,主观题,辩证思维-动态性,类比推理,positive_example,no,生生不息=动态性；人效法天地=类比推理
19,Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问,主观题,联言判断-保真条件,,positive_example,no,与天地合德/与日月合明/与四时合序三支同真
20,Q-2024朝阳期中-18,2024 朝阳期中第18题,主观题,归纳推理-不完全归纳/轻率概括,类比推理,positive_example,no,楚王=轻率概括；晏子=类比推理或然
21,Q-2024朝阳期中-19,2024 朝阳期中第19题,主观题,创新思维-超前思维,创新思维-逆向|联想|发散与聚合,positive_example,no,朝外样本首发经济
22,Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问,主观题,必要条件假言推理-肯定后件式,三段论-大项不当扩大,positive_example,no,甲=必要条件肯后式；乙=大项不当扩大
23,Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,主观题,必要条件假言推理-保真条件,联言判断-保真条件,positive_example,no,①必要条件假言；②联言判断
24,Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问,主观题,演绎推理-前提真实性,三段论,positive_example,no,结构正确还要前提真实；大前提不真不可靠
25,Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问,主观题,科学思维-客观性,科学思维-预见性|可检验性,positive_example,no,具身机器人；蹲点观察+趋势预判+多轮迭代
26,Q-2026通州期末-19-2,2026 通州期末第19题第(2)问,主观题,充分条件假言推理-肯定前件式,必要条件假言推理-仅肯定前件无效,positive_example,no,推理①肯前有效；推理②必要条件仅肯前无效
27,Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,主观题,充分条件假言判断,必要条件假言判断|相容选言判断,positive_example,no,三类判断同时为真的交集
28,Q-2025海淀二模-12,2025 海淀二模第12题,选择题,创新思维-超前思维,,positive_example,LOCK_D=③④,耐心资本风险收益+长期视野
29,Q-2025海淀二模-13,2025 海淀二模第13题,选择题,三段论-有效式,概念外延关系|选言判断,positive_example,LOCK_C,单一制三段论
30,Q-2025海淀期末-2,2025 海淀期末第2题,选择题,辩证思维-整体性,创新思维-迁移方法,positive_example,no,观光巴士；C=②③
31,Q-2025海淀期末-8,2025 海淀期末第8题,选择题,选言判断-不相容与相容关系,,positive_example,no,D 正确：要么P要么Q真则或者P或者Q也真
32,Q-2024海淀二模-6,2024 海淀二模第6题,选择题,概念外延关系-属种,换质换位,positive_example,no,C 超长期特别国债的属性
33,Q-2025西城二模-6,2025 西城二模第6题,选择题,概念外延关系-种属,,positive_example,no,洛阳红与牡丹=种属；C 谷雨与节气
34,Q-2025西城二模-7,2025 西城二模第7题,选择题,演绎推理-前提真实性,归纳推理-求异法|类比推理,positive_example,no,C=②④；演绎结构正确还要前提真实
35,Q-2024西城一模-11,2024 西城一模第11题,选择题,归纳推理-完全归纳,,positive_example,LOCK_B=①③,问天梦天天和；外延扩大与语境混淆陷阱
36,Q-2024西城一模-13,2024 西城一模第13题,选择题,创新思维-联想思维,,positive_example,no,B 联想具有非逻辑制约的畅想性
