词,行号,位置,处理方式,原句
NDC,87,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】NDC置于联合国和《巴黎协定》框架下，说明气候变化不是单个国家内部问题，而是需要各国共同应对的全球治理问题。
NDC,89,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“NDC置于联合国和《巴黎协定》框架下，说明气候变化不是单个国家内部问题，而是…”，先归入“时代背景”，再落到 PDF 小框架“机遇”。本题优先写“和平与发展是时代的主题”，因为解释中国实践或国际合作为什么顺应时代大势。“共同利益”解释合作为什么能成立，不能替代时代背景判断。
NDC,90,题目答案落点,保留为具体题目材料/答案事实,【答案落点】和平与发展是时代的主题，NDC置于联合国和《巴黎协定》框架下，说明气候变化不是单个国家内部问题，而是需要各国共同应对…顺应和平与发展的世界大势和各国共同发展愿望。
治理赤字,117,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】设问第一层是“正逢其时”，材料围绕全球治理倡议回应治理赤字、倡导主权平等、国际法治、多边主义和以人为本，就要先写和平与发展时代主题和共同治理需求。
南南合作,124,题目材料触发点,保留为具体题目材料/答案事实,【设问】结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
全球南方,146,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】材料写国际力量对比调整全球南方壮大和单边霸凌 因此政治环境层触发多极化与全球治理秩序
全球南方,148,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“写国际力量对比调整全球南方壮大和单边霸凌因此政治环境层指向多极化与全球治理秩…”，先归入“时代背景”，再落到 PDF 小框架“挑战”。本题优先写“霸权主义 / 强权政治”，因为识别国际社会面临的挑战和旧式强权逻辑。回应路径要另写政治多极化中的“单边”“民主”“完善全球治理”，不能塞进挑战术语本身。
全球南方,149,题目答案落点,保留为具体题目材料/答案事实,【答案落点】写国际力量对比调整全球南方壮大和单边霸凌因此政治环境层指向多极化与全球治理秩序体现霸权主义和强权政治，是当今国际社会面临的挑战。
NDC,181,题目材料触发点,保留为具体题目材料/答案事实,【材料触发点】NDC和《巴黎协定》说明气候治理关系各国生存发展和可持续发展，各国存在共同利益。
NDC,183,题目材料触发点,保留为具体题目材料/答案事实,【为什么能想到】看到“NDC和《巴黎协定》说明气候治理关系各国生存发展和可持续发展，各国存在共同利…”，先归入“理论”，再落到 PDF 小框架“共同利益”。本题优先写“共同利益是国家间合作的基础”，因为解释国家间为什么能够合作、为什么需要合作。“和平与发展”是时代背景，不等于合作成立的直接理论基础。
