entry_id,title,question_source_id,rubric_source_id,evidence_type,pending_reason
E001,2024 · 东城 · 一模 · 第19题,SRC_a1c55f582b_试卷,SRC_fa4ea186db_北京市东城区2023_2024学年度第二学期高三综合练习_一_思想政治答案_1,rubric_or_marking,
E002,2024 · 东城 · 二模 · 第19题第1问,SRC_6a382f2c9e_试卷,SRC_144e07c6e5_细则,rubric_or_marking,
E003,2024 · 东城 · 二模 · 第19题第2问,SRC_6a382f2c9e_试卷,SRC_144e07c6e5_细则,rubric_or_marking,
E004,2024 · 丰台 · 二模 · 第17题,SRC_610be819f5_试卷,SRC_8cabfb2a5c_细则,rubric_or_marking,
E005,2024 · 朝阳 · 二模 · 第17题,SRC_4de874d0f6_试卷,SRC_df323259ba_细则,rubric_or_marking,
E006,2024 · 海淀 · 一模 · 第19题,SRC_22a9fc3505_试卷,SRC_24a14c0c23_细则,rubric_or_marking,
E007,2024 · 海淀 · 二模 · 第19题,SRC_1c0a8eb1f6_高三二模_政治试题_以PDF为准_1,SRC_e6f22d1048_细则,rubric_or_marking,
E008,2024 · 石景山 · 一模 · 第17题,SRC_6fbd7d422e_试卷,SRC_f887d1b620_细则,rubric_or_marking,
E009,2024 · 石景山 · 一模 · 第18题第2问【待确认】,SRC_6fbd7d422e_试卷,SRC_f887d1b620_细则,rubric_or_marking,设问未直接写《法律与生活》，但情境为相邻关系/侵权责任/调解诉讼，需人工复核模块边界。
E010,2024 · 西城 · 一模 · 第18题第1问【待确认】,SRC_359083f91c_试卷,SRC_461b3fdcd8_细则,rubric_or_marking,设问写“法治知识”，但材料和细则涉及回避、辩护人、赡养等法律知识，需人工复核模块边界。
E011,2024 · 西城 · 一模 · 第18题第2问【待确认】,SRC_359083f91c_试卷,SRC_461b3fdcd8_细则,rubric_or_marking,设问写“法治知识”，但材料和细则涉及回避、辩护人、赡养等法律知识，需人工复核模块边界。
E012,2024 · 西城 · 一模 · 第18题第3问【待确认】,SRC_359083f91c_试卷,SRC_461b3fdcd8_细则,rubric_or_marking,设问写“法治知识”，但材料和细则涉及回避、辩护人、赡养等法律知识，需人工复核模块边界。
E013,2024 · 西城 · 二模 · 第16题,SRC_f9754eb81c_试卷,SRC_ecba6fd596_细则,rubric_or_marking,
E014,2025 · 东城 · 期末 · 第19题第1问,SRC_8ab211d978_试卷,SRC_7d84ce85cb_东城期末,rubric_or_marking,
E015,2025 · 东城 · 一模 · 第19题,SRC_da58836310_试卷,SRC_d39f12bd12_细则,rubric_or_marking,
E016,2025 · 东城 · 二模 · 第19题,SRC_e1c925184a_试卷,SRC_bd8e9436f8_细则,rubric_or_marking,
E017,2025 · 丰台 · 期末 · 第19题,SRC_25f18281e8_试卷,SRC_86fc00424d_细则,rubric_or_marking,
E018,2025 · 丰台 · 一模 · 第19题,SRC_ef312c0ead_试卷,SRC_066dbcf5b7_细则,rubric_or_marking,设问写“法治相关知识”，但情境为知识产权侵权典型案例，需人工复核模块边界。
E019,2025 · 丰台 · 二模 · 第19题第2问,SRC_770de383c9_试卷,SRC_dfa78c60e1_19_2,rubric_or_marking,
E020,2025 · 延庆 · 一模 · 第19题,SRC_438d82cfc4_试卷,SRC_4572acf26c_细则,rubric_or_marking,
E021,2025 · 房山 · 一模 · 第19题,SRC_dc005114ec_试卷,SRC_8ee813c0b5_细则,rubric_or_marking,设问写“法治价值”，但情境为技术秘密/不正当竞争/知识产权保护，需人工复核模块边界。
E022,2025 · 昌平 · 二模 · 第20题第1问,SRC_f67354a12e_试卷,SRC_2df7863ec9_细则,rubric_or_marking,
E023,2025 · 昌平 · 二模 · 第20题第2问,SRC_f67354a12e_试卷,SRC_2df7863ec9_细则,rubric_or_marking,
E024,2025 · 朝阳 · 期末 · 第20题,SRC_131c6c890b_试卷,SRC_65f9eb7854_朝阳高三期末2025,answer_reference,
E025,2025 · 朝阳 · 一模 · 第19题,SRC_832947a8c9_试卷,SRC_07886c5796_20250329高3阅卷总结19题_合同欺诈_阐释论证,rubric_or_marking,
E026,2025 · 朝阳 · 二模 · 第20题第1问,SRC_d411e2158d_试卷,SRC_436f84dc1e_细则,rubric_or_marking,
E027,2025 · 朝阳 · 二模 · 第20题第2问,SRC_d411e2158d_试卷,SRC_436f84dc1e_细则,rubric_or_marking,
E028,2025 · 海淀 · 期中 · 第21题第1问,SRC_e3da1b6b45_试卷,SRC_cda046c2d3_细则,rubric_or_marking,
E029,2025 · 海淀 · 期末 · 第20题,SRC_1bd40d8450_试卷,SRC_61b68f1421_细则,rubric_or_marking,
E030,2025 · 海淀 · 期末 · 第21题,SRC_1bd40d8450_试卷,SRC_61b68f1421_细则,rubric_or_marking,
E031,2025 · 海淀 · 一模 · 第18题,SRC_20820628be_试卷,SRC_20820628be_试卷,answer_reference,
E032,2025 · 海淀 · 二模 · 第18题,SRC_203635b75b_试卷,SRC_05a280b2e0_细则,rubric_or_marking,
E033,2025 · 石景山 · 一模 · 第20题,SRC_949be36f20_试卷,SRC_700c0fe3eb_细则,rubric_or_marking,设问写“司法护航新质生产力”，但两个案例分别为合同违约和不正当竞争，需人工复核模块边界。
E034,2025 · 西城 · 期末 · 第19题,SRC_3b9cf3beca_试卷,SRC_f548fe6349_细则,rubric_or_marking,设问写“法律知识”而非《法律与生活》，但内容为反不正当竞争/人格化唤醒词保护，需人工复核模块边界。
