suite,question_no,status,codex_decision,claudecode_decision,codex_terms,claudecode_nodes,codex_note,claudecode_note
2024东城一模,4,codex_only_review,possible_omission_needs_source_review,,两点论 | 发展 | 改革 | 整体 | 矛盾 | 系统 | 规律 | 部分,,条件在全面建设社会主义现代化国家中是如何发挥作用。 示例：中国共产党的领导是中国特色社会主义制度的最大优势，中国共产党总揽全局、协调各方，发挥新型举国体制优势，集中人力、物力、财力，攻克重大科研项目，推动技术攻关和经济发展的强大合力，推进社会主义现代化国家建设。 [slide 70] 【试题分析】 逻辑思路：起点---路径----效果（分总维度） [slide 71] （1）通勤圈角度 政府---公共服务/基础设施---资源要素流动--,
2024东城一模,16,claudecode_only_review,,疑似覆盖待比对,,联系/矛盾普遍特殊统一/价值观/文化线,,阅卷细则哲学3分+文化4分；Codex A标注为强候选
2024丰台一模,16,codex_only_review,possible_omission_needs_source_review,,人民群众 | 价值观 | 发展 | 哲学 | 哲学角度 | 实践 | 改革 | 矛盾 | 联系 | 规律 | 认识,,面，采用1+2+2的评分细则。其中“法院判决应以事实为依据，以法律为准绳”为必踩点，1分；双方形成好意同乘，在这一过程中要明确权利、义务，做到行使权力、履行义务，否则涉及侵权，需对照侵权责任的一般规定解释说明，此点2分；结合好意同乘中发生事故减轻赔偿责任的条件和案件实际进行解释说明，此点2分。 在现实意义方面，为提高学生辩证思考问题的能力，可从对个人、对国家司法、对社会发展三个角度作答，涉及维护双方合法权益、保障公正司法、弘扬社会主义核,
2024丰台一模,18,claudecode_only_review,,疑似覆盖待比对,,联系/发展/矛盾/唯物史观,,从哲学角度谈新质生产力理解；Q21亦含唯物辩证法
2024丰台一模,21,claudecode_only_review,,疑似覆盖待比对,,唯物辩证法(联系/发展/矛盾),,Codex A参考答案明确唯物辩证法角度
2024朝阳一模,unknown,dual_lane_overlap,possible_omission_needs_source_review,需回源核验,发展 | 哲学 | 哲学与文化 | 守正创新 | 实践 | 改革 | 系统 | 联系 | 规律 | 认识 | 部分,-,path: C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx status: docx-text chars: 2007 ```text 北京市朝阳区高三年级第二学期质量检测一 思想政治 参考答案 2024.4 第一部分（选择题 共45分） 第二部分（非选择题 共55分） 16.（7分） 可从中国特,Codex A标注题号待回源定位
2024海淀一模,16,claudecode_only_review,,疑似覆盖待比对,,主观能动性/联系/发展/实践/民族精神,,参考答案明确哲学节点
2024石景山一模,7,codex_only_review,weak_hit_review_or_exclude,,主要矛盾 | 矛盾,,和种子成活率。这种技术 ①运用了联想思维，通过迁移搭建由此及彼的桥梁 ②运用了类比推理，模仿地上植物移植的技术方法 ③运用了超前思维，用发展眼光构想事物发展趋势 ④运用了发散思维，以寻求解决问题的多样性答案 A．①② B．①③ C．②④ D．③④ 7．概念的外延是指具有概念所反映的本质属性的事物的范围，人们经常用图来表示概念外延之间的关系（见下图）。对此，下列说法正确的是 ①图甲，可以用来描述财产权和物权的关系 ②图乙，可以用来描述国体,
2024石景山一模,16,claudecode_only_review,,疑似覆盖待比对,,文化继承与发展/认识的作用/联系/发展,,6分综合题
2024西城一模,7,claudecode_only_review,,疑似覆盖待比对,,生态价值观/实践与认识/规律主观能动性/联系与发展/对立统一/辩证否定,,细则含怎么做角度价值观必出；人与自然哲学题
