top_node,framework_node,entry_count,main_count,choice_count,evidence_counts,question_ids
科学思维,科学思维>可检验性,1,1,0,"{""A-formal"": 1}",Q-2026顺义一模-19-2
科学思维,科学思维>客观性,3,3,0,"{""A-formal"": 3}",Q-2024海淀二模-17-1 | Q-2025海淀期末-17-1 | Q-2026顺义一模-19-2
科学思维,科学思维>客观性·立足实践,1,1,0,"{""A-formal"": 1}",Q-2024西城一模-19-5
科学思维,科学思维>探索性·方法更新（来源支持）,1,1,0,"{""A-formal"": 1}",Q-2024海淀二模-17-1
科学思维,科学思维>整体安排（来源支持）,1,1,0,"{""A-formal"": 1}",Q-2024海淀二模-17-1
科学思维,科学思维>预见性,1,1,0,"{""A-formal"": 1}",Q-2026顺义一模-19-2
辩证思维,辩证思维-整体性与独立性的对立统一（②正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026顺义一模-3
辩证思维,辩证思维>分析与综合,2,1,1,"{""A-formal"": 1, ""B-choice-signal"": 1}",Q-2026朝阳期中-20-分析综合 | Q-2026东城一模-5
辩证思维,辩证思维>分析与综合·整体性·系统优化,1,1,0,"{""A-formal"": 1}",Q-2025海淀二模-20
辩证思维,辩证思维>动态性,3,3,0,"{""A-formal"": 2, ""A-support"": 1}",Q-2024朝阳二模-19-1-动态性 | Q-2026朝阳期中-20-动态性 | Q-2025丰台期末-16
辩证思维,辩证思维>整体性,1,1,0,"{""A-support"": 1}",Q-2025丰台期末-16
辩证思维,辩证思维>整体性+动态性+矛盾分析法,1,0,1,"{""B-choice-signal"": 1}",Q-2025东城期末-5
辩证思维,辩证思维>整体性·分析与综合（同类索引到必修四系统观念）,1,1,0,"{""A-formal"": 1}",Q-2026东城一模-19-4
辩证思维,辩证思维>矛盾分析法,2,2,0,"{""A-formal"": 1, ""A-support"": 1}",Q-2026朝阳期中-20-矛盾分析法 | Q-2025丰台期末-16
辩证思维,辩证思维>矛盾分析法（内在矛盾·外在矛盾）,1,1,0,"{""A-formal"": 1}",Q-2024西城一模-19-5
辩证思维,辩证思维>矛盾分析法（最多2分上限）,1,1,0,"{""A-support"": 1}",Q-2025海淀二模-20
辩证思维,辩证思维>质量互变,1,1,0,"{""A-formal"": 1}",Q-2026朝阳期中-20-质量互变
辩证思维,辩证思维>质量互变·动态性,1,1,0,"{""A-formal"": 1}",Q-2025海淀二模-20
辩证思维,辩证思维>质量互变·动态性（边界陷阱：'创新规律'硬错与联想诱惑）,1,0,1,"{""B-choice-signal"": 1}",Q-2025海淀期末-5
辩证思维,辩证思维>质量互变（适度原则）,1,1,0,"{""A-support"": 1}",Q-2025丰台期末-16
辩证思维,辩证思维>辩证否定（扬弃）,1,1,0,"{""A-support"": 1}",Q-2025海淀二模-20
创新思维,创新思维-形象思维以感性形象为基本单元（D正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026顺义一模-5
创新思维,创新思维-迁移和想象（A正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026顺义一模-6
创新思维,创新思维>发散思维与聚合思维,4,4,0,"{""A-formal"": 4}",Q-2024朝阳期中-19-发散与聚合 | Q-2026朝阳期中-21-2-发散与聚合 | Q-2025东城期末-18-2 | Q-2026东城一模-19-4
创新思维,创新思维>发散思维与聚合思维（创新思维两翼）,1,1,0,"{""A-support"": 1}",Q-2025海淀期末-18
创新思维,创新思维>多角度判断（创新思维 vs 逻辑思维边界）,1,0,1,"{""B-choice-signal"": 1}",Q-2024朝阳一模-7
创新思维,创新思维>思维特征（思路新方法新结果新）,1,1,0,"{""A-formal"": 1}",Q-2025东城期末-18-2
创新思维,创新思维>思路新方法新结果新（三新）,1,1,0,"{""A-support"": 1}",Q-2026朝阳期中-21-2-三新
创新思维,创新思维>思路新方法新结果新（实践基础+创新思维特征）,1,1,0,"{""A-formal"": 1}",Q-2026东城一模-19-4
创新思维,创新思维>推理与想象,1,1,0,"{""A-formal"": 1}",Q-2024西城一模-19-5
创新思维,创新思维>改变创造条件·建立新的具体联系,1,1,0,"{""A-formal"": 1}",Q-2025西城二模-16-3
创新思维,创新思维>联想思维,3,3,0,"{""A-formal"": 3}",Q-2024朝阳期中-19-联想思维 | Q-2026朝阳期中-21-2-联想思维 | Q-2025东城期末-18-2
创新思维,创新思维>联想思维（与认识发展历程综合）,1,0,1,"{""B-choice-signal"": 1}",Q-2026朝阳期中-13
创新思维,创新思维>联想思维（同化性迁移）,1,1,0,"{""A-formal"": 1}",Q-2025海淀期末-18
创新思维,创新思维>联想思维（同化性迁移） / 辩证思维>整体性,1,0,1,"{""B-choice-signal"": 1}",Q-2025海淀期末-2
创新思维,创新思维>联想思维（非逻辑制约的畅想性）,1,0,1,"{""B-choice-signal"": 1}",Q-2024西城一模-13
创新思维,创新思维>超前思维,6,5,1,"{""A-support"": 1, ""B-choice-signal"": 1, ""A-formal"": 4}",Q-2024西城一模-19-5 | Q-2025海淀二模-12 | Q-2024朝阳期中-19-超前思维 | Q-2026朝阳期中-21-2-超前思维 | Q-2025东城期末-18-2 | Q-2026东城一模-19-4
创新思维,创新思维>逆向思维,3,3,0,"{""A-formal"": 3}",Q-2025海淀期末-18 | Q-2024朝阳期中-19-逆向思维 | Q-2026朝阳期中-21-2-逆向思维
认识发展历程,认识发展历程-思维抽象与思维具体（C正解，硬规则§九硬样本）,1,0,1,"{""B-choice-signal"": 1}",Q-2026通州期末-11
认识发展历程,认识发展历程>感性具体>思维抽象>思维具体,1,1,0,"{""A-formal"": 1}",Q-2024海淀二模-17-2
推理,推理-三段论-大项不当扩大（A正解，硬样本：硬规则§十九）,1,0,1,"{""B-choice-signal"": 1}",Q-2025顺义一模-7
推理,推理-充分条件假言推理-否定后件式有效（②正解）,1,0,1,"{""B-choice-signal"": 1}",Q-2026丰台一模-8
