"entry_id","question_id","book_part","correct_answer","correct_reason","wrong_option_traps","trap_type","evidence_level","status"
"CT0001","Q0004","thinking","C","大运河理念诠释从具体经验对象出发，抽出河/合/和的理念结构，再回到文化之河、生态之河、发展之河、民生之河的整体规定。","A把感性认识到理性认识说得过泛；B混入普遍一特殊一普遍；D误判为类比推理。","思维抽象与思维具体顺序陷阱","A-formal","source_locked"
"CT0002","Q0012","reasoning","A","A项中大项“青年”在前提中不周延、在结论中周延，实际犯大项不当扩大，不是小项不当扩大。","B两个否定前提不能必然推出结论；C同一词语物质出现不同概念，犯四概念；D中项农民在两个前提中都不周延。","三段论谬误名称纠偏","A-formal","source_locked"
"CT0003","Q0015","reasoning","B","B项可表述为所有纯净无辐射的独居石都具有绿色提取前景，能与小前提和结论构成合规则三段论。","A中项不周且大项不当扩大；C中项不周；D引入第四概念。","三段论补大前提保真","A-formal","source_locked"
"CT0004","Q0016","reasoning","A","吴老师和王老师发言矛盾，唯一真约束推出周老师和郑老师为假，从而AI主题闯关达标，A不可能为真。","B/C/D需要结合推出的真实结果逐项排除；核心陷阱是先找矛盾关系，再套唯一真。","矛盾关系真假判断","A-formal","source_locked"
"CT0005","Q0017","thinking","D","材料是整合医保与商保数据和资源，形成一站式结算机制，属于系统化、数字化治理模式。","A把多层次保障体系错写成基本医疗保障体系；B把治理流程误挂为创新思维；C把数据接通误挂为发散思维。","数字化治理事实与选必三方法误挂","A-formal","source_locked"
"CT0006","Q0024","reasoning","B","B项中两个全称判断是反对关系，可以同假，因此同时不赞成二者不违反逻辑规则。","A是越级划分；C中科技人员与不懂计算机科技人员不能同真，触犯矛盾律；D由老舍作品到《茶馆》偷换集合概念，犯四概念。","形式逻辑综合选择题逐项判规","A-formal","source_locked"
"CT0007","Q0029","reasoning","D","D说明推理结构正确是由真实前提保证正确结论的必要条件；若前提和结论的逻辑联系方式错误，即使前提真实也不能保证结论正确。","A犯三段论小项不当扩大：娱乐工具在前提中不周延、在结论中周延；B把学过归纳推理偷换成能推出一般性结论和新知识体系；C只满足必要条件中的一个联言支，不能推出关系判断能力。","三段论小项不当扩大/必要条件联言支不全/概念滑移综合选择题","A-formal","source_locked_pending_external_review"
"CT0008","Q0031","reasoning","C","杂技剧场《屋顶上的北平》用现代舞台语言演绎古都风云，体现内容与形式统一中的意识能动性。","D把“上世纪20年代末北京城南风土人情”和“北京题材”说成外延交叉关系；实际是具体内容/具体题材与更大题材范围之间的从属或包含关系，不是两类对象部分重合。","概念外延关系误判","B-choice-signal","source_locked_pending_external_review"
"CT0009","Q0032","thinking","C","探月工程先攻克核心难题，再突破细分技术，并以全链条自主可控为整体目标，符合②整体性与动态性、③分析与综合相结合。","①把关键核心技术制约误写成抓矛盾主要方面；④把技术攻关和全链条自主可控硬套为“得中而处之”的适度原则。","分析与综合/整体性动态性 vs 主要方面/适度原则硬套","B-choice-signal","source_locked_pending_external_review"
"CT0010","Q0033","reasoning","A","由《论持久战》处理抗战中长期问题的思想启迪当前科技创新、乡村振兴等中长期问题，属于类比推理的迁移式启发。","B把思想指导夸大为决定性作用；C把“思想灯塔”的比喻误说成定义方法；D把总结抗战经验误说成完全归纳推理。","类比推理 vs 比喻定义/完全归纳","B-choice-signal","source_locked_pending_external_review"
"CT0011","Q0034","thinking","D","师生在展品前触摸历史温度、聆听无声之教，体现以感觉、知觉、表象为基础进一步认识事物本质和规律。","A把“博物馆就是一本立体书”的比喻化表达误判为断定本质属性；B把读书沙龙、专题讲座等资源组织误写成发散思维；C把载体表述硬套关系判断谓项周延。","感性具体到思维抽象/发散思维误挂","B-choice-signal","source_locked_pending_external_review"
"CT0012","Q0036","thinking","D","第四象限对应个人情感体验、价值判断和价值选择、复杂人际沟通、协商谈判、矛盾调解，更适合人类主导而非AI标准化处理。","A/B/C把前瞻思考、标准化任务、复杂系统优化等领域错配到相应象限，忽视人机认知边界和人类价值判断优势。","人机协作象限边界误配","B-choice-signal","source_locked_pending_external_review"
"CT0013","Q0037","thinking","D","科普活动把非遗、机械武术、机器人乐队、科普实验等放到同一春节场景中，既让科学精神融入生活，也让传统文化在科技赋能下焕发新光彩。","①把春节科普活动拔高为全民科学素养提升的主阵地；③把科普与非遗融合误转为民族文化与外来文化交融。","科技赋能传统文化焕新/辩证否定 choice signal","B-choice-signal","source_locked_pending_external_review"
"CT0014","Q0038","reasoning","D","1班赢2班、2班赢3班不能推出1班一定赢3班，比赛胜负关系属于非传递关系。","A否定“参加全部三项”不能推出参加一项或两项；B“如果……那么……”通常是充分条件假言判断，不等于充要条件；C只列举足球和篮球两项，不等于完整划分，不能判为划分不全。","关系非传递/假言判断/划分规则综合","B-choice-signal","source_locked_pending_external_review"
"CT0015","Q0039","thinking","D","坝河治理从单一排洪河道变成复合空间，并在水与城之间建立新联系，体现发散与聚合思维在治理方案中的运用。","A把综合化结果误写为单纯分析方法；B把变与不变的对立统一误写成折中主义；C把“生命之河”的类比作用夸大为深刻揭示价值本质。","发散聚合/分析综合/类比作用边界","B-choice-signal","source_locked_pending_external_review"
"CT0016","Q0040","thinking","C","卫星遥感数据与月球岩石样品分析结果相互印证，增强了研究结论的可信程度。","A把严谨判断、推理、论证说成揭示形象化特征；B否定样品分析和计算可能得出温度结论；D把样品分析、化学组成重建和遥感验证误挂为超前思维。","科学思维证据互证/超前思维误挂","B-choice-signal","source_locked_pending_external_review"
"CT0017","Q0071","reasoning","D","D项抓住“选择必须比较，不加比较作选择”这一自相矛盾，符合官方答案。","A把定义过宽误说成同语反复；B把列举/分解语境误说成划分不全；C把概念搭配不当误说成含义不明、不表达判断。","逻辑规则综合辨析：矛盾律 vs 定义/划分/判断表达误判","A-formal","source_locked_pending_external_review"
"CT0018","Q0072","reasoning","A","A项组合①②正确：该三段论形式有效，但大前提“所有鸟都会飞”为假，结论“鸵鸟会飞”不正确。","③把形式有效误当成结论必真；④把前提不真误判成四概念错误。","三段论有效性与前提真实性边界","A-formal","source_locked_pending_external_review"
"CT0019","Q0073","reasoning","D","D项“小徐未选物理”能经由必要条件和充分条件逆否推出小王未选政治，再由选言推理推出小李选政治。","A由小孙未选政治反而会推出小李未选政治；B小赵选地理不能排除小王；C小王选政治只能满足选言支，不能必然推出小李。","复合假言链+选言推理","A-formal","source_locked_pending_external_review"
"CT0020","Q0074","thinking","A","A项①②正确：海草培育移植法把地上植物移植技术迁移到海草生态修复中，既是联想思维迁移，也是类比推理。","③把既定生态修复技术误判为预测趋势的超前思维；④把“优选种子-人工育苗-移植”的确定技术路径误判为发散思维多方案求解。","联想迁移/类比推理与超前发散误挂","A-support","source_locked_pending_external_review"
"CT0021","Q0075","reasoning","B","B项①④正确：财产权与物权、领土与领陆/领空能够对应题中图示的外延关系。","②把国体和政体的政治相关关系误作外延图示关系；③把社会主要矛盾、生产力、生产关系误配到外延关系图。","概念外延图示关系误配","A-support","source_locked_pending_external_review"
"CT0022","Q0076","reasoning","B","B项①③正确：①在题干给出三舱段封闭集合时可由三个成员分别具有属性概括到三者都具有该属性；③可把同一对象的不同表述作替换。","②把问天、梦天、天和三个例子误推出中国航天人走过的路只有这三种；④把三个对象分别是路误推出三者连缀征程，增加了未被前提保证的整体关系。","封闭集合概括/同一对象替换与过度概括陷阱","A-formal","source_locked_pending_external_review"
"CT0023","Q0077","thinking","C","C项正确：肯定与否定互为条件，并且只能在二者的联系中把握。","A把辩证同一误读成取消界限；B把肯定因素和否定因素割裂到不同事物；D把复杂问题处理误读成既不肯定也不否定。","肯定否定关系：抹平界限/割裂因素陷阱","A-formal","source_locked_pending_external_review"
"CT0024","Q0078","thinking","B","B项正确：同一刺激在不同主体和不同时境中引出不同联想线索，体现联想具有非逻辑制约的畅想性。","A把联想误作思维抽象；C把联想误作判断串联；D把联想误作或然推理。","联想思维性质误挂：抽象/判断/或然推理","A-formal","source_locked_pending_external_review"
"CT0025","Q0079","thinking","C","C项②③正确：集成创新的跨越性不排斥逻辑推导与分析，开放创新中的合作创新离不开继承和借鉴已有成果。","①把迁移、想象、逆向等创新思维方法笼统归为逻辑思维活动；④把发散、聚合、超前思维的有效贯通误说成确保抢占科技制高点的充分保证。","创新思维跨越性与逻辑/继承边界陷阱","A-formal","source_locked_pending_external_review"
