suite_id,suite_name,question,question_type,framework_slot,evidence_class,evidence_source,material_excerpt,knowledge_point,trigger_logic,student_answer_landing,choice_answer,wrong_option_pattern,status,blocker
"S001","2024海淀一模","第1题","choice","6.民族精神","objective_key","bundle: 2024海淀一模; 试卷《高三政治：一模试题.pdf》; 答案/细则《一模政治-答案.docx》《2024海淀一模细则.docx》","长征故事广为流传，长征精神已成为中国共产党人精神谱系中的宝贵财富；新时代走好新的长征路。","革命文化；长征精神；红色基因；民族精神","红色故事不是只考史实，而是把革命精神转化为新时代奋斗动力。","写革命文化/民族精神时要落到现实行动：赓续红色基因、厚植为民情怀、敢于斗争。","B；正确项①③","②把长征精神说成新时代精神之源，来源定位过度；④把具体精神直接等同最广泛深刻社会变革，范围漂移。","PASS",""
"S001","2024海淀一模","第4题","choice","1.特点;4.纵向","objective_key","bundle: 2024海淀一模; 试卷《高三政治：一模试题.pdf》; 答案/细则《一模政治-答案.docx》《2024海淀一模细则.docx》","中华民族纹样穿越时空、世代传承，演绎传统经典，展现中华文明传承的连续性。","中华优秀传统文化；源远流长；传统文化当代表达","传统纹样题要抓住“符号/纹样-生活审美-传承延续”的链条。","从传统文化生命力、连续性和创新表达作答，不把单一纹样拔高为全部中华文化。","D；正确项③④","错项常把纹样夸大为主要载体或精神归宿，犯范围过度。","PASS",""
"S001","2024海淀一模","第16题","subjective","5.文化强国/文化自信;6.民族精神","B_level_rubric","bundle: 2024海淀一模; 细则《2024海淀一模细则.docx》","“梦舟”“揽月”命名承载中国人的航天梦；“揽月”取自毛泽东诗词，彰显探索宇宙、登陆月球的自信。细则列“民族精神等角度”。","航天精神动力；文化自信；民族精神","命名中的诗词意象把传统文化、现实科技攻关和民族复兴自信连接起来。","可写中国人探索宇宙的自信来自实践成就，也来自中华文化中的理想气魄和民族精神。","","","PASS","等级细则仅列角度，非逐点标分。"
"S002","2024西城一模","第4题","choice","2.作用;4.纵向","objective_key","bundle: 2024西城一模; 试卷《2024.4高三统一测试思想政治试卷.docx》; 答案/细则《2024.4高三统一测试思想政治答案.docx》《2024西城一模细则.docx》","全国开展“四季村晚”，引导各地“村晚”常态化开展，山村“小欢喜”发展成全国“大联欢”。","群众文化；乡村文化；文明风尚","村晚从群众活动发展为常态化公共文化活动，触发文化服务社会、教育人民和乡村文化传承。","答题落到群众文化品牌、文明风尚、基层共同体建设。","B","A颠倒载体关系，把乡土文化说成“村晚”载体；C/D转向宏观经济和人口流动。","PASS",""
"S002","2024西城一模","第10题","choice","0.载体","objective_key","bundle: 2024西城一模; 试卷《2024.4高三统一测试思想政治试卷.docx》; 答案/细则《2024.4高三统一测试思想政治答案.docx》《2024西城一模细则.docx》","铜镜除观容鉴貌外，也带有社会文化意蕴，被赋予“镜鉴”“团圆和吉祥”等内涵。","器物文化载体；文化价值由实践关系赋予","器物不是天然等于文化价值，价值来自人和社会关系中的创造与赋予。","写文化载体时要说明人的实践和需要怎样赋予器物文化意义。","A；正确项①③","②把人为联系误说成自在事物联系；④把价值等同物的自然属性。","PASS",""
"S002","2024西城一模","第18(3)题","subjective","4.纵向;6.民族精神","A_cross_module","bundle: 2024西城一模; 细则《2024西城一模细则.docx》","二审法院发出《督促履行义务告知书》；细则列“孝老敬亲”“中华传统美德/中华优秀传统文化”“法治与德治统一”。","中华传统美德；社会主义核心价值观；法治与德治统一","法律题中的文化点必须从细则给分出发：法院督促履责引导孝老敬亲，发挥法律促进道德建设的作用。","跨模块作答只保留文化给分点：传承中华传统美德，践行核心价值观，推动法治德治统一。","","","PASS","跨模块法律题，不并入纯文化主干。"
"S003","2024东城一模","第1题","choice","3.横向;5.文化强国/文化自信","objective_key_rendered","bundle: 2024东城一模; rendered pages 74cdfac9253763bf + answer render 7b4eece2963205d8","中国故事在国际传播中展示中国形象、传播中国声音。","讲好中国故事；文化传播；文化自信","中国故事题抓“传播内容-国际理解-文化自信”，不能把传播效果无限拔高。","正确项链：用中国故事展示真实立体全面的中国，增强中华文化传播力。","C；正确项②④","①把传统美德/根魂表述过度；③把全球威胁或国际秩序效果过度外推。","PASS","东城一模试卷/答案为rendered-ocr-needed，已按本地渲染页读图补证。"
"S003","2024东城一模","第2题","choice","2.作用;4.纵向","objective_key_rendered","bundle: 2024东城一模; rendered pages 74cdfac9253763bf + answer render 7b4eece2963205d8","文旅产业中的烟火气连接地域风土、居民共创共享、线上线下互动和口碑传播。","文旅融合；人民群众；文化功能","烟火气不是模板流量，而是地方生活实践和群众参与使文化资源活起来。","写人民既是地方文化创造者，也是文化成果享有者，文旅要服务人民生活。","B；正确项①③","②把公共文化服务说成首要任务；④把流量当留量基础，因果倒置。","PASS","东城一模试卷/答案为rendered-ocr-needed，已按本地渲染页读图补证。"
"S003","2024东城一模","第3题","choice","0.载体;4.纵向","objective_key_rendered","bundle: 2024东城一模; rendered pages 74cdfac9253763bf + answer render 7b4eece2963205d8","龙年吉祥物“龙辰辰”从中华传统文化元素中提炼设计语言。","文化符号；传统文化创造性转化","生肖/吉祥物题要看传统元素如何通过现代设计获得新表达。","正确项链：传统文化元素进入现代审美和传播载体，体现文化符号创新表达。","A；正确项①②","③“解构春节文化”方向错误；④把生肖吉祥寓意泛化。","PASS","东城一模试卷/答案为rendered-ocr-needed，已按本地渲染页读图补证。"
"S003","2024东城一模","第16题","subjective","3.横向;5.文化强国/文化自信","A_formal_rubric","bundle: 2024东城一模; 细则《2024东城一模细则.pptx》","16题阅卷细则：文化4分，解释关系1分、分析论证2分、要求举措1分；列文化多样性、文化交流交融、中华文化立场、文化自信。","文化多样性；文化交流交融；中华文化立场；文化自信","文明关系题先解释民族文化与世界文化关系，再论证交流交融推动文明发展，最后落到中华文化立场和文化自信。","答题可写：各具特色民族文化构成世界文化多样性；文化交流交融是文化发展的动力；坚守中华文化立场、坚持文化自信，为世界文化繁荣作贡献。","","","PASS",""
