unique_id,normalized_question,count,doc_orders,buckets,core_points,question_titles
UQ0001,2025朝阳期末Q21,20,9;60;115;127;159;255;289;309;357;375;390;395;408;410;417;454;488;534;541;552,中国;政治多极化;时代背景;理论;经济全球化;联合国,世界多极化与全球南方联合自强;世界多极化是当今国际形势的突出特点;中国扩大高水平对外开放与制度型开放;中国推动构建人类命运共同体;中国综合国力、国际地位和话语权提升;习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）;共商共建共享的全球治理观;和平与发展仍是时代主题;和平共处五项原则是我国对外关系基本准则;坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序;坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局;坚持正确义利观;推动国际关系民主化;推动国际秩序和全球治理体系更加公正合理;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局;新中国外交始终服务国家性质并坚持党对外交统一集中领导;相互尊重、公平正义、合作共赢的新型国际关系;维护国家利益是主权国家对外活动的出发点和落脚点;践行真正的多边主义,2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21 || 2025朝阳期末Q21
UQ0002,2026朝阳一模Q20,15,13;50;76;78;118;153;168;219;250;278;435;490;500;504;529,中国;政治多极化;时代背景;理论;经济全球化,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢;中国扩大高水平对外开放与制度型开放;促进全球资源优化配置和国际贸易发展;共商共建共享的全球治理观;利用两个市场两种资源优化全球资源配置;和平与发展仍是时代主题;坚持正确义利观;展现大国责任担当;当前国际竞争的实质是以经济和科技实力为基础的综合国力较量;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;推进贸易和投资自由化便利化;改善发展中国家民生并助力持续发展;相互尊重、公平正义、合作共赢的新型国际关系;维护全球产业链供应链稳定畅通;贡献中国智慧、中国方案、中国力量,2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20 || 2026朝阳一模Q20
UQ0003,2026朝阳期中Q17,14,62;71;176;187;197;228;290;335;406;434;455;481;499;528,中国;政治多极化;理论;经济全球化,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢;中国推动构建人类命运共同体;共商共建共享的全球治理观;内外联通畅通国内国际双循环，提升国际循环质量;利用两个市场两种资源优化全球资源配置;加强技术创新、提高产品质量，增强竞争力;坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局;坚持正确义利观;处理好自力更生和对外开放的关系，参与经济全球化和国际分工;展现大国责任担当;推动构建人类命运共同体;统筹开放与安全，维护产业链供应链安全稳定;维护国家利益是主权国家对外活动的出发点和落脚点;贡献中国智慧、中国方案、中国力量,2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17 || 2026朝阳期中Q17
UQ0004,2025丰台二模Q20,13,294;313;319;325;346;363;391;442;511;536;537;546;554,中国;政治多极化;联合国,世界多极化与全球南方联合自强;中国作为联合国创始会员国和安理会常任理事国，是国际政治经济格局中的重要力量〔中国国际地位综合表达角度〕;中国推动构建人类命运共同体;中国积极参与国际组织，在联合国、金砖国家、二十国集团、博鳌亚洲论坛等国际组织中的作用日益显著，已成为全球治理体系的重要参与者、贡献者和改革者;共商共建共享的全球治理观;南南合作与全球南方共同发展;坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序;坚持开放合作、共享共赢、包容互鉴、共商共建;推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序;推动国际秩序和全球治理体系更加公正合理;推动构建人类命运共同体;维护《联合国宪章》宗旨和原则;践行真正的多边主义,2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20 || 2025丰台二模Q20
UQ0005,2024朝阳一模Q21,12,25;131;146;178;189;258;269;340;353;407;418;419,中国;政治多极化;时代背景;经济全球化,促进共同发展、维护持久和平，共同推进现代化;内外联通畅通国内国际双循环，提升国际循环质量;利用两个市场两种资源优化全球资源配置;和平共处五项原则是我国对外关系基本准则;在平等互利基础上开展合作，实现互利共赢;坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局;坚持独立自主、自力更生，增强发展主动权;推动建设开放型世界经济，深化国际分工与合作;推动构建人类命运共同体;提高开放型经济水平;百年变局与外部风险挑战;相互尊重、公平正义、合作共赢的新型国际关系,2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21 || 2024朝阳一模Q21
UQ0006,2025海淀二模Q21,12,257;323;358;456;476;483;535;538;543;545;553;561,中国;政治多极化;联合国,中国作为联合国创始会员国和安理会常任理事国，是国际政治经济格局中的重要力量〔中国国际地位综合表达角度〕;中国推动构建人类命运共同体;中国积极参与国际组织，在联合国、金砖国家、二十国集团、博鳌亚洲论坛等国际组织中的作用日益显著，已成为全球治理体系的重要参与者、贡献者和改革者;倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性;坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序;坚持正确义利观;推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序;相互尊重、公平正义、合作共赢的新型国际关系;维护《联合国宪章》宗旨和原则;联合国对中国对外开放和现代化事业作出独特贡献，成为中国开展多边合作的主要舞台;联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织，并在维护和平、推动发展、促进人类文明进步中发挥重要作用;践行真正的多边主义,2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21 || 2025海淀二模Q21
UQ0007,2025顺义一模Q20,12,110;142;283;304;374;432;446;484;505;508;520;523,中国;政治多极化;经济全球化,中国推动构建人类命运共同体;中国是负责任大国并勇于担当;共商共建共享的全球治理观;坚持正确义利观;推动国际关系民主化;推动国际秩序和全球治理体系更加公正合理;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;提高开放型经济水平;改善发展中国家民生并助力持续发展;民心相通与文明互鉴;聚焦发展中国家紧迫需求，以灵活快速的小而美项目形成共同发展品牌;贡献中国智慧、中国方案、中国力量,"2025顺义一模Q20 || 2025顺义一模Q20 || 2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片 || 2025顺义一模Q20 || 2025顺义一模Q20 || 2025顺义一模Q20 || 2025顺义一模Q20——""小而美""项目为何成为中国开展国际发展合作的亮点和名片 || 2025顺义一模Q20 || 2025顺义一模Q20 || 2025顺义一模Q20 || 2025顺义一模Q20 || 2025顺义一模Q20"
UQ0008,2026朝阳期末Q20,12,8;39;58;68;138;246;311;342;389;399;459;540,中国;政治多极化;时代背景;理论;经济全球化,世界多极化与全球南方联合自强;世界多极化是当今国际形势的突出特点;中国推动构建人类命运共同体;习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）;共享经济全球化成果，促进世界经济共同繁荣;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;建设开放型世界经济，扩大开放合作;推动国际秩序和全球治理体系更加公正合理;推动构建人类命运共同体;维护国家利益是主权国家对外活动的出发点和落脚点;顺应经济全球化趋势，反对贸易保护主义,2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20 || 2026朝阳期末Q20
UQ0009,2026通州期末Q20,12,1;134;277;314;320;328;364;372;424;492;522;544,中国;政治多极化;时代背景;经济全球化;联合国,中国是负责任大国并勇于担当;以主权平等、国际法治等原则推动全球治理体系变革完善;共商共建共享的全球治理观;和平与发展仍是时代主题;坚持正确义利观;推动国际关系民主化;推动国际秩序和全球治理体系更加公正合理;推动构建人类命运共同体;推进普惠包容的经济全球化;维护《联合国宪章》宗旨和原则;贡献中国智慧、中国方案、中国力量;践行真正的多边主义,2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20 || 2026通州期末Q20
UQ0010,2026顺义一模Q20,12,10;34;114;254;268;415;428;453;487;497;507;512,中国;政治多极化;时代背景;理论;经济全球化,与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢;中国坚持独立自主的和平外交政策;中国推动构建人类命运共同体;南南合作与全球南方共同发展;和平与发展仍是时代主题;国家间共同利益是国家合作的基础;在平等互利基础上开展合作，实现互利共赢;坚持正确义利观;推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展;改善发展中国家民生并助力持续发展;相互尊重、公平正义、合作共赢的新型国际关系;贡献中国智慧、中国方案、中国力量,2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20 || 2026顺义一模Q20
