source_id,year,district_or_exam,paper_type,file_role,path,conversion_status,legal_hit_count,prompt_hit_count,sample
SRC_1f17f2c91d_细则,2024,东城,一模,rubric_or_marking,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,converted,47,6,35:解析：依据人民法院的法律文书取得不动产所有权属于不经登记即可取得不动产所有权的特殊情形（22版教材第14页相关链接）。A选项排除 || 36:    由建设用地使用权“人们……拥有商品房的所有权，又合法享有该商品房所在地块的建设用地使用权”，可知若房屋所有权不明晰，则该房相关的建设用地使用权份额也不明晰。所以B选项所称“该案所涉他物权”指的是建设用地使用权，属于用益物权。用益物权 || 37:   法律关系的内容指的是权利&义务，房产——所有权，占地——用益物权（建设用地使用权），二者权利内容分别是：占有 使用 收益 处分 VS 占有 使用 收益，法律关系内容不一致。C说法错误 || 41:解析：题干中有两个信息：1.高某翔对《遗嘱》毫不知情；2.先有高某翔的“专职照顾”，后有《遗嘱》签署。遗赠抚养协议是“协议”，其本质是合同行为。不存在一方当事人毫不知情的协议；另一方面，应先有协议，后有双方对于协议所约定的义务的承担。因此， || 42:    高某翔并无继承权，不能“继承”遗产，只有继承人（有继承权的人）可以继承遗产。而无继承权的人（如高某翔作为侄子）只能“被分得”/“被分给”遗产，资料卡中的法条也有明确的描述——“分给适当的遗产”。因此B选项“继承适当的遗产”表述错误。
SRC_fa4ea186db_北京市东城区2023_2024学年度第二学期高三综合练习_一_思想政治答案_1,2024,东城、北京,练习,rubric_or_marking,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,ocr,2,2,86:法律规定诉讼时效有助于督促当事人积极主张权利，推动纠纷解决，节约司法资源。赡 || 88:适用诉讼时效的规定有助于保护老年人的合法权益，彰显公序良俗，体现人文关怀，构建
SRC_a1c55f582b_试卷,2024,东城,一模,question_paper,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,ocr,26,1,113:9.张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 || 125:部遗产由高某翔继承。高某翔对此毫不知情。二人 || 127:容，表示强烈反对，以高某翔为被告提起诉讼，请求 || 131:条 对继承人以外的依靠 || 132:被继承人扶养的人，或者
SRC_d991feeaa6_202404朝阳高三政治一模试卷讲评,2024,朝阳,一模,lecture_or_explanation,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,converted,34,3,"117:A.财产权可分为物权、债权、知识产权、著作权、商标权（越级划分） || 152:11.所有权是权利人对自己的不动产或者动产,依法享有的占有、使用、收益和处分的权利。下列案例中，涉及所有权归属争议的是 || 161:12.一名12周岁的学生,在老师的指导下设计了一款垃圾收纳装置，获得了国家知识产权局授权的“实用新型专利证书”。这一专利 || 162:A.只要保密得当，就可以一直受到专利法的保护 || 165:D.只要经该学生授权，厂家就可运用该专利生产产品并销售"
SRC_4fc81e8186_细则,2024,朝阳,一模,rubric_or_marking,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,converted,34,3,"117:A.财产权可分为物权、债权、知识产权、著作权、商标权（越级划分） || 152:11.所有权是权利人对自己的不动产或者动产,依法享有的占有、使用、收益和处分的权利。下列案例中，涉及所有权归属争议的是 || 161:12.一名12周岁的学生,在老师的指导下设计了一款垃圾收纳装置，获得了国家知识产权局授权的“实用新型专利证书”。这一专利 || 162:A.只要保密得当，就可以一直受到专利法的保护 || 165:D.只要经该学生授权，厂家就可运用该专利生产产品并销售"
SRC_8a924a2453_细则,2024,朝阳,一模,rubric_or_marking,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,converted,6,1,"21:社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 || 22:诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 || 23:诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。"
SRC_d3b447f0ea_试卷,2024,朝阳,一模,question_paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,converted,23,2,99:财产权可分为物权 债权 知识产权 著作权 商标权 || 114:开放创新中的合作创新 离不开对前人和他人已有成果的继承与借鉴 || 167:将饭店诉至法院ꎬ法院予以登记立案ꎮ || 169:该饭店的过错导致刘某的健康权受到侵害 应当承担全部侵权责任 || 175:该饭店作为经营场所 应该就刘某的健康权受到伤害承担无过错侵权责任
SRC_df323259ba_细则,2024,朝阳,二模,rubric_or_marking,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,converted,14,0,60:17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。 || 64:性。所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。 || 65:该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题， || 67:发展和谐稳定的劳动关系；有利于引导平台经济良性发展，促进经济社会的发展。 || 71:二者具有劳动关系1分
SRC_8802a640c1_细则,2024,朝阳,二模,rubric_or_marking,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,converted,5,0,14:甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显的经济从属性；王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性。所 || 15:该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题，提高以事实为依据、以法律为准绳进行公正裁决的能力；有利于保障新就业形态劳动者权益，发展和谐稳定的劳动关系；有利于引导平台经济良性发展，促进经济社会的发展。
SRC_4de874d0f6_试卷,2024,朝阳,二模,question_paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,converted,33,1,200:世 舅舅在世 小李父亲 年去世 去世前立下遗嘱 将名下房产由小李继承 此 || 202:后 小李携父亲遗嘱到公证处 欲办理该套房产的继承手续 对此 下列说法正确的是 || 204:小李父亲拥有的房产份额按照遗嘱全部由小李继承 || 208:小李母亲去世后 其名下房产份额依法定继承规定 一般应当均等分配 || 210:小李外祖父母去世后 小李以第二顺序继承人身份可继承相应房产份额
