matrix_row_id,row_source,题源,年份,阶段,题号,题型或模块判断,是否进宝典,宝典节点,细则支持原理,证据等级,是否误放,是否需补厚,当前处理,备注,source_artifact
M0001,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,实践是认识的基础,东城第16题主观题细则：核心知识包括“实践与认识辩证关系”；示例写明实践是认识来源、发展动力和检验真理的标准。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:1
M0002,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,物质决定意识,external Claude triage + suite source bundle repair,强细则,否,否,KEEP_IN_BODY,GPTPro web scoped audit 后收窄：本条只落物质决定意识和一切从实际出发，不再展开主观能动性。,04_fusion_audit\student_patch_entries.accepted.jsonl:2
M0003,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,external Claude triage + suite source bundle repair,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:3
M0004,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,东城第16题主观题细则：材料表列“发展（辩否）”“守正创新/理论与实践统一/文化与科技融合”。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:4
M0005,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,external Claude triage + suite source bundle repair,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:5
M0006,accepted_jsonl_final_body,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,external Claude triage + suite source bundle repair,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:6
M0007,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾就是对立统一,正式阅卷细则：传承与创新的关系对应“对立统一/联系”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:7
M0008,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,正式阅卷细则：继承维度列“坚持辩证否定/发展的观点”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:8
M0009,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,正式阅卷细则：创新维度列“回应群众需求/具体问题具体分析/一切从实际出发”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:9
M0010,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,正式阅卷细则：落实社会主义核心价值观维度列“价值观导向作用/社会意识作用”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:10
M0011,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q21,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,正式阅卷细则：系统思维强调整体性、关联性和协同性；要求用联系、全面、整体的观点看问题。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题；Q21细则亦明确必答党的领导1分，该点属政治模块不列此条目；external repair: 主题已校正为“四个中国”。,04_fusion_audit\student_patch_entries.accepted.jsonl:11
M0012,accepted_jsonl_final_body,2026朝阳二模,2026,二模,Q21,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,量变与质变 / 适度原则,正式阅卷细则：战略定力的“行动持久”对应“量变与质变、久久为功”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题；external repair: 主题已校正为“四个中国”。,04_fusion_audit\student_patch_entries.accepted.jsonl:12
M0013,accepted_jsonl_final_body,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,丰台主观题阅卷说明：哲学角度列“矛盾特殊性/具体问题具体分析”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:13
M0014,accepted_jsonl_final_body,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,尊重客观规律与发挥主观能动性相结合,丰台主观题阅卷说明：哲学角度列“尊重规律与主观能动性相结合”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:14
M0015,accepted_jsonl_final_body,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,丰台主观题阅卷说明：哲学角度列“联系观点/系统优化”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:15
M0016,accepted_jsonl_final_body,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,发展的观点 / 发展的普遍性,丰台二模源包 line 517 明确列出联系观、发展观、价值观均为合法作答角度；line 63 显示 Q16 为 8分 三采分点结构。原 question_prompt 写成从哲学角度，分析（7分），与源包实际题干格式和分值均不符，系复制错误；content 字段全部无误，仅需修正 question_prompt 字段。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:16
M0017,accepted_jsonl_final_body,2026丰台二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,丰台主观题阅卷说明：哲学角度列“正确价值观的导向作用/价值判断与价值选择”。,强阅卷版,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:17
M0018,accepted_jsonl_final_body,2026房山二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,尊重客观规律与发挥主观能动性相结合,房山评标：第16题细则列“正确发挥主观能动性与尊重客观规律”。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:18
M0019,accepted_jsonl_final_body,2026房山二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,房山评标：第16题细则列“系统观念”，并把“中华工业文化（系统观念/量质变/工匠精神）”对应到设问。,强细则,否,否,KEEP_IN_BODY,无边界问题,04_fusion_audit\student_patch_entries.accepted.jsonl:19
M0020,accepted_jsonl_final_body,2026房山二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,量变与质变 / 适度原则,房山评标：第16题细则明确“量的积累促成质变，实现事物的飞跃——将‘极致’奉为圭臬”。,强细则,否,否,KEEP_IN_BODY,价值观导向与量变质变在细则中均单独列出，此条目聚焦量变质变,04_fusion_audit\student_patch_entries.accepted.jsonl:20
M0021,accepted_jsonl_final_body,2025海淀一模,2025,一模,Q22,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,海淀一模源包 lines 109-112 明确列出阐释系统观念及其重要性（4分）+结合所选领域回答（4分）；rubric 支撑强。原 answer_landing 末尾出现具体作答时，可把……展开——这是教师指导语，不是学生答句，违反 answer_landing 硬规则；同一字段中（或现代化、法治）括注是编者可选项，亦属 meta-language。修改仅删去教师注语、括注，并将领域固定为全面深化改革；其余字段不变。,强细则,待复核：位置暂保留，但需逐行重引源证,是：Opus 4.7恢复复核列为需逐行重引源证/补厚,KEEP_WITH_RECITE_OR_THICKENING_REQUIRED,细则明确：系统观念阐释4分+联系党的领导2分+领域运用4分；base_mentions_found题级未确认,04_fusion_audit\student_patch_entries.accepted.jsonl:21
