framework_point_id,框架点名称,所属部分,支撑question_ids,支撑细则数量,formal_count,pass_recovered_count,open_reference_count,是否核心,是否仅参考,备注
A01,问理由/为什么支持,设问入口,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0025_2024_朝阳_二模_17|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,236,25,8,1,是,否,OPEN_OR_REFERENCE 不单独支撑核心
A02,问裁判理由/补表,设问入口,CC0119_2025_丰台_期末_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0289_2026_朝阳_二模_18,83,7,1,0,是,否,核心或正式支撑
A03,问评析/认识,设问入口,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0311_2026_海淀_二模_18|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0364_2026_通州_期中_19_1|CC0380_2026_顺义_二模_18_2,215,22,5,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
A04,问意义/价值/作用,设问入口,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0051_2024_海淀_期中_21_1|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,281,31,10,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
A05,问怎么解决/调解/维权,设问入口,CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0195_2025_西城_一模_20|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0317_2026_海淀_期中_18|CC0325_2026_石景山_一模_18|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,233,24,4,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
A06,问诉求能否支持,设问入口,CC0025_2024_朝阳_二模_17|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0213_2025_门头沟_一模_20|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,92,6,3,0,是,否,核心或正式支撑
A07,问如何保护权利/承担责任,设问入口,CC0002_2024_丰台_一模_17|CC0011_2024_丰台_二模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0051_2024_海淀_期中_21_1|CC0061_2024_西城_一模_18|CC0063_2024_西城_二模_16|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0283_2026_朝阳_一模_18|CC0289_2026_朝阳_二模_18|CC0311_2026_海淀_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|CC0353_2026_西城_期中_17|CC0364_2026_通州_期中_19_1|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18|CC0380_2026_顺义_二模_18_2,296,34,10,5,是,否,OPEN_OR_REFERENCE 不单独支撑核心
A08,问案例启示/典型意义,设问入口,CC0011_2024_丰台_二模_17|CC0025_2024_朝阳_二模_17|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0223_2025_顺义_一模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18,163,15,1,0,是,否,核心或正式支撑
A09,综合论述/开放表达,设问入口,CC0051_2024_海淀_期中_21_1|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0380_2026_顺义_二模_18_2,51,4,1,1,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T01,合同成立/要约承诺/履约违约,材料触发,CC0002_2024_丰台_一模_17|CC0019_2024_朝阳_一模_19|CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0045_2024_海淀_二模_19|CC0054_2024_石景山_一模_17|CC0061_2024_西城_一模_18|CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0092_2025_东城_期末_19_1|CC0103_2025_丰台_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0181_2025_海淀_期末_21|CC0189_2025_石景山_一模_20|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0245_2026_东城_期中_18_2|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0277_2026_房山_二模_18|CC0317_2026_海淀_期中_18|CC0318_2026_海淀_期中_18_2|CC0325_2026_石景山_一模_18|CC0353_2026_西城_期中_17|CC0373_2026_顺义_一模_18,248,27,6,3,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T02,消费者欺诈/虚假宣传/隐瞒/搭售,材料触发,CC0019_2024_朝阳_一模_19|CC0040_2024_海淀_一模_19|CC0063_2024_西城_二模_16|CC0084_2025_东城_二模_19|CC0103_2025_丰台_一模_19|CC0125_2025_延庆_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0162_2025_海淀_一模_18|CC0180_2025_海淀_期末_20|CC0189_2025_石景山_一模_20|CC0200_2025_西城_二模_18|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0223_2025_顺义_一模_19|CC0238_2026_东城_二模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0254_2026_丰台_二模_18|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0319_2026_海淀_期中_19|CC0353_2026_西城_期中_17|CC0305_2026_海淀_一模_18_3,181,22,2,4,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T03,平台用工/合作协议/三从属性,材料触发,CC0025_2024_朝阳_二模_17|CC0040_2024_海淀_一模_19|CC0077_2025_东城_一模_19|CC0119_2025_丰台_期末_19|CC0125_2025_延庆_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0162_2025_海淀_一模_18|CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0200_2025_西城_二模_18|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0238_2026_东城_二模_19|CC0254_2026_丰台_二模_18|CC0276_2026_房山_二模_17|CC0277_2026_房山_二模_18|CC0319_2026_海淀_期中_19|CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,169,16,3,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T04,人格权/隐私/名誉/肖像/个人信息,材料触发,CC0002_2024_丰台_一模_17|CC0084_2025_东城_二模_19|CC0143_2025_朝阳_一模_19|CC0150_2025_朝阳_二模_20|CC0157_2025_朝阳_期末_20|CC0223_2025_顺义_一模_19|CC0244_2026_东城_期中_18|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0289_2026_朝阳_二模_18|CC0332_2026_石景山_二模_19|CC0305_2026_海淀_一模_18_3|CC0380_2026_顺义_二模_18_2,133,10,2,1,是,否,OPEN_OR_REFERENCE 不单独支撑核心
T05,知识产权/作品/商标/专利,材料触发,CC0011_2024_丰台_二模_17|CC0040_2024_海淀_一模_19|CC0063_2024_西城_二模_16|CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0137_2025_昌平_二模_20|CC0143_2025_朝阳_一模_19|CC0157_2025_朝阳_期末_20|CC0181_2025_海淀_期末_21|CC0206_2025_西城_期末_19|CC0213_2025_门头沟_一模_20|CC0229_2026_东城_一模_18|CC0238_2026_东城_二模_19|CC0251_2026_丰台_一模_20|CC0277_2026_房山_二模_18|CC0283_2026_朝阳_一模_18|CC0311_2026_海淀_二模_18|CC0319_2026_海淀_期中_19|CC0325_2026_石景山_一模_18,134,16,1,2,是,否,OPEN_OR_REFERENCE 不单独支撑核心
