"suite_id","suite_name","question_no","issue_type","claimed_point","missing_point_or_overclaim","evidence_needed","recommended_action","status"
"S025","2025顺义一模","16","high_risk_overclaim","辩证否定/守正创新","细则未点名辩证否定，旧表述若写评分细则明确要求属于过度宣称","核对 bef8332e23ce30ac_2025顺义一模细则.txt 第10-17行，并等待 worker 正式 entries","删除评分细则明确要求；若保留只写合理角度/等级支持","NEED_WORKER_CROSSCHECK"
"S001","2024海淀一模","16","high_risk_overclaim","量变质变/前进性与曲折性","细则只列主观能动性、联系、发展、实践、民族精神，未点名量变质变或前进性曲折性","核对 b692254ceb1b8174_2024海淀一模细则.txt 第5行；等待 worker-2024 输出","删除两个高风险点或降级为等角度可酌情","PRECHECK_NEED_FIX"
"S023","2025石景山一模","21","high_risk_overclaim","辩证否定/破立统一/发展观点","破立是设问框架词，细则模块清单未点名辩证否定/发展观点","核对 0b97375f2f69e53d_2025石景山一模细则.txt 第101-111行；等待 2025A entries","把破立放进逻辑链；触发知识改为改革实质/社会发展规律/党的领导等","NEED_WORKER_CROSSCHECK"
"S027","2025西城二模","16(1)","wrong_node_overclaim","联系的客观性/根据固有联系建立新联系","一手细则显式角度为尊重规律、主观能动性、具体问题具体分析、生态价值观，未点名联系客观性","核对 cfb0f19ef38aafd7_2025西城二模细则.txt 第8-26行；等待 worker-2025B 输出","迁到尊重规律/主观能动性/具体问题具体分析/价值观导向；联系客观性降级","WAIT_2025B_WORKER"
"S006","2024石景山一模","16/20","evidence_level_mislabel","评分方向/评分细则","来源为教师版参考答案和讲评PPT时不能写成评分细则要求","等待 worker-2024 查找是否存在正式细则/评标；若无则只保留 reference-only","统一改成教师版参考/讲评PPT答题方向参考，标非逐点评分细则","WAIT_2024_WORKER"
"S005","2024丰台一模","18(1)/21","multipoint_pileup_needs_evidence","发展观/联系/辩证否定/社会基本矛盾/价值观/人民群众/整体部分等","旧 artifact 多点叠堆强于当前可见证据；需逐点回原细则","重新抽取或读取 丰台一模评标细则汇总.docx；等待 worker-2024 entries","无逐点证据前标 NEED_EVIDENCE；有证据后拆多节点","WAIT_2024_WORKER"
"S053","2026朝阳期末","16","high_risk_dense_claim","一切从实际出发/联系/发展/辩证否定/矛盾观/人民群众/价值观/文化自信","旧 artifact 称扫描页读图核定，但本轮尚无 2026B worker 逐点证据","OCR/视觉复核 2026朝阳期末细则.pdf，对每个高风险词摘录原文","未逐点点名的原理降级或删除；不得只凭旧 artifact 保留","WAIT_2026B_WORKER"
"GLOBAL","选择题正确项链","objective","choice_chain_wording","稳定触发","选择题正确项链不是主观题评分细则，稳定触发容易被误读为稳定给分","对新 worker choice rows 检查题面+可靠答案键，并检查 wording","统一改为正确项呼应/正确项对应；禁止写稳定给分链","GLOBAL_REWORD"
"S013","2024顺义思政二模","20(2)","open_level_mislabel","价值观导向等多原理","开放等级口径不能被写成唯一或稳定采分点","等待 worker-2024 从套卷 bundle/细则核对原始等级描述","条目首部标开放等级口径，非稳定给分点","WAIT_2024_WORKER"
"S018","2025东城一模","16","multipoint_missing_risk","中国年何以生生不息只放单一节点","worker notes 已显示本题至少有文化价值、文化创新、价值观、辩证否定/发展/矛盾、普特关系等多层","核对 2025A_notes.md 中 S018 阅卷报告摘录，并等待 2025A_entries.csv","正式 entries 必须拆多条，分别写证据摘录和答题落点","WAIT_2025A_ENTRIES"
"S017","2025西城一模","22","multipoint_missing_risk","长期主义只放单一哲学点","细则同时支持量变质变、前进性曲折性、正确价值观、民族精神、党的领导等层次","核对 2025A_notes.md 中 S017 第22题细则；等待 2025A_entries.csv","允许量变质变但必须引细则；多层拆分，不得压成一个节点","WAIT_2025A_ENTRIES"
"S019","2025朝阳一模","16","ocr_gap_high_risk","主观能动性/联系/发展/辩证否定/文化自信等","worker notes 显示 2025朝阳一模细则.pdf 为 rendered-ocr-needed 且 chars=0；第16题高风险词未可读逐点证明","对 2025朝阳一模细则.pdf 做 OCR/读图；不要用 17-19 题阅卷总结替代第16题细则","OCR 前全部高风险词和主观给分链标 NEED_EVIDENCE","NEED_EVIDENCE"
