suite_id,year,district,exam_type,exam_paper_path,scoring_rule_path,scoring_rule_type,evidence_level,lane_b_status,notes
2026通州期末,2026,通州,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,pptx_评分细则_slide15,P0_verified_scoring_rule,in_scope,Q20六点细则全部确认；从幻灯片15"评分细则"标题节提取
2026朝阳期中,2026,朝阳,期中,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,docx_正式评分细则,P0_verified_scoring_rule,in_scope,Q17三层总说分说结构全部确认；补充材料/细则.docx未核查
2026西城期末,2026,西城,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,Q20正式补入；来源确认by Codex A
2026东城期末,2026,东城,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,pptx_评分细则,P0_presumed,in_scope,Q20四大倡议分说需复查
2026丰台期末,2026,丰台,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先；待Codex A核查
2026朝阳期末,2026,朝阳,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2026海淀期中,2026,海淀,期中,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/试卷/试卷.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,pdf_讲评,P2_teaching_lecture,uncertain,只有讲评PDF；需核查是否有选必一内容
2026海淀期末,2026,海淀,期末,N/A,N/A,N/A,N/A,excluded,用户确认没考选必一；全模块排除
2026朝阳一模,2026,朝阳,一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,docx_正式评分细则,P0_verified_scoring_rule,in_scope,Q20必答点和选答点全部确认
2026顺义一模,2026,顺义,一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,pptx_正式评标,P0_verified_scoring_rule,in_scope,Q20共同利益必答点确认
