source_text,filename,line_no,hits,context,norm_key_guess
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\06c08602a2f5c20b_2025北京西城高三二模政治_教师版.txt,06c08602a2f5c20b_2025北京西城高三二模政治_教师版.txt,100,主流,C．坚持和完善民族区域自治制度 D．讲好铸牢中华民族共同体意识的故事 / 10．网络购物已逐渐成为主流的消费模式。有句广告词这样说， “只要有快递在路上，生活就有了盼头” ， / 以市场交易的视角看,2025|西城|二模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0ca482adfc64b0d7_2026房山一模细则.txt,0ca482adfc64b0d7_2026房山一模细则.txt,46,两点论;重点论,♣2分 治理路径一：整体性/分析与综合/联系/系统优化 / ♣2分 治理路径二：矛盾分析法/具体问题具体分析/两点论与重点论统一/分析与综合 / ♣2分 治理路径三：动态性/质量互变/发展,2026|房山|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0dbd7271f7bf108d_高三模拟测试思想政治试卷.txt,0dbd7271f7bf108d_高三模拟测试思想政治试卷.txt,82,主流, / 以“小笼包+现代城市+繁花”演绎的上海，在“XXL号冻梨”旁滑雪的黑龙江……网友对各地的奇异幻想，在央视网制作的视频《AI我中华》中得以呈现。用AIGC技术就可以生成行政区的地标图片和视频片段，听起来是不是很简单？但实操起来就像开盲盒，没人知道结果会怎样。因此，主流媒体推出“智慧+”产品，不仅要践行技术创新，更要重视 / A．用数字技术主导设计方案及思想表达,|||
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0f4414a153ba94c0_2024届各区一模试题分类汇编选必1.txt,0f4414a153ba94c0_2024届各区一模试题分类汇编选必1.txt,39,主流, / 5.(东城一模14)中国政府作为《生物多样性公约》第十五次缔约方大会(COP15) 主席国，持续推动 “昆明-蒙特利尔全球生物多样性框架”落实，部署了生物多样性主流化、应对生物 多样性丧失威胁等4个优先领域，每个优先领域下设6至8个优先行动。对此，下列观点正确的是 / ①中国推动构建地球生命共同体，促进多极化发展,2024|东城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\11303432404cb656_21题.txt,11303432404cb656_21题.txt,48,主要矛盾,3/学科思维方法有待形成和提高： / 对“势”的定位错误，如形势、对立统一体、矛盾普遍性、主要矛盾、中华优秀传统文化等 / 对三势的学科阅读及理解肤浅,|||
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\15664381470d8300_2026北京东城高三_上_期末政治_教师版.txt,15664381470d8300_2026北京东城高三_上_期末政治_教师版.txt,22,主要矛盾,①阅读作为获取知识的来源，能够涵养精神、提升文化素养 / ②公共文化服务适应社会主要矛盾变化，更好地满足人民文化需求 / ③城市文化设施建设不断完善，助力书香社会建设,2026|东城|期末|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.txt,1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.txt,86,主要矛盾,A. 对“AI 著作权”的真理性认识可以有多个 / B. 在争论中才能正确把握事物发展的主要矛盾 / C. 对“AI 著作权”的看法往往因人而异，具有主体差异性,2025|门头沟|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\22206a780a1503a6_2026西城一模细则.txt,22206a780a1503a6_2026西城一模细则.txt,81,重点论,【细则】 / 本题属于观点论证，要求学生阐释“为什么”，适宜从“必要性+重要性”两方面展开作答。基于对试题任务的拆解，分析要紧扣中国式现代化，重点论证关键时期更要坚持探索。 / ●必要性分析：强调“没它不行”（3分）,2026|西城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\2542f29bb04e2ae0_2025北京西城高三一模政治_教师版.txt,2542f29bb04e2ae0_2025北京西城高三一模政治_教师版.txt,49,矛盾的主要方面,①现代化的本质是人的现代化，“投资于物”不符合现代化发展的方向 / ②资源是有限的，“投资于人”与“投资于物”之间的对立是矛盾的主要方面 / ③人是发展的目的，强调更多资金资源“投资于人”是以人民为中心的生动体现,2025|西城|一模|
C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt,26649804f1de31f5_2026丰台一模细则.txt,80,主流;支流;两点论;重点论, （1）坚持矛盾的观点，用全面、辩证的眼光看问题。矛盾具有普遍性，人工智能既作为新科技革命的成果，为人类文明进步注入强劲动能，同时也带来了风险与隐忧。这要求我们坚持一分为二的观点，既要看到AI的积极作用，又要正视其带来的挑战。 / 或者进一步阐述：坚持两点论与重点论的统一。AI的积极作用是主流，风险与隐忧是支流。我们要抓住主流，充分利用AI技术促进发展，同时不能忽视支流，需加强规范引导。 / （2）坚持联系的观点，立足整体，统筹部分。人工智能的发展与社会生活、文化传承、民生福祉紧密相连。推动其健康发展需要统筹兼顾科技、伦理与社会公平，实现整体的最优目标。,2026|丰台|一模|
