title,status,reasons,missing_count,forbidden_count,answer_chars,trigger_chars
1. 2024丰台一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,86,48
2. 2024西城一模 Q19(5)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,36
3. 2024海淀二模 Q17(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,71,40
4. 2025丰台一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,59,39
5. 2025石景山一模 Q19（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,68,31
6. 2025门头沟一模 Q21(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,44
7. 2026东城一模 Q19(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,35
8. 2026海淀一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,39
9. 2026门头沟一模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,67,44
10. 2026顺义一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,59,47
11. 2026海淀期末 Q20(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,62,42
12. 2026丰台期末 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,123,48
13. 2024丰台一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,86,48
14. 2024西城一模 Q19(5)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,36
15. 2026东城一模 Q19(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,35
16. 2026海淀一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,61,39
17. 2026海淀期末 Q20(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,42
18. 2024丰台一模 Q19(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,86,48
19. 2024海淀一模 Q17(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,75,39
20. 2024石景山一模 Q19(3)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,66,36
21. 2024丰台二模 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,68,28
22. 2024海淀二模 Q17(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,71,40
23. 2025东城一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,60,35
24. 2025门头沟一模 Q21(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,72,44
25. 2025东城期末 Q18(2)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,60,34
26. 2025海淀二模 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,130,50
27. 2026东城一模 Q19(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,70,35
28. 2026东城一模 Q19(4)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,54,33
29. 2026房山一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,48,35
30. 2026朝阳期中 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,62,41
31. 2026丰台期末 Q20（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,123,48
32. 2024朝阳二模 Q19(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把 | fake_prompt | meta_answer_instruction,0,2,59,25
33. 2025东城一模 Q18(1)（主观题）,FAIL,forbidden=本题要求结合材料说明其体现的思维方法;卷面要把;先写 | fake_prompt | meta_answer_instruction,0,3,60,35
