"suite_id","suite_name","question_no","answer","module","entry_kind","status","source_path","evidence_excerpt","question_stem","material_trigger","knowledge_point","correct_chain","wrong_or_boundary","note"
"S007","2024门头沟一模","1-15","1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A","objective_all","objective_key","PASS_OBJECTIVE_WITH_SUPPLEMENT","C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf","rendered pages 1-4 cover Q1-Q15; page 9 shows 参考答案","Q1-Q15 objective stems covered by local scanned supplement pages 1-4","local overnight scanned paper with answer page","objective closure","answer key copied from local reference answer page","supplement evidence only; not promoted to full scoring-rubric evidence","题干+答案键可闭合"
"S007","2024门头沟一模","2","C","哲学","choice_chain","PASS","C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 1 and page 9","安家庄大桥成功转体; 既保障铁路正常行车又保护自然环境; 答案 C=②③","世界首例曲线钢桁斜拉桥转体, 连接区域交通","工程实践检验设计方案; 创新协调可持续发展","实践是认识的基础; 联系和综合协调","②对应技术创新与多目标协调; ③对应成功实践验证设计和施工方案正确性","①从国道建设直接推出区域繁荣超出题面; ④把转体套成矛盾主要方面缺少依据",""
"S007","2024门头沟一模","5","B","文化","choice_chain","PASS","C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 2 and page 9","文旅融合将文化元素融入旅游产品和服务, 让人在旅行中感受文化之美; 答案 B=①④","文旅局长出圈, 花式内卷为家乡代言, 文旅融合新业态","文化功能; 文化与美好生活","文化引领风尚、促进发展; 满足人民美好生活需要","①对应文旅融合促进发展; ④对应文化之美和美好生活期待","②实现文化认同拔高材料; ③经济发展水平取决于文化资源挖掘利用表述错误",""
"S007","2024门头沟一模","9","A","哲学","choice_chain","PASS","C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 3 and page 9","啤酒瓶盖锯齿数经反复研究实验从24到21; 答案 A=①②","科学实验发现3的倍数更牢固且21个更安全方便","实践认识; 认识发展","实践是认识基础; 认识具有无限性和上升性","①由反复实验得出结论; ②认识随实验深化而变化","③错称科学实验是事物发展源泉和动力; ④真理谬误转化无题面支撑",""
"S007","2024门头沟一模","10","D","哲学","choice_chain","PASS","C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 3 and page 9","外贸出口从老三样转向新三样走俏海外; 答案 D=②④","电动载人汽车、锂电池、太阳能电池海外走俏","发展变化; 矛盾运动; 结构优化","出口产品技术含量和市场竞争力增强; 矛盾运动推动结构变化","②对应技术含量与竞争力增强; ④对应外贸出口结构优化升级","①以名称新旧判定新旧事物错误; ③只影响国内经济结构与海外市场材料不符",""
"S007","2024门头沟一模","15","A","哲学","choice_chain","PASS","C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2024_mentougou_yimo_with_answers.pdf page 4 and page 9","习近平文化思想具有大历史观; 从历史长河、历史积淀、历史流变把握规律和主动; 答案 A=①③","大历史观; 历史发展轨迹、规律、主动","社会历史观; 历史规律","坚持大历史观才能从流变中把握历史主动、从积淀中探寻规律","①对应历史流变中掌握主动; ③为不坚持大历史观则不能探寻规律的条件判断","②只要就能绝对化; ④单因归因超出材料",""
"S012","2024丰台二模","1-15","1D 2B 3A 4C 5A 6B 7B 8C 9D 10C 11C 12B 13D 14D 15A","objective_all","objective_key","PASS_OBJECTIVE","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_001.png..page_004.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf","rendered pages 1-4 cover Q1-Q15; answer PDF page 8 shows 参考答案","Q1-Q15 objective stems covered by rendered images","cached rendered paper plus local answer supplement","objective closure","answer key copied from local reference answer page","original paper is rendered-ocr-needed, so stem evidence is image-based","题干+答案键可闭合"
"S012","2024丰台二模","11","C","文化","choice_chain","PASS","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_003.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf page 8","类博物馆在展示、收藏、教育等方面与传统博物馆不同; 答案 C=②④","北京推动祥体育博物馆、声音艺术博物馆、联合数字藏品博物馆等类博物馆建设","文化功能; 公共文化供给","多元展品提供文化生活新选择; 发挥文化引领风尚、教育人民、服务社会、推动发展功能","②对应更加多元的展品; ④对应展示教育和公共文化功能","①目的表述过宽; ③确保和政治保障绝对化且不贴题",""
"S012","2024丰台二模","12","B","哲学","choice_chain","PASS","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_003.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf page 8","北斗一号从无到有、二号攻克关键技术、三号全球组网; 答案 B=①④","北斗卫星导航三步走","量变质变; 实践与认识工具","量的积累奠定系统建成基础; 技术系统延伸人的认识器官提高认识能力","①对应三步积累; ④对应北斗导航扩展认识能力","②自然发展的必然结果忽视实践; ③充分条件表述过度",""
"S012","2024丰台二模","13","D","哲学","choice_chain","PASS","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\57ddd500c48eeec9\page_004.png; C:\bp_sync_visible\reports\evidence_2024_fengtai_ermo_answer.pdf page 8","合成谬误指单独看对但整体中未必对; 答案 D","看比赛都站起来反而看不清; 家庭都大方出行导致道路拥堵","系统观念; 整体与部分","坚持系统谋划, 实现系统功能最大化","D对应从整体把握个体行为叠加后的系统后果","A逆向思维非主旨; B立足局部方向错误; C折中主义不等于适度原则",""
"S014","2024海淀期中","1-15","1C 2A 3C 4D 5B 6A 7B 8D 9D 10A 11B 12B 13A 14C 15D","objective_all","objective_key","PASS_KEY_NO_B4_CULTURE_OBJECTIVE","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\b452d8b4e21b94be_2024北京海淀高三_上_期中政治_教师版.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024海淀期中.md","teacher-version markdown lines 315-320 show 参考答案; bundle lines 34-40 show objective module distribution","Q1-Q15 objective stems covered by local teacher-version duplicate source","local teacher-version source with same title and paper; suite bundle module distribution","objective closure","answer key copied from teacher-version reference answer section","objective modules are 必修2 1-6, 必修3 7-11, 选择性必修1 12-15; no 必修四/文化 objective item","题干+答案键可闭合; 不生成必修四/文化链条"
"S014","2024海淀期中","N/A","N/A","module_boundary","no_b4_culture_chain","PASS_BOUNDARY","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024海淀期中.md lines 34-40","客观题题号 1-6 7-11 12-15 对应 必修2 必修3 选择性必修1","No objective question belongs to 必修四/文化 by local bundle distribution","module table","scope boundary","do not manufacture 必修四/文化 choice chains","无必修四/文化客观题; 只闭合答案键",""
