题目,题目键,共同子原理,Claude独有子原理,Codex独有子原理,初判处理,需人工审
2024东城二模第16题,2024_东城_二模_Q16,一切从实际出发 / 实事求是；人民群众；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；联系的普遍性；辩证否定 / 守正创新,价值判断与价值选择；联系的客观性；规律的客观性,主观能动性 / 意识的能动作用；价值观的导向作用；尊重客观规律与发挥主观能动性相结合,,是
2024朝阳一模第16题,2024_朝阳_一模_Q16,内因和外因,对立统一,,,是
2024朝阳二模第16(2)题,2024_朝阳_二模_Q16-2,主观能动性 / 意识的能动作用；尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用,人民群众；价值观的导向作用；前进性与曲折性；发展的观点 / 发展的普遍性；实践与认识 / 认识对实践的反作用；对立统一；社会存在与社会意识；联系的多样性；联系的普遍性；认识发展原理,,,是
2024朝阳期中第17题,2024_朝阳_期中_Q17,价值判断与价值选择；价值观的导向作用；对立统一；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新,,主观能动性 / 意识的能动作用；尊重客观规律与发挥主观能动性相结合,,是
2024顺义二模第16(1)题,2024_顺义_二模_Q16-1,,矛盾普遍性和特殊性；矛盾的普遍性,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析,,是
2024顺义二模第2题,2024_顺义_二模_Q2,主观能动性 / 意识的能动作用,,文化功能 / 文化载体 / 文化传承与交流,,是
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用,价值判断与价值选择；物质决定意识，意识对物质具有能动作用,,,是
2025东城一模第16题,2025_东城_一模_Q16,辩证否定 / 守正创新,价值判断与价值选择；价值观的导向作用；矛盾,,,是
2025东城二模第16题,2025_东城_二模_Q16,一切从实际出发 / 实事求是；物质决定意识，意识对物质具有能动作用,两点论和重点论；人民群众；价值观的导向作用；发展；实践与认识 / 认识对实践的反作用；对立统一；真理观；社会存在与社会意识；联系；认识发展原理,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合,,是
2025东城期末第16题,2025_东城_期末_Q16,主观能动性 / 意识的能动作用,,发展的观点 / 发展的普遍性；联系,,是
2025丰台期末第16题,2025_丰台_期末_Q16,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；适度原则；量变与质变,联系的普遍性,主观能动性 / 意识的能动作用；价值观的导向作用；规律的客观性,,是
2025延庆一模第16题,2025_延庆_一模_Q16,,一切从实际出发 / 实事求是；价值观的导向作用；矛盾的特殊性 / 具体问题具体分析,对立统一,,是
2025房山一模第16(1)题,2025_房山_一模_Q16-1,对立统一,价值判断与价值选择；辩证否定 / 守正创新,,,是
2025朝阳期末第16题,2025_朝阳_期末_Q16,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；联系；辩证否定 / 守正创新,对立统一,价值观的导向作用；矛盾普遍性和特殊性；矛盾的普遍性；规律的客观性,,是
2025朝阳期末第2题,2025_朝阳_期末_Q2,整体与部分 / 系统观念 / 系统优化,联系的普遍性,,,是
2025朝阳期末第22题,2025_朝阳_期末_Q22,实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新,一切从实际出发 / 实事求是；主要矛盾和次要矛盾,人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；真理观；社会存在与社会意识；联系；认识发展原理,,是
2025朝阳期末第9题,2025_朝阳_期末_Q9,整体与部分 / 系统观念 / 系统优化,两点论和重点论,,,是
2025海淀一模第16题,2025_海淀_一模_Q16,对立统一,两点论和重点论；价值判断与价值选择；价值观的导向作用；矛盾的特殊性 / 具体问题具体分析；认识发展原理,,,是
