question_id,year,district,exam_stage,question_no,evidence_level,v5_2_category,reason,framework_entry_nodes,old_pass_status,ask_text
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,formal,low_frequency_container,formal 但低频，不作为核心动作卡支撑,,PARTIAL_LOW_FREQ_CONTAINER,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 排维权步骤 + 推价值,PASS_CANDIDATE,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,reference_only,reference_only_locked,普通参考答案/教师答案，不支撑核心,,PARTIAL_REFERENCE_ONLY,运用《法律与生活》知识，谈谈对本案判决的认识。
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 推价值,PASS_CANDIDATE,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。
CC0061_2024_西城_一模_18,2024,西城,一模,18,formal,source_check_pending,Claude Opus V5.2 复核要求移出核心并回源：材料/答案/细则或生成答案存在错位/元信息污染风险,,PASS_CANDIDATE,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。
CC0063_2024_西城_二模_16,2024,西城,二模,16,formal,strict_core,formal core sample generated in V5.2 after Claude V5.2 downgrades,分关系·定责任 + 推价值,PASS_CANDIDATE,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。
CC0077_2025_东城_一模_19,2025,东城,一模,19,formal,source_check_pending,ask_blank,,PARTIAL_SOURCE_CHECK,
