audit_id,line,entry_type,section,source,year,district,stage,question,question_nature,evidence_grade_initial,grade_reason,bundle_path,bundle_state,trigger_hit_count_in_bundle,trigger_hit_terms_in_bundle,review_status,material,trigger,logic,suite_name,question_no_norm,covered_by_v6_question_number,present_by_suite_question_in_v7,quality_gate
V3-FW-0004,102,label4,一切从实际出发 / 实事求是,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,1,一切从实际出发,rubric-source-review,“胸中有‘数’”要求在工作生活中做计划、定方案，在国家治理中看大数、看长远；评分标准把“数从哪里来”对应到实践、实际、规律、发挥主观能动性。,一切从实际出发 / 实事求是,“数”不是主观臆想出来的，而是对客观情况、统计数据、百分比和数量界限的把握。材料要求从实际情况中取得“数”，再依据实际确定方案，因此触发“一切从实际出发、实事求是”。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0014,143,label4,一切从实际出发 / 实事求是,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,1,一切从实际出发,rubric-source-review,桑基鱼塘立足农业实践、尊重人与自然发展规律，因地制宜保护利用，并随时代发展实现生态景观、产业融合、文化研学和乡村振兴结合。,一切从实际出发 / 实事求是,阅卷细则明确把“基于规律和实际（实践）证明桑基鱼塘的科学价值”列为哲学层面，并给出“尊重规律/一切从实际出发”。桑基鱼塘之所以“两千多岁仍未老”，不是因为抽象保留旧形式，而是始终立足当地水土、桑蚕鱼塘系统和现实乡村发展需要，因此应补入从实际出发栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0015,147,label4,一切从实际出发 / 实事求是,2025北京门头沟高三一模 第21题第（2）问（门头沟一模细则.doc）,2025,门头沟,一模,第21题第（2）问,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025门头沟一模.md,found,1,主观与客观,rubric-source-review,门头沟服务首都发展大局，立足生态涵养功能定位和资源约束，关闭全部矿山，探索“绿水青山”向“金山银山”转化。,主观与客观、认识与实践具体的历史的统一,评分细则明确允许从“主观与客观、认识与实践具体的历史的统一”作答。材料不是抽象谈转型愿望，而是在首都功能定位、生态规律、产业基础和人民长远利益变化中选择发展路径，因此应作为从实际出发栏目的细化方法论保存。,2025门头沟一模,21,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0026,193,label4,主观能动性 / 意识的能动作用,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,2,主观能动性;意识的能动作用,rubric-source-review,评分标准把“数为何所用”指向做计划、定方案，以及认识对实践的反作用、意识的能动作用。,主观能动性 / 意识的能动作用,材料中的“胸中有数”不是停留在知道数据，而是把对数量、比例、界限的认识转化为计划、方案和治理行动。主体能够依据“数”进行预判、选择和安排，体现意识对实践活动的指导作用。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0038,243,label4,尊重客观规律与发挥主观能动性相结合,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,0,,rubric-source-review,桑基鱼塘遵循人与自然的发展规律，又通过保护利用、产业融合、文化研学等方式在新时代继续发挥作用。,尊重客观规律与发挥主观能动性相结合,细则把“尊重规律”放在哲学层面第一项。桑基鱼塘不是人任意设计的景观，而是在顺应水、桑、蚕、鱼、塘之间生态规律的基础上形成；新时代的保护开发又体现人对这一规律的主动利用和创新转化，因此应补入尊重规律与能动性栏目。,2024东城二模,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0039,247,label4,尊重客观规律与发挥主观能动性相结合,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,2024,西城,二模,第18题第（4）问,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024西城二模.md,found,1,按客观规律办事和发挥主观能动性,rubric-source-review,传统村落受到进城置业、移民搬迁冲击，文化和旅游部等机关要求以文化产业赋能乡村振兴，提升乡村审美水平和人文素养。,按客观规律办事和发挥主观能动性,答案细则明确列出“按客观规律办事和发挥主观能动性”。推动乡村文化振兴不能脱离村落形态、乡土文化传承规律和人口流动现实，也不能被动等待传统村落自然延续；要在尊重乡村文化生成和传播规律的基础上，通过审美教育、文化空间建设和产业赋能主动创造新活力。,2024西城二模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0041,257,label4,规律的客观性,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,0,,angle-list-review,毛泽东强调“不懂得注意决定事物质量的数量界限，一切都是胸中无‘数’，结果就不能不犯错误”。,规律的客观性,数量界限不是人的主观偏好，而是事物发展中客观存在的“度”。忽视基本统计、主要百分比和数量界限，就会违背客观规律而犯错误，因此材料能稳定触发规律客观性。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0061,341,label4,联系的普遍性 / 联系的观点（总）,2024北京西城高三二模 第18题第（4）问（高三模拟测试思想政治答案细则.docx）,2024,西城,二模,第18题第（4）问,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024西城二模.md,found,1,系统优化,rubric-source-review,传统村落形态多样，桥涵路街、亭阁庙宇、风俗习惯、方言乡音共同承载乡土气息；推动乡村文化振兴要把乡村美学、文化产业、特色书店、剧场、博物馆、美术馆、文创馆等要素统筹起来。,联系的观点 / 整体与部分 / 系统优化,答案细则明确把“系统优化”列为第18（4）问可用角度。乡村文化振兴不是单建一个文化场所，也不是只保护某一处传统建筑，而是把村落空间、民俗记忆、审美教育、文化产业和公共文化设施组织成整体，形成相互支撑的乡村文化生态。,2024西城二模,18,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0062,345,label4,联系的普遍性 / 联系的观点（总）,2024北京丰台高三二模 第20题（丰台政治二模阅卷评标.docx）,2024,丰台,二模,第20题,subjective,B,评标或讲评角度清单，材料链需标整理者解释,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024丰台二模.md,found,0,,angle-list-review,统筹发展和安全贯穿新民主主义革命、社会主义革命和建设、改革开放和中国特色社会主义现代化建设、中国特色社会主义新时代等不同历史时期，关系国家兴衰和历史走向。,联系的观点 / 系统观念,第20题为8分哲学等级题，评标说明可从认识论、辩证法等角度作答，水平4要求三个角度阐释较好或完整。材料把发展与安全、历史阶段与国家治理放进同一关系链中，说明不能孤立谈发展或孤立谈安全，而要在相互联系中统筹把握。,2024丰台二模,20,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
V3-FW-0071,388,label4,联系的普遍性 / 联系的观点（总）,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,A,细则/阅卷/评分标准类显性来源,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,found,1,系统观念,rubric-source-review,评分标准把“数当如何定”指向系统优化、整体部分；示例答案要求坚持系统观念，立足整体把握相互关联的诸多要素。,整体与部分 / 系统观念,“胸中有数”不是只看一个孤立数字，而是看基本统计、主要百分比、数量界限及其在整体工作中的位置。材料强调做计划、定方案、国家治理看大数，说明要从整体结构中理解局部数据的意义。,2025丰台期末,16,False,True,FAIL_NEEDS_FULL_PROMPT_AND_CONCRETE_LANDING
