source_id,root_label,root_path,relative_path,filename,suffix,size_bytes,mtime,year_hint,district_hint,stage_hint,evidence_guess,file_flags,status,notes
SRC_d3bf32a70598,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,北京2024各区《经济与社会》考题-wlfwlf.docx,北京2024各区《经济与社会》考题-wlfwlf.docx,.docx,3158520,1776939519,2024,北京,,unknown,word,not_started,
SRC_7d9c899ad31f,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,北京及2024各区《经济与社会》考题-wlf.pdf,北京及2024各区《经济与社会》考题-wlf.pdf,.pdf,2437451,1776939525,2024,北京,,unknown,pdf,not_started,
SRC_04f136a5f8d1,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,丰台一模/细则/细则.docx,细则.docx,.docx,24557,1776935389,2024,丰台,一模,P0_candidate_scoring,word,not_started,
SRC_a2905154bbd4,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,丰台一模/试卷/试卷.pdf,试卷.pdf,.pdf,4148690,1776935416,2024,丰台,一模,P3_candidate_paper,pdf,not_started,
SRC_60a70dc180c6,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,2024北京丰台高三一模政治试题及答案.pdf,.pdf,458340,1776935395,2024,丰台,一模,P1_candidate_reference_answer,pdf,not_started,
SRC_f887d1b620c6,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,石景山一模/细则/细则.pptx,细则.pptx,.pptx,10536645,1776935599,2024,石景山,一模,P0_candidate_scoring,ppt,not_started,
SRC_6fbd7d422e58,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,石景山一模/试卷/试卷.docx,试卷.docx,.docx,353125,1776935440,2024,石景山,一模,P3_candidate_paper,word,not_started,
SRC_df323259ba77,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,2024朝阳二模/细则/细则.pdf,细则.pdf,.pdf,558870,1776935502,2024,朝阳,二模,P0_candidate_scoring,pdf,not_started,
SRC_8802a640c1e2,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,2024朝阳二模/细则/补充材料/细则.docx,细则.docx,.docx,28300,1776935498,2024,朝阳,二模,P0_candidate_scoring,word,not_started,
SRC_4de874d0f669,2024模拟题,/Users/wanglifei/Desktop/2024模拟题,2024朝阳二模/试卷/试卷.pdf,试卷.pdf,.pdf,686177,1776935498,2024,朝阳,二模,P3_candidate_paper,pdf,not_started,
