order,question_id,visible_title,question_type_group,phase12_decision,option_visibility,answer_completeness,reasoning_form_clarity,thinking_method_clarity,question_type_correct,must_fix_p0_check,verdict_per_row,note
1,Q-2025海淀二模-20,2025 海淀二模第20题,主观题,body_now,n/a,sufficient,n/a,辩证思维角度池正确_整体性动态性分析综合质量互变辩证否定可选,主观题,n/a,row_pass,phase11B_fallback_block_carried_review_only
2,Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,主观题,body_now,n/a,sufficient,n/a,科学思维客观性_永动机违反客观规律,主观题,n/a,row_pass,
3,Q-2025海淀期末-18,2025 海淀期末第18题,主观题,body_now,n/a,sufficient,n/a,创新思维_逆向思维+联想思维,主观题,n/a,row_pass,
4,Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,主观题,body_after_repair,n/a,sufficient,n/a,科学思维三落点_客观性+探索性+整体安排_未回流三模块并列,主观题,SCIENCE_ONLY_SOURCE_SUPPORTED_PASS,row_pass,P0项_海淀二模17_1已锁定科学思维独立设问
5,Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,主观题,n/a,sufficient,n/a,认识发展历程_感性具体到思维抽象到思维具体,主观题,n/a,row_pass,
6,Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,主观题,body_now,n/a,sufficient,充分条件假言推理_肯定后件无效_不能由后件真倒推前件真,n/a,主观题,n/a,row_pass,
7,Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,主观题,body_now,n/a,sufficient,n/a,创新思维_改变创造条件,主观题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
8,Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,主观题,body_now,n/a,sufficient,定义结构_被定义项联结词种差邻近属,n/a,主观题,n/a,row_pass,
9,Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,主观题,body_now,n/a,sufficient,概念外延关系_相容属种,n/a,主观题,n/a,row_pass,
10,Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,主观题,body_now,n/a,sufficient,推理想象+超前思维(辅助挂载),n/a,主观题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
11,Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,主观题,body_now,n/a,sufficient,n/a,系统观念+创新思维_发散聚合超前,主观题,n/a,row_pass,
12,Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,主观题,body_after_repair,n/a,sufficient,主张1矛盾律联言+主张2肯定后件误推+主张3中项不周延,n/a,主观题,n/a,row_pass,主张1主张2主张3编号已落点
13,Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,主观题,body_after_repair,n/a,sufficient,n/a,创新思维_联想发散聚合_登月服设计,主观题,n/a,row_pass,
14,Q-2026朝阳期中-20,2026 朝阳期中第20题,主观题,body_now,n/a,sufficient,n/a,辩证思维_机遇挑战对立统一+整体性+动态性+质量互变,主观题,n/a,row_pass,
15,Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问,主观题,body_now,n/a,sufficient,n/a,创新思维_超前+联想+逆向+发散+聚合,主观题,n/a,row_pass,
16,Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问,主观题,body_now,n/a,sufficient,充分条件假言推理_否定后件式P_Q结构,n/a,主观题,n/a,row_pass,P/Q wording已修订为否定后件结构
17,Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问,主观题,body_now,n/a,sufficient,必要条件假言推理_肯定后件式,n/a,主观题,n/a,row_pass,
18,Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问,主观题,body_now,n/a,sufficient,n/a,辩证思维动态性+类比推理(辅助),主观题,n/a,row_pass,
19,Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问,主观题,body_now,n/a,sufficient,联言判断保真,辩证思维动态性同题链,主观题,n/a,row_pass,
20,Q-2024朝阳期中-18,2024 朝阳期中第18题,主观题,body_after_repair,n/a,sufficient,不完全归纳推理(楚王)+类比推理(晏子),n/a,主观题,n/a,row_pass,
21,Q-2024朝阳期中-19,2024 朝阳期中第19题,主观题,body_after_repair,n/a,sufficient,推理想象(辅助),创新思维方案生成与收束,主观题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
22,Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问,主观题,body_now,n/a,sufficient,甲必要条件假言推理_肯定后件式+乙三段论大项不当扩大,n/a,主观题,n/a,row_pass,phase11B_fallback_block_carried_review_only
23,Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,主观题,body_after_repair,n/a,sufficient,必要条件假言判断+联言判断保真,n/a,主观题,n/a,row_pass,
24,Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问,主观题,body_now,n/a,sufficient,三段论_前提真实性+结构正确性,n/a,主观题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
25,Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问,主观题,body_now,n/a,sufficient,n/a,科学思维三特征_客观性预见性可检验性,主观题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
26,Q-2026通州期末-19-2,2026 通州期末第19题第(2)问,主观题,body_now,n/a,sufficient,推理1充分条件肯定前件有效+推理2必要条件仅肯定前件不能肯定后件,n/a,主观题,n/a,row_pass,
27,Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,主观题,body_after_repair,n/a,sufficient,充分条件假言+必要条件假言+相容选言判断,n/a,主观题,n/a,row_pass,
28,Q-2025海淀二模-12,2025 海淀二模第12题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,创新思维超前思维_耐心资本长期趋势,选择题,n/a,row_pass,
29,Q-2025海淀二模-13,2025 海淀二模第13题,选择题,body_after_repair,完整选项ABCD,sufficient,三段论有效式+概念外延+相容不相容选言区分,n/a,选择题,n/a,row_pass,
30,Q-2025海淀期末-2,2025 海淀期末第2题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,迁移方法+整体性,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
31,Q-2025海淀期末-8,2025 海淀期末第8题,选择题,body_after_repair,完整选项ABCD,sufficient,选言推理_不相容相容选言关系,n/a,选择题,n/a,row_pass,
32,Q-2024海淀二模-6,2024 海淀二模第6题,选择题,body_after_repair,完整选项ABCD,sufficient,概念外延关系+换位推理边界,n/a,选择题,n/a,row_pass,
33,Q-2025西城二模-6,2025 西城二模第6题,选择题,body_after_362_repair,完整选项ABCD,sufficient,概念外延种属(新增条目),n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
34,Q-2025西城二模-7,2025 西城二模第7题,选择题,body_after_repair,①②③④_in_stem,sufficient,演绎+求异法+类比可信度比较_演绎>归纳>类比但需前提真实,n/a,选择题,n/a,row_pass,
35,Q-2024西城一模-11,2024 西城一模第11题,选择题,body_after_repair,①②③④_in_stem,sufficient,完全归纳推理_枚举全部对象推全称,n/a,选择题,n/a,row_pass,
36,Q-2024西城一模-13,2024 西城一模第13题,选择题,body_after_repair,完整选项ABCD,sufficient,联想_非逻辑制约的畅想性,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
37,Q-2026东城一模-6,2026 东城一模第6题,选择题,body_after_repair,完整选项ABCD,sufficient,换质换位法+性质判断特称推理边界,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish_thinking_NEEDS_METHOD_CONFIRMATION
38,Q-2026东城期末-6,2026 东城期末第6题,选择题,body_after_repair,n/a_check,sufficient,假言推理_必要条件_前提补充,n/a,选择题,n/a,row_pass,
39,Q-2026东城期末-7,2026 东城期末第7题,选择题,body_after_repair,完整选项ABCD,sufficient,假言推理_充分条件+复合命题真值表+真假组合穷举,n/a,选择题,n/a,row_pass,
40,Q-2025东城期末-5,2025 东城期末第5题,选择题,body_after_repair,①②③④_in_stem,sufficient,n/a,辩证思维_整体动态优化+矛盾分析,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
41,Q-2025东城期末-13,2025 东城期末第13题,选择题,body_now,①②③④+ABCD_全部明文,sufficient,三段论中项不周延+大项不当扩大+四概念区分,n/a,选择题,n/a,row_pass,
42,Q-2025东城期末-14,2025 东城期末第14题,选择题,body_after_repair,完整选项ABCD,sufficient,概念外延+性质判断谓项周延+关系判断,n/a,选择题,n/a,row_pass,
43,Q-2025东城期末-15,2025 东城期末第15题,选择题,body_after_repair,完整选项ABCD,sufficient,假言推理_充分条件+联言+选言,n/a,选择题,n/a,row_pass,
44,Q-2026朝阳期中-11,2026 朝阳期中第11题,选择题,body_after_repair,完整选项ABCD,sufficient,三段论补大前提,n/a,选择题,n/a,row_pass,
45,Q-2026朝阳期中-12,2026 朝阳期中第12题,选择题,body_after_repair,完整选项ABCD,sufficient,相容选言判断+分类规则+矛盾律,n/a,选择题,n/a,row_pass,
46,Q-2026朝阳期中-13,2026 朝阳期中第13题,选择题,body_after_repair,①②③④_in_stem,sufficient,联想思维/类比推理/感性具体边界,n/a,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
47,Q-2026朝阳期中-14,2026 朝阳期中第14题,选择题,body_after_repair,①②③④_in_stem,sufficient,不完全归纳推理_结论或然性,n/a,选择题,n/a,row_pass,
48,Q-2026朝阳期中-15,2026 朝阳期中第15题,选择题,body_after_repair,完整选项ABCD,sufficient,联言判断_否定一支即否定整个,n/a,选择题,n/a,row_pass,
49,Q-2024朝阳一模-6,2024 朝阳一模第6题,选择题,body_after_362_repair,完整选项ABCD,sufficient,逻辑三律+概念划分+四概念(新增条目),n/a,选择题,n/a,row_pass,辅助挂载NEEDS_TYPE_CONFIRMATION_pre_final_polish
50,Q-2024朝阳一模-7,2024 朝阳一模第7题,选择题,body_now,①②③④_in_stem,sufficient,n/a,创新思维_开放创新与继承借鉴_choice_signal,选择题,n/a,row_pass,
51,Q-2024朝阳一模-9,2024 朝阳一模第9题,选择题,body_now,①②③④+ABCD_全部明文,sufficient,n/a,系统观念_有序调查到制度表达,选择题,n/a,row_pass,辅助挂载NEEDS_METHOD_CONFIRMATION_pre_final_polish
52,Q-2024朝阳二模-6,2024 朝阳二模第6题,选择题,body_after_repair,①②③④_in_stem,sufficient,概念外延关系+渐进性飞跃性,n/a,选择题,n/a,row_pass,
