"Source","Destination","Reason","IsDirectory"
"C:\Users\Administrator\Desktop\xuanbisan_thinking_audit_20260604","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\审核过程\xuanbisan_thinking_audit_20260604","选必三审核过程目录","True"
"C:\Users\Administrator\Desktop\选必一6.2视觉核验_20260603","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\过程与核验\选必一6.2视觉核验_20260603","选必一过程目录","True"
"C:\Users\Administrator\Desktop\选必一目录字体修复_20260603","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\过程与核验\选必一目录字体修复_20260603","选必一过程目录","True"
"C:\Users\Administrator\Desktop\选必二满分宝典_v4_三路审核包_20260606","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v4_三路审核包_20260606","选必二三路审核包目录","True"
"C:\Users\Administrator\Desktop\选必二满分宝典_v5_三路审核包_20260606","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v5_三路审核包_20260606","选必二三路审核包目录","True"
"C:\Users\Administrator\Desktop\选必二满分宝典_v6_三路审核包_20260606","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v6_三路审核包_20260606","选必二三路审核包目录","True"
"C:\Users\Administrator\Desktop\选必二满分宝典_v7_三路审核包_20260606","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\三路审核包\选必二满分宝典_v7_三路审核包_20260606","选必二三路审核包目录","True"
"C:\Users\Administrator\Desktop\01_先背这套_法律主观题不扣分框架_v14_5.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\01_先背这套_法律主观题不扣分框架_v14_5.md","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\01_双轴法律主观题框架章.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\工作稿与旧版\01_双轴法律主观题框架章.md","选必二工作稿/旧版","False"
"C:\Users\Administrator\Desktop\02_42题双轴重标与解析宝典.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\02_42题双轴重标与解析宝典.md","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\03_旧A_B双轴降级说明_v13_11.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\03_旧A_B双轴降级说明_v13_11.md","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\codex修订任务_选必一6.1.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\codex修订任务_选必一6.1.md","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\codex修订任务_选必三思维宝典_三审_20260604.md","C:\Users\Administrator\Desktop\01_北京政治资料\选必三_0604\成品与审核\codex修订任务_选必三思维宝典_三审_20260604.md","选必三成品/审核","False"
"C:\Users\Administrator\Desktop\fix_xuanbiyi_docx_toc_fonts.py","C:\Users\Administrator\Desktop\02_代码项目与工具\脚本散件\政治修订脚本_0603_0606\fix_xuanbiyi_docx_toc_fonts.py","修订/核验脚本","False"
"C:\Users\Administrator\Desktop\render_pdf_for_visual_qa.py","C:\Users\Administrator\Desktop\02_代码项目与工具\脚本散件\政治修订脚本_0603_0606\render_pdf_for_visual_qa.py","修订/核验脚本","False"
"C:\Users\Administrator\Desktop\revise_xuanbiyi_6_2.py","C:\Users\Administrator\Desktop\02_代码项目与工具\脚本散件\政治修订脚本_0603_0606\revise_xuanbiyi_6_2.py","修订/核验脚本","False"
"C:\Users\Administrator\Desktop\search_xuanbiyi_6_2_pdf.py","C:\Users\Administrator\Desktop\02_代码项目与工具\脚本散件\政治修订脚本_0603_0606\search_xuanbiyi_6_2_pdf.py","修订/核验脚本","False"
"C:\Users\Administrator\Desktop\verify_xuanbiyi_6_2.py","C:\Users\Administrator\Desktop\02_代码项目与工具\脚本散件\政治修订脚本_0603_0606\verify_xuanbiyi_6_2.py","修订/核验脚本","False"
"C:\Users\Administrator\Desktop\verify_xuanbiyi_docx_fix.py","C:\Users\Administrator\Desktop\02_代码项目与工具\脚本散件\政治修订脚本_0603_0606\verify_xuanbiyi_docx_fix.py","修订/核验脚本","False"
"C:\Users\Administrator\Desktop\xby1_original_word_test.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\xby1_original_word_test.docx","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\海淀一模Q17调查问卷.png","C:\Users\Administrator\Desktop\01_北京政治资料\选必二_0606\成品与框架\海淀一模Q17调查问卷.png","选必二成品/框架/矩阵","False"
"C:\Users\Administrator\Desktop\选必一6.1终极版_Claude美化最终版_学生版_带水印_20260603.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一6.1终极版_Claude美化最终版_学生版_带水印_20260603.docx","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一6.1终极版_审核报告_20260603.docx","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一6.1终极版_审核报告_20260603.docx","选必一成品/核验","False"
"C:\Users\Administrator\Desktop\选必一6.2修订版_20260603.pdf","C:\Users\Administrator\Desktop\01_北京政治资料\选必一_0603\成品与核验\选必一6.2修订版_20260603.pdf","选必一成品/核验","False"
