order,title,source_file,not_final,word_pdf_permission,final_pass_permission,reason
1,2025 东城期末第18题第(2)问,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
2,2024 海淀二模第17题第(1)问,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
3,2024 海淀二模第17题第(2)问,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
4,2026 顺义一模第19题第(2)问,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
5,2024 朝阳一模第7题,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
6,2025 海淀期末第18题,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
7,2025 丰台期末第8题,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
8,2026 通州期末第11题,phase11D_seed_source_verified_08_V2_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
9,2026 朝阳期中第20题,phase11D_batch02_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
10,2026 东城一模第19题第(4)问,phase11D_batch02_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
11,2025 海淀期末第17题第(1)问,phase11D_batch02_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
12,2024 朝阳一模第20题第(1)问,phase11D_batch02_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
13,2025 顺义一模第7题,phase11D_batch02_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
14,2026 朝阳期中第21题第(2)问,phase11D_batch03_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
15,2025 西城二模第16题第(3)问,phase11D_batch03_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
16,2024 朝阳一模第9题,phase11D_batch03_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
17,2024 朝阳一模第20题第(2)问,phase11D_batch03_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
18,2025 东城期末第13题,phase11D_batch03_source_verified_05_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
19,2024 朝阳期中第7题,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
20,2024 西城一模第19题第(2)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
21,2024 西城一模第19题第(3)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
22,2024 西城一模第19题第(5)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
23,2025 西城二模第16题第(2)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
24,2026 通州期末第19题第(2)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
25,2024 朝阳二模第19题第(1)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
26,2024 朝阳二模第19题第(2)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
27,2024 朝阳期中第9题,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
28,2026 顺义一模第19题第(1)问,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
29,2025 丰台期末第7题,phase11D_batch04_source_verified_11_REVIEW_ONLY.md,yes,no,no,evidence_pool_74_and_control_base_362_not_fully_processed
