sample_rank,matrix_row_id,题源,题号,是否进宝典,宝典节点,证据等级,formal_signal,objective_choice_boundary,weak_signal,source_pointer_exists,source_artifact,support_excerpt
1,M0125,2026石景山二模,Q17(3),是/保留或补入：弱证据已回源修复,联系的普遍性 / 联系的观点（总）,formal_rubric_optional_angle,true,false,false,true,04_fusion_audit\weak_gate_source_repair_resolution.csv:14,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt
2,M0126,2026石景山二模,Q17(3),是/保留或补入：弱证据已回源修复,矛盾就是对立统一,formal_rubric_optional_angle,true,false,false,true,04_fusion_audit\weak_gate_source_repair_resolution.csv:15,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt
3,M0127,2026石景山二模,Q17(3),是/保留或补入：弱证据已回源修复,实践是认识的基础,formal_rubric_optional_angle,true,false,false,true,04_fusion_audit\weak_gate_source_repair_resolution.csv:16,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt
4,M1393,2026西城期末,Q16(2),是：已进入当前DOCX/PDF正文,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,正式评分标准,true,false,true,true,"C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\54715a1e650d940e_2026西城期末细则.md; raw rubric PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf; raw teacher PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf; marking PPTX: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\西城高三期末评标.pptx; rubric OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_TRANSCRIPTION_20260525.md; rubric lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_LINES_20260525.md; teacher OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_TRANSCRIPTION_20260525.md; teacher lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_LINES_20260525.md; marking PPT extract: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_PINGBIAO_PPTX_TRANSCRIPTION_20260525.md; source render manifest: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_SOURCE_RENDER_MANIFEST.json; formal answer key: 1C,2B,3A,4D,5C,6C,7D,8B,9D,10B,11A,12C,13D,14C,15A.",正式评分细则page_002写明追求真实就是实现主观与客观事实相符合。
5,M1032,2025朝阳期末,Q16,是：已进入当前DOCX/PDF正文,人民群众,强细则,true,false,true,true,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025朝阳期末.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\195324f05d7e2fea_朝阳高三期末2025.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\ec82917288aa8774_2025北京朝阳高三_上_期末政治_教师版.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\953eaee3f98d8598_2025朝阳期末细则.md; current DOCX text verified before Batch23 insertion,PPT评分细则第137行明列“尊重人民群众主体地位/群众观点群众路线”
6,M0227,2026石景山一模,Q17(1),是：已进入当前DOCX/PDF正文,对立统一-阴阳/具体问题具体分析/系统-整体与部分/发展观,正式评分细则-综合角度+示例（非逐点细则）,true,false,false,true,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\2026石景山区高三一模评分细则.doc; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_baodian_52_base_insert_second_mock_first_mock_audit_2026-05-24\01_source_inventory\suite_source_bundles\2026石景山一模.md; C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模\2026北京石景山高三一模政治（教师版）.pdf,石景山一模第17题正式评分细则写明：第（1）问可从规律、联系、发展、矛盾、文化传承与创新等角度回答；示例明确列出阴阳对立统一、具体问题具体分析、系统优化方法、人民至上价值观和中医药文化传承。
7,M0173,2025东城一模,Q18(1),是：已由当前DOCX覆盖,联系的普遍性/联系观点；发展的观点；主要矛盾；两点论与重点论,正式阅卷报告-可替换哲学原理明示+现有DOCX正文覆盖,true,false,false,true,01_source_inventory/suite_source_bundles/2025东城一模.md:76-87;418-424;578-581,18(1)虽以辩证思维设问，但阅卷报告明确整体性可替换为联系观点/系统优化，动态性可替换为发展/量变质变，抓主要矛盾可替换为两点论重点论。
8,M0110,2025丰台一模,Q18(3),是：已由当前DOCX覆盖,价值观的导向作用；价值判断与价值选择,正式评分标准-角度提示+现有DOCX正文覆盖（非逐点细则）,true,false,false,true,01_source_inventory/suite_source_bundles/2025丰台一模.md:88-97;417-420;546-559,Q18(3)评分标准明确可从价值观等角度阐述人与人工智能的关系；当前DOCX已有价值观相关Q18(3)条目。
9,M0462,2025石景山一模,Q16,是：当前DOCX已有Q16覆盖,联系观/发展观/矛盾观/中华优秀传统文化特点及当代价值,正式评分细则,true,false,false,true,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025石景山一模.md:22-31; CURRENT_DOCX_2025_SHIJINGSHAN_YIMO_CONTEXT_20260525.md,2025石景山一模Q16正式非选择题评分细则明确：可选用联系观、发展观、矛盾观等相关哲理，解析“不数既往，不能知将来；不求远因，不能明近果”，并阐明中华优秀传统文化的特点和当代价值。
10,M1172,2026东城期末,Q16,是：已进入当前DOCX/PDF正文,整体与部分,正式细则,true,false,true,true,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\e4d67789c91d1b92_2026东城期末细则.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\15664381470d8300_2026北京东城高三_上_期末政治_教师版.md; current DOCX verified: 7 existing unregistered 2026东城期末 headings were present before Batch27,细则第156行列“整体部分等”为哲学知识角度；用于说明“白”意象由局部表象联结整体文化深意
