bucket,core_cluster,distinct_source_count,atom_count,guarded_atom_count,expression_accumulation,source_questions
时代背景,和平与发展仍是时代主题,7,5,0,和平与发展仍是时代主题；时代主题；和平与发展成为时代主题；顺应各国人民愿望；经济全球化深入发展；中国的做法符合时代主题和平与发展；时代主题：和平和发展；全人类命运与共；国与国之间利益交汇命运交织休戚与共；和平与发展；和平与发展是当今时代主题；世界发展大势；服务国家发展大局；中非战略性共识符合和平与发展时代主题,2024西城二模 Q19；2025丰台期末 Q20；2025海淀期中 Q21(2)；2026朝阳一模 Q20；2026朝阳期末 Q20；2026通州期末 Q20；2026顺义一模 Q20
时代背景,全球性挑战、逆全球化、保护主义和治理赤字凸显,3,3,0,实施出口市场多元化战略，走出去开展合作以克服贸易壁垒；出口市场多元化；减少对单一市场依赖；走出去；投资设厂；开展多种合作；克服贸易壁垒；贸易保护主义和逆全球化违背经济规律，破坏市场竞争和市场秩序；贸易保护主义；逆全球化；违背经济规律；破坏市场竞争；破坏市场秩序；损害消费者利益；气候变化是全球性挑战，气候治理已成为全球治理的重要议题之一；巨大风险和挑战；全球性挑战；人类共同责任；全球治理重要议题,2024朝阳二模 Q20；2025东城期末 Q20；2025西城期末 Q20(2)
时代背景,在动荡变化的时代为国际社会注入稳定性和确定性,1,1,0,在动荡变化的时代为国际社会注入稳定性和确定性；百年未有之大变局；发展困难；安全挑战；文明冲突；稳定性和确定性,2024东城二模 Q20
理论,处理好自力更生和对外开放的关系,1,1,0,处理好自力更生和对外开放的关系；自力更生与对外开放,2026朝阳期中 Q17
理论,核心技术自主可控；把握创新主动权,1,1,1,核心技术自主可控；把握创新主动权；自主研发；核心竞争力,2026朝阳期中 Q17
理论,处理好发展和安全的关系；统筹发展和安全,1,1,1,处理好发展和安全的关系；统筹发展和安全；发展与安全,2026朝阳期中 Q17
理论,处理好中国发展和世界发展的关系,1,1,1,处理好中国发展和世界发展的关系；中国发展与世界发展,2026朝阳期中 Q17
理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,2,2,0,中国综合国力不断增强，国际地位不断提升，承担越来越多国际责任；国际影响力；话语权不断提升；当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；坚持创新驱动战略；综合国力较量；经济和科技实力；创新驱动战略,2025海淀期中 Q21(2)；2026朝阳一模 Q20
理论,国家间共同利益是国家合作的基础,5,5,1,共同利益；共同利益是国家合作的基础；理念蕴含普遍价值，能够形成共识并促成合作和发展；理念蕴含普遍价值；全人类共同价值；人类共同利益；形成共识；促成合作和发展；应对共同挑战；维护共同利益；立足亚太各国共同利益；寻找更多利益契合点；维护全球产供链韧性和稳定，符合国际社会共同利益，顺应和平与发展时代主题；全球产供链韧性稳定；和平与发展,2025延庆一模 Q20(2)；2025西城一模 Q21(1)；2026石景山一模 Q20；2026西城期末 Q20；2026顺义一模 Q20
理论,维护国家利益并兼顾他国合理关切，坚持正确义利观,2,2,0,主权；安全；发展利益是国家核心利益；国家利益是国际关系的决定性因素；国家核心利益；国家利益决定性因素；维护国家利益是对外活动出发点和落脚点；维护人民利益；中国式现代化；在联合国宗旨和原则框架下构建人类命运共同体，加强国际交流合作，积极参与全球治理；和平与发展；联合国宗旨原则；HMC；正确义利观,2025房山一模 Q18(2)；2026朝阳期末 Q20
理论,在平等互利基础上开展合作,1,1,0,在平等互利基础上开展合作；平等互利；战略性共识,2025丰台期末 Q20
经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,11,11,4,参与经济全球化；参与国际分工；充分利用国内国际两个市场；两种资源；国际交流合作；两个市场两种资源；国际分工；增强国内国际两个市场两种资源联动效应；以国内大循环吸引全球资源要素；两个市场；吸引全球资源要素自由流动；充分利用国际国内两种资源两个市场；商品服务技术资金劳务要素自由流动；国内国际双循环；扩大制度型开放；更好利用国内国际两个市场两种资源；制度型开放；高水平对外开放；产业链竞争力；经济全球化带来两个市场两种资源，为走出去和技术交流合作提供可能；未来产业广阔国际市场；走出去；技术交流合作；充分利用国内国际两个市场两种资源，深度参与全球产业分工和合作；超大规模市场优势,2024东城一模 Q20；2024朝阳一模 Q21；2024海淀一模 Q18(1)；2024西城一模 Q19(6)；2025丰台一模 Q20；2025昌平二模 Q21；2026房山一模 Q19；2026朝阳一模 Q20；2026朝阳期中 Q17；2026海淀一模 Q20；2026门头沟一模 Q20
