question_id,year,district,exam_stage,question_no,ask_text,evidence_status,entry_node,run_status,complete_exam_answer
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,正式证据,定关系定责 + 价值从规则长出来,GOLD_SYNCED,本案属于好意同乘。乙某无偿搭载甲某，发生事故后主动垫付部分费用，主观上没有故意或重大过失；甲某未按提醒系好安全带，对损害后果也有一定影响。民法典规定，非营运机动车发生交通事故造成无偿搭乘人损害，属于机动车一方责任的，应减轻其赔偿责任。法院酌情减轻乙某责任，既以事实为根据、以法律为准绳，也有利于平衡双方权益，鼓励善意互助，维护公平公正。
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,正式证据,价值从规则长出来,PRIORITY_REWRITTEN,民法典绿色原则为生态环境保护提供基本遵循。案例中，民法典保护知识产权，可以鼓励环保技术创新，为生态环境保护提供技术支撑；对污染、破坏环境的行为要求承担侵权责任，能够惩戒违法行为、预防生态损害。民法典通过明确民事主体的权利义务，既保护合法权益，又平衡个人利益和公共利益，有助于维护良好生态环境。
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用。,正式证据,价值从规则长出来,STUDENT_RUN,19. 社会主义市场经济本质上是法治经济。
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",正式证据,定关系定责 + 价值从规则长出来,GOLD_SYNCED,甲公司通过平台向王某派单，并依据制度对王某进行管理和奖惩，体现人格从属性；甲公司掌握运输服务数据并单方制定结算标准，王某收入依赖平台，体现经济从属性；王某从事的运输服务属于甲公司业务组成部分，体现组织从属性。因此，王某与甲公司之间存在事实劳动关系，仲裁委员会支持其请求有依据。该案例有利于保护新就业形态劳动者合法权益，也提醒平台企业依法规范用工。
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,运用《法律与生活》知识，谈谈对本案判决的认识。,参考运行,参考运行：定关系定责 + 价值从规则长出来,REFERENCE_RUN,19. 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,正式证据,定关系定责 + 价值从规则长出来,STUDENT_RUN,19. 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。
CC0051_2024_海淀_期中_21_1,2024,海淀,期中,21,运用法治知识，对小海的观点进行评析。,正式证据,分主体评析,STUDENT_RUN,21（1）75 年，大国自信而坚定的脚步。 (1)运用法治知识，对小海的观点进行评析。 （1950） 男女个体 合理设定权利与义务/法律面前人人平等/ 公平 /尊重保障人权 小海认为，1950年婚姻法中“由男方清偿”的规定并不合理，民法典的规定 才符合良法的要求。 （1950） 男女个体 合理设定权利与义务/法律面前人人平等/ 公平 /尊重保障人权 二、存在问题：
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,正式证据,定关系定责 + 价值从规则长出来,GOLD_SYNCED,甲公司参与比选并向乙公司报价，内容具体确定，属于要约。 乙公司确认甲公司中标并送达中标通知，属于承诺。 中标通知书送达甲公司，双方合同成立，合同成立部分共。 法院判决引导碳排放配额交易主体遵循诚信原则、公平原则、绿色原则。
CC0061_2024_西城_一模_18,2024,西城,一模,18,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,正式证据,价值从规则长出来,STUDENT_RUN,（1）依据诉讼法规定的回避制度，当书记员有下列情形之一的，当事人有权申请其回避：是本案当事人或者当事人、诉讼代理人近亲属的； （2）错误：辩护人。 （3）成年子女对父母有赡养的义务。
CC0063_2024_西城_二模_16,2024,西城,二模,16,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,正式证据,定关系定责 + 价值从规则长出来,STUDENT_RUN,16． 经营者应依法、诚信经营，保护消费者的合法权益。
CC0077_2025_东城_一模_19,2025,东城,一模,19,阅读材料，完成下表。,正式证据,价值从规则长出来,STUDENT_RUN,19. 阅读材料，完成表格。 ①解决机制：调解/诉讼调解/诉讼 （对写“诉讼”得分的原因给予解释：该案已进入诉讼程序，虽然没有“审判”但也是通过 诉讼程序的某个环节，以出具调解书的方式解决，也属于诉讼解决机制） ②柳某与医院的案例 第一层：对劳动者的意义 树立劳动者权利和义务相统一的法治意识 可替换：督促劳动者履行义务 酌情替换：规范劳动者行为 第二层：对医院的意义/对双方劳动关系的意义 维护用人单位的合法权益 可替换：构建和谐劳动关系 本案例其他酌情替代：体现了公平原则、公平正义 （柳某案例总分不超过） ③顾氏三兄弟照顾老人案例 第一层：遗产管理制度 落实遗产管理制度 可替换： 合理处置老人遗产，规范遗产分配问题 有利于对公民合法财产的保护和继承 为遗产继承、财产分割提供案例支持 第二层：社会主义核心价值观/中华优秀传统美德/社会角度 （1 个，2 个） 友善的社会主义核心价值观；
CC0084_2025_东城_二模_19,2025,东城,二模,19,阅读材料，完成下表。,正式证据,价值从规则长出来,STUDENT_RUN,19.阅读材料，完成表格。 ①龙某为钱某文身案例：该情境有两个问题，即合同效力问题和侵权问题： 学生可以通过把一个问题说清楚得，也可以通过呈现2 个准确的知识点得 合同效力问题：限制民事行为能力人/法定代理人未追认+ 合同无效 侵权问题：龙某没有尽到核实义务/存在过错+ 侵犯身体权/健康权 呈现了两个知识点，如：钱某事限制民事行为能力人+龙某侵犯了身体权/健康 权 ②杨某自媒体案例 杨某利用自媒体，故意侮辱/诽谤某公司，造成其社会评价降低（任意一个要件）+ 侵 害名誉权（不可替换，） 构成要件替换：诬陷、捏造、造谣、诋毁、抹黑、不实信息； ③体现的民法原则： 公平原则 可替换：诚信原则
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,运用《法律与生活》和《政治与法治》知识，完成任务：（1）写出该方案遇到的法律问题。,正式证据,定关系定责,MANUAL_REWRITTEN,19（1）（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定；
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,正式证据,价值从规则长出来,GOLD_SYNCED,19. 本案判决维护当事人合法权益，严惩侵权行为，保护知识产权。
