suite_id,question_no,question_type,is_philosophy,evidence_level,status,target_node,brief
2026_海淀_一模,16,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2026_海淀_一模__Q16__主观能动性
2026_海淀_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2026_海淀_一模__Q16__价值判断与价值选择
2026_海淀_一模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点 / 发展的普遍性,2026_海淀_一模__Q16__发展的观点
2026_海淀_一模,16,subjective,yes,rubric-formal,included,唯物论/物质决定意识,2026_海淀_一模__Q16__物质决定意识
2026_海淀_一模,16,subjective,yes,rubric-formal,included,历史唯物主义/社会存在与社会意识,2026_海淀_一模__Q16__社会存在与社会意识
2026_西城_一模,16,subjective,yes,rubric-formal,included,唯物论/主观能动性 / 意识的能动作用,2026_西城_一模__Q16__主观能动性意识的能动作用
2026_西城_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值观导向作用,2026_西城_一模__Q16__价值观导向作用
2026_西城_一模,16,subjective,yes,rubric-formal,included,辩证法/发展的观点,2026_西城_一模__Q16__发展的观点
2026_西城_一模,16,subjective,yes,rubric-formal,included,辩证法/联系普遍性,2026_西城_一模__Q16__联系普遍性
2026_西城_一模,21,subjective,yes,rubric-formal,included,辩证法/发展的观点,2026_西城_一模__Q21__发展的观点
2026_西城_一模,21,subjective,yes,rubric-formal,included,认识论/实践与认识总,2026_西城_一模__Q21__实践与认识总
2026_西城_一模,21,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_西城_一模__Q21__尊重客观规律与发挥主观能动性
2026_西城_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/改革,2026_西城_一模__Q21__改革
2026_西城_一模,21,subjective,yes,rubric-formal,included,辩证法/矛盾特殊性 / 具体问题具体分析,2026_西城_一模__Q21__矛盾特殊性具体问题具体分析
2026_东城_一模,16,subjective,yes,rubric-formal,included,辩证法/两点论与重点论,2026_东城_一模__Q16__两点论与重点论
2026_东城_一模,16,subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_东城_一模__Q16__人民群众
2026_东城_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2026_东城_一模__Q16__价值判断与价值选择
2026_东城_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_东城_一模__Q16__矛盾普遍性
2026_东城_一模,16,subjective,yes,rubric-formal,included,历史唯物主义/社会存在与社会意识,2026_东城_一模__Q16__社会存在与社会意识
2026_东城_一模,19(4),subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_东城_一模__Q19_4__系统观念系统优化
2026_东城_一模,20,subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_东城_一模__Q20__人民群众
2026_东城_一模,20,subjective,yes,rubric-formal,included,认识论/实践是认识的基础,2026_东城_一模__Q20__实践是认识的基础
2026_东城_一模,20,subjective,yes,rubric-formal,included,认识论/认识发展原理,2026_东城_一模__Q20__认识发展原理
2026_朝阳_一模,16,subjective,yes,rubric-formal,included,认识论/实践是认识的基础,2026_朝阳_一模__Q16__实践是认识的基础
2026_朝阳_一模,16,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_朝阳_一模__Q16__尊重客观规律与发挥主观能动性
2026_朝阳_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾普遍性与特殊性,2026_朝阳_一模__Q16__矛盾普遍性与特殊性
2026_朝阳_一模,16,subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_朝阳_一模__Q16__系统观念系统优化
2026_朝阳_一模,16,subjective,yes,rubric-formal,included,辩证法/联系普遍性,2026_朝阳_一模__Q16__联系普遍性
2026_朝阳_一模,16,subjective,yes,rubric-formal,included,认识论/认识对实践的反作用,2026_朝阳_一模__Q16__认识对实践的反作用
2026_朝阳_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/人民群众,2026_朝阳_一模__Q21__人民群众
2026_朝阳_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/社会发展两大基本规律 基本矛盾,2026_朝阳_一模__Q21__社会发展两大基本规律
2026_朝阳_一模,21,subjective,yes,rubric-formal,included,历史唯物主义/社会存在与社会意识,2026_朝阳_一模__Q21__社会存在与社会意识
2026_丰台_一模,16,subjective,yes,rubric-formal,included,辩证法/两点论与重点论,2026_丰台_一模__Q16__两点论与重点论
2026_丰台_一模,16,subjective,yes,rubric-formal,included,价值观 / 人生观/价值判断与价值选择,2026_丰台_一模__Q16__价值判断与价值选择
2026_丰台_一模,16,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_丰台_一模__Q16__矛盾就是对立统一
2026_丰台_一模,16,subjective,yes,rubric-formal,included,辩证法/联系普遍性,2026_丰台_一模__Q16__联系普遍性
2026_丰台_一模,21,subjective,yes,rubric-formal,included,唯物论/尊重客观规律与发挥主观能动性相结合,2026_丰台_一模__Q21__尊重客观规律与发挥主观能动性
2026_丰台_一模,21,subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_丰台_一模__Q21__矛盾就是对立统一
2026_丰台_一模,21,subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_丰台_一模__Q21__系统观念系统优化
2026_石景山_一模,17(1),subjective,yes,rubric-formal,included,辩证法/发展的观点,2026_石景山_一模__Q17_1__发展的观点
2026_石景山_一模,17(1),subjective,yes,rubric-formal,included,辩证法/矛盾就是对立统一,2026_石景山_一模__Q17_1__矛盾就是对立统一
2026_石景山_一模,17(1),subjective,yes,rubric-formal,included,辩证法/矛盾特殊性 / 具体问题具体分析,2026_石景山_一模__Q17_1__矛盾特殊性具体问题具体分析
2026_石景山_一模,17(1),subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_石景山_一模__Q17_1__系统观念系统优化
2026_石景山_一模,21,subjective,yes,rubric-formal,included,辩证法/发展的观点,2026_石景山_一模__Q21__发展的观点
2026_石景山_一模,21,subjective,yes,rubric-formal,included,辩证法/系统观念 系统优化,2026_石景山_一模__Q21__系统观念系统优化
2026_房山_一模,16(2),subjective,yes,rubric-formal,included,唯物论/一切从实际出发实事求是,2026_房山_一模__Q16_2__一切从实际出发实事求是
