followup_id,suite_id,year,suite,question_no,issue_type,source_paths,evidence_excerpt,reason,required_action
S001_P01,S001,2024,2024东城一模,试卷整卷,ocr-needed,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,L319-L321: SOURCE S001_F03 | exam_paper | ocr-needed; note: unreadable or unsupported; do not infer from this file.,"试卷正文 PDF 无法抽取文本，主观题完整设问、材料原文以及绝大部分选择题题干都不可见；按""主观题 question_excerpt 必须包含完整设问""的刚性规则，缺设问就不能入框架。",对试卷.pdf 做 OCR 或转换，回填每道题的题号、完整设问和材料后，再按节点拆条入 framework_entries。
S001_P02,S001,2024,2024东城一模,答案及评分参考,ocr-needed,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,L315-L317: SOURCE S001_F02 | scoring_rubric | ocr-needed; note: unreadable or unsupported; do not infer from this file.,答案 PDF 无法抽取文本，缺选择题答案键与主观题标准答案，无法对选择题做闭环（题面+答案键），也无法核验细则与答案口径是否一致。,对答案 PDF 做 OCR，回填全部选择题答案键以及主观题参考答案，再判断各题是否能进入 choice_rows 或与细则配合入 framework_entries。
S001_P03,S001,2024,2024东城一模,16,needs_followup,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,L99-L104: 解释：坚持共性和个性的统一（普特统一或整体与部分）。各具特色民族文化构成世界文化多样性……论证：联系观点，文化交流和交融是文化发展的动力。社会生活本质上是实践。文化与文明都是实践的产物……要求：科学的价值观符合社会发展规律和人民根本利益。中华文明新形态蕴含全人类共同价值，坚持人民为中心，坚守中华文化立场……16题阅卷细则（哲学3分，任意2个哲学观点的3分，1个观点2分；文化4分，解释关系1分，分析论证2分，要求举措1分）。,细则明确给出 16 题三层哲学评分点（共性个性/矛盾或整体部分、联系与实践、价值观），是必修四哲学富矿；但试卷 OCR-needed，缺完整设问和材料原文，按刚性规则不能写 question_excerpt 与 trigger_logic，否则等于幻觉设问。,OCR 试卷后回补 16 题完整设问和材料关键句，再按矛盾（共性个性）、联系/实践、价值观三个节点拆条入 framework_entries，并在 boundary_note 注明文化部分（解释关系/举措）属 module-boundary-cultural。
S001_P04,S001,2024,2024东城一模,"题号待补证（细则中""传统产业与未来产业""主观题）",needs_followup,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,L196-L205: 是何：传统产业与未来产业密不可分、相互促进。传统产业为未来产业发展提供原材料、零部件等支撑和强大的市场；未来产业赋能传统产业，引领传统产业转型升级。如何：发展新质生产力，不是要忽视、放弃传统产业，要辩证否定，改造提升传统产业；要运用超前思维布局建设未来产业，完善现代化产业体系。变通：二者关系：辩证统一、对立统一；传统产业：辩证思维、矛盾观点；未来产业：创新思维、科学思维、矛盾分析法等替代原理分。,细则同时承认必修四（辩证否定、矛盾观点、辩证统一）与选必三（辩证思维、创新思维、科学思维、超前思维）作为可替换得分点；缺设问无法判断本题学科范围（是否限定《哲学与文化》），且题号未在细则中标注，硬挂会跨模块污染。,OCR 试卷后核对题号与设问范围，若设问限定哲学与文化，则按辩证否定、矛盾（对立统一）入 framework_entries，并在 boundary_note 排除选必三逻辑/创新/科学/超前思维等术语。
S001_P05,S001,2024,2024东城一模,"题号待补证（细则中""首都都市圈三圈""主观题）",needs_followup,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,L297-L313: 通勤圈角度：政府---公共服务/基础设施---资源要素流动---共享发展／资源优化配置；坚持以人民为中心---促进三地人流物流/资源要素流动---资源优化配置。功能圈：主次矛盾／两点论／整体部分等----结合材料意思---区域协调。产业圈：创新发展/绿色发展/发展新兴产业---三地优势互补／发挥比较优势---促进产业升级／现化产业体系。三圈总说：立足全局／整体／系统优化／规律／以人民为中心等---结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等。（每一层2分，满分7分）,细则提到主次矛盾、两点论、整体与部分、系统优化、规律、以人民为中心等多个必修四节点，但与新发展理念、有为政府、比较优势等经济内容混合，且无设问与题号；缺设问无法判断本题是否限定哲学，硬挂会把经济得分点拉进哲学框架。,OCR 试卷后核对题号与设问角度（学科限定、答题落点），再决定是否拆出矛盾（主次矛盾/两点论）、辩证法（整体部分/联系-系统优化）、价值观（以人民为中心）等必修四节点入 framework_entries，并在 boundary_note 排除经济与新发展理念角度。
S001_P06,S001,2024,2024东城一模,4,objective-key-only,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,L23-L29: 让市民出行更美好、更舒心。回答4、5题。某校学生围绕学校周边交通状况进行了调研（调研结果见上）。针对上述情况，下列建议最适合的是 ①加强校园周边交通勤务部署和指挥，引导车辆即停即走 ②推进智慧交通建设，公交公司及时推送交通信息 ③推出通学公交车服务，为学生上下学提供新选择 ④人大代表应行使国家权力，督促相关部门完善相关交通基础设施 A．①③ B．①④ C．②③ D．②④,题面与四个选项可见，但选项①公共安全治理、②智慧交通建设、③通学公交服务、④人大代表行权属政治与法治、经济与社会方向，未触及必修四哲学；且答案 PDF OCR-needed，缺答案键无法做选择题闭环。,OCR 答案 PDF 取得正确选项后，将本题归入 module-boundary-excluded（必修一/必修三/政治与法治），不入必修四哲学 choice_rows。
S002_P01,S002,2024,2024朝阳一模,18(2),needs_followup,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,L1150-L1151: (2)结合材料二，运用《哲学与文化》知识，谈谈对「让科学普及与科技创新两翼齐飞」的认识。(8分)；L905-L907 参考答案：科学普及与科技创新同等重要……虽各有侧重但具有同一性……应坚持以人民为中心的思想，具体问题具体分析……应树立全局观念、运用系统优化的方法……坚持「两点论」和「重点论」的统一；L926-L943 等级水平描述：水平4观点鲜明、紧扣问题准确运用相关知识全面展开分析；水平3观点比较明确；水平2观点不明确；水平1应答与试题无关。,题目明确要求《哲学与文化》模块作答，参考答案列出矛盾同一性、具体问题具体分析、系统观念、两点论与重点论的统一等多个必修四哲学触发点；但本套卷未提供分点给分细则，仅有水平4-1的SOLO式等级水平评标和参考答案。按v4硬规则，普通参考答案不能单独入框架；等级水平评标只锁定作答质量等级，不锁定具体哲学要点的给分口径，所以无法把矛盾同一性、系统优化、两点论重点论等具体哲学触发链直接收入框架。,补查2024朝阳一模18(2)的分点给分细则或阅卷标志性给分口径，确认每个哲学要点对应的分值（如同一性多少分、系统观念多少分、两点论重点论多少分），再将相应触发链按节点（矛盾、联系、矛盾分析法等）分别立条入框架。
S002_P02,S002,2024,2024朝阳一模,1,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf；/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,L963-L971 题面：1.在5000多年中华文明深厚基础上开辟和发展中国特色社会主义，「两个结合」是必由之路……正确答案B（①③）；L80-L84 讲评：「第二个结合」此前未明确系统化提出；「第一个结合」是党一直坚持并强调的成功密钥。,考点是「两个结合」、中国特色社会主义道路根基与文化根基、农村包围城市革命道路的历史定位，属必修一/中国特色社会主义与必修四文化部分，不锁定必修四哲学原理。,归入中特/必修四文化模块独立处理，不入哲学框架。
S002_P03,S002,2024,2024朝阳一模,2,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L972-L980 题面：2.生成式人工智能……运用生成式人工智能制作动画节目……A.推进跨界合作消除技术与艺术界限 B.生产方式彻底变革赋能传统文化传播 C.具有巨大的发展潜力和价值，彰显出新质生产力的独特优势 D.使技艺达到发展顶峰、引领迭代升级；正确答案C。,正确项C锁定「新质生产力的独特优势」，考点为必修二经济与社会的新质生产力概念，未涉及必修四哲学原理。,归入必修二经济与社会模块独立处理，不入哲学框架。
S002_P04,S002,2024,2024朝阳一模,5,module-boundary-excluded,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,L1001-L1011 题面：5.京津冀协同发展战略实施十周年……北京艺术中心、北京城市图书馆、北京大运河博物馆于2023年12月27日起对公众开放……①传承北京历史文脉、落实首都战略定位的重要举措和生动实践 ③有利于让文化发展成果更好地惠及人民，满足大众精神文化需求；正确答案A（①③）。,正确项①③只指向必修四文化部分（文脉传承、文化惠民、满足精神文化需求），未触发必修四哲学原理；属文化模块边界。,标记为module-boundary-cultural，归入必修四文化部分独立处理，不入哲学框架。
