file_id,suite_id,year,suite,parent_bucket,role,path,file_name,extension,sha12,read_status,text_chars,extracted_text_path
S001_F01,S001,2024,2024东城一模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,细则.pptx,.pptx,4b2073bcc9e2,ok,9817,outputs_v4/extracted_texts/S001_2024东城一模_scoring_rubric_4b2073bcc9e2_细则.pptx.txt
S001_F02,S001,2024,2024东城一模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,.pdf,7b4eece29632,ocr-needed,0,
S001_F03,S001,2024,2024东城一模,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,试卷.pdf,.pdf,74cdfac92537,ocr-needed,0,
S002_F01,S002,2024,2024朝阳一模,,lecture_review,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,202404朝阳高三政治一模试卷讲评.pptx,.pptx,d64506799887,ok,11349,outputs_v4/extracted_texts/S002_2024朝阳一模_lecture_review_d64506799887_202404朝阳高三政治一模试卷讲评.pptx.txt
S002_F02,S002,2024,2024朝阳一模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,细则.pptx,.pptx,d64506799887,ok,11349,outputs_v4/extracted_texts/S002_2024朝阳一模_scoring_rubric_d64506799887_细则.pptx.txt
S002_F03,S002,2024,2024朝阳一模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,细则.docx,.docx,f6013d54b52c,ok,1939,outputs_v4/extracted_texts/S002_2024朝阳一模_scoring_rubric_f6013d54b52c_细则.docx.txt
S002_F04,S002,2024,2024朝阳一模,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,试卷.pdf,.pdf,25b655e73b74,ok,7019,outputs_v4/extracted_texts/S002_2024朝阳一模_exam_paper_25b655e73b74_试卷.pdf.txt
S003_F01,S003,2024,2024朝阳二模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,细则.pdf,.pdf,84218459671a,ok,6038,outputs_v4/extracted_texts/S003_2024朝阳二模_scoring_rubric_84218459671a_细则.pdf.txt
S003_F02,S003,2024,2024朝阳二模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,细则.docx,.docx,f7c4cc4ac52e,ok,1829,outputs_v4/extracted_texts/S003_2024朝阳二模_scoring_rubric_f7c4cc4ac52e_细则.docx.txt
S003_F03,S003,2024,2024朝阳二模,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,试卷.pdf,.pdf,9223488a4b5e,ok,8971,outputs_v4/extracted_texts/S003_2024朝阳二模_exam_paper_9223488a4b5e_试卷.pdf.txt
S004_F01,S004,2024,2024朝阳期中,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx,细则.docx,.docx,0f8ea3bbe262,ok,5568,outputs_v4/extracted_texts/S004_2024朝阳期中_scoring_rubric_0f8ea3bbe262_细则.docx.txt
S004_F02,S004,2024,2024朝阳期中,,marking_summary,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,2024.11期中政治朝阳评标2.docx,.docx,92a268ce852f,ok,21996,outputs_v4/extracted_texts/S004_2024朝阳期中_marking_summary_92a268ce852f_2024.11期中政治朝阳评标2.docx.txt
S004_F03,S004,2024,2024朝阳期中,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf,细则.rtf,.rtf,25b6e8c2207d,ok,3514,outputs_v4/extracted_texts/S004_2024朝阳期中_scoring_rubric_25b6e8c2207d_细则.rtf.txt
S004_F04,S004,2024,2024朝阳期中,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,202411朝阳高三政治 期中1试题(1).pdf,.pdf,0a50f76fd1e1,ok,7995,outputs_v4/extracted_texts/S004_2024朝阳期中_exam_paper_0a50f76fd1e1_202411朝阳高三政治_期中1试题(1).pdf.txt
S004_F05,S004,2024,2024朝阳期中,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,试卷.pdf,.pdf,0a50f76fd1e1,ok,7995,outputs_v4/extracted_texts/S004_2024朝阳期中_exam_paper_0a50f76fd1e1_试卷.pdf.txt
S005_F01,S005,2024,2024海淀一模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,细则.docx,.docx,b692254ceb1b,ok,3007,outputs_v4/extracted_texts/S005_2024海淀一模_scoring_rubric_b692254ceb1b_细则.docx.txt
S005_F02,S005,2024,2024海淀一模,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,一模政治-答案.docx,.docx,98d1d762f302,ok,1599,outputs_v4/extracted_texts/S005_2024海淀一模_scoring_rubric_98d1d762f302_一模政治-答案.docx.txt
S005_F03,S005,2024,2024海淀一模,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,试卷.pdf,.pdf,4bc0edec2a08,ok,8336,outputs_v4/extracted_texts/S005_2024海淀一模_exam_paper_4bc0edec2a08_试卷.pdf.txt
S006_F01,S006,2024,2024海淀期中,,scoring_rubric,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,细则.pdf,.pdf,fee5258a9b73,ok,14983,outputs_v4/extracted_texts/S006_2024海淀期中_scoring_rubric_fee5258a9b73_细则.pdf.txt
S006_F02,S006,2024,2024海淀期中,,exam_paper,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,试卷.pdf,.pdf,16c75dff224a,ok,542,outputs_v4/extracted_texts/S006_2024海淀期中_exam_paper_16c75dff224a_试卷.pdf.txt
