section,audit_id,source,trigger,evidence_grade,evidence,origin
物质决定意识，意识对物质具有能动作用,V3-FW-0003,2024北京朝阳高三二模 第16题（2）（`2024年朝阳二模主观题阅卷总结.pdf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,物质与意识的辩证关系 / 意识对物质具有能动作用,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
尊重客观规律与发挥主观能动性相结合,V3-FW-0038,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,尊重客观规律与发挥主观能动性相结合,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
尊重客观规律与发挥主观能动性相结合,V3-FW-0036,2024北京朝阳高三二模 第16题（2）（`2024年朝阳二模主观题阅卷总结.pdf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,尊重客观规律与发挥主观能动性相结合,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
尊重客观规律与发挥主观能动性相结合,V3-FW-0040,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,尊重客观规律与发挥主观能动性相结合,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
尊重客观规律与发挥主观能动性相结合,V3-FW-0033,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,尊重客观规律与发挥主观能动性相结合,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
联系的普遍性 / 联系的观点（总）,V3-FW-0242,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,联系观点,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
联系的普遍性 / 联系的观点（总）,V3-FW-0249,2026北京延庆高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,联系观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
联系的普遍性 / 联系的观点（总）,V3-FW-0254,2026北京西城高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：A细则/阅卷/评分标准直接支持】,联系观点,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
联系的普遍性 / 联系的观点（总）,V3-FW-0256,2026北京门头沟高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回） 【证据：B评标/讲评角度清单；材料链为整理者解释】,联系观点,B,B评标/讲评角度清单；本条为框架映射整理，非细则逐字同名,Codex-V3融合终稿
整体与部分 / 系统观念,V3-FW-0062,2024北京丰台高三二模 第20题（`丰台政治二模阅卷评标.docx`） 【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,联系的观点 / 系统观念,A,A评分/阅卷源支持本题；本条为框架近邻迁入或人工保留，非细则逐字同名,Codex-V3融合终稿
