check_id,scope,result,severity,details
B01,packet row count,PASS,P0,phase07_locked_opus_input_packet.csv has exactly 74 data rows (header excluded); matches Phase06 evidence_lock_register row count and ID set with empty symmetric difference
B02,packet permission distribution,PASS,P0,Counter(input_permission)={'include': 4; 'include_as_packet_candidate': 25; 'hold_answer_locator_risk': 25; 'hold_reasoning_form_risk': 20}; sum=74; matches Codex A claim and matches phase07_Governor_locked_packet_gate.md
B03,packet student_permission,PASS,P0,all 74 rows have student_permission=no; Counter={'no': 74}; no other value present
B04,packet opus_permission,PASS,P0,all 74 rows have opus_permission=packet_only; Counter={'packet_only': 74}; no other value present
B05,L3 hold list completeness,PASS,P0,phase07_L3_hold_list.csv contains exactly the 70 L3 question_ids from the packet; symmetric difference (packet_L3 vs hold_list) = empty; no L4 leaked into hold list
B06,L3 not blindly included,PASS,P0,L3 hold list breakdown: include_as_packet_candidate=25; hold_answer_locator_risk=25; hold_reasoning_form_risk=20; 45 of 70 L3 are held (opus_permission=no_opus_input_yet); only 25 of 70 L3 are include candidates; not blind include
B07,L0 exclusion completeness and isolation,PASS,P0,phase07_L0_excluded_from_opus_input.csv has 288 unique (question_id; suite_id) tuples; matches phase06_L0_blocker_retention_register.csv with empty symmetric difference; intersection of L0 question_ids with packet/thinking/reasoning/cross input files = empty (0 leaks across all four input files); summary lists all 8 GPT-required groups including 4 zero-count groups
B08,thinking input entry restriction and fields,PASS,P0,phase07_opus_input_thinking_entries.csv has 18 rows; all 18 are in packet include or include_as_packet_candidate set (non-include leak = 0); 18 = 13 module=思维 include + 5 module=交叉 include; Q-2026顺义一模-3 absent (held); critical fields 材料信号/可写思维/方法/答题动作/答案落点/来源例题 nonempty on every row
B09,reasoning input entry restriction and fields,PASS,P0,phase07_opus_input_reasoning_entries.csv has 16 rows; all 16 are in packet include or include_as_packet_candidate set (non-include leak = 0); 16 = 11 module=推理 include + 5 module=交叉 include; critical fields logical_form/rule_slogan/valid_or_invalid_pattern/common_trap/answer_action nonempty on every row; same_type_question_ids nonempty on every L3 include row (real cross-IDs)
B10,Q-2026顺义一模-3 not in reasoning input,PASS,P0,reasoning entries scan returns False for Q-2026顺义一模-3; row exists in packet as module=思维 hold_answer_locator_risk; opus_permission=no_opus_input_yet
B11,hard locks Q11/Q12/Q13,PASS,P0,Q-2024西城一模-11 answer_locator carries answer_confirmed_B and explicit hard_lock_pairing=B=①③; full-packet text scan returns 0 occurrences of B=①④; Q-2025海淀二模-12 answer=D + source carries render_008_page_04.png + supplemental_source page9:12.D; Q-2025海淀二模-13 answer=C + source carries render_008_page_04.png + supplemental_source page9:13.C
B12,cross policy double-mount,PASS,P0,phase07_opus_input_cross_entries.csv has exactly 13 rows; matches phase06_cross_mount_lock.csv with empty symmetric difference; Counter(forbidden_single_mount)={'yes': 13} with no other value; 5 include cross rows have populated thinking_entry_id and reasoning_entry_id (verified Q-2024朝阳二模-19-1; Q-2024朝阳二模-19-2; Q-2024朝阳期中-9; Q-2026顺义一模-19-1; Q-2026顺义一模-19-2 each appear in both thinking and reasoning); 8 hold cross rows correctly have empty entry IDs and remain double-mounted by policy not by current consumption
B13,Opus boundary rules hardness,PASS,P0,phase07_opus_input_boundary_rules_FINAL_FOR_PACKET.md lists 12 forbid items covering: no add question; no delete question; no answer change; no question-type change; no L3/L4 change; no L3-as-L4 promotion; no single-mount cross; no answer without locator; no old-draft import; no student稿; no Word/PDF; no exposure of source/lane/Governor/Confucius/audit/archive/packet terms in future student text
B14,Governor and Confucius and GPT gates do not authorize student稿 or Opus prose,PASS,P0,phase07_Governor_locked_packet_gate.md verdict=PASS_INTERNAL_LOCKED_PACKET_PENDING_LANEB_GPT and explicitly states gate does not authorize student稿/Opus prose/Word/PDF/final PASS; phase07_Confucius_locked_packet_value_gate.md verdict=PASS_INTERNAL_PACKET_VALUE_PENDING_LANEB_GPT and explicitly states this is not student text authorization; phase07_GPT_commander_review_packet.md request scope = locked packet review only and Still Forbidden lists student稿/Opus prose/Word/PDF/final PASS
B15,L4 reasoning answer_action content quality,WARN,P3,Q-2026丰台一模-18-2 (L4 reasoning) answer_action="answer_confirmed_PASS_TO_FUSION" is a placeholder marker rather than an action chain; structurally nonempty so does not violate L3 hold rule (this is L4); should be polished into action chain before any future Opus prototype consumption; not a Phase07 blocker
B16,thinking 同类题 placeholder use,WARN,P3,several thinking entries (Q-2024朝阳一模-7; Q-2024朝阳一模-9; Q-2024朝阳期中-9; Q-2024海淀二模-17-1; Q-2024海淀二模-17-2; Q-2025海淀二模-20; Q-2025海淀期末-18; Q-2025西城二模-16-3; Q-2026东城一模-19-4; Q-2026朝阳期中-21-2) carry 同类题=NO_SAME_METHOD_IN_PHASE06_INDEX as a deliberate flag; field is nonempty so does not violate include rule (the GPT spec lists 同类题 as a thinking field but the strict mandatory list for L3 thinking is 材料信号/可写思维方法/答题动作/答案落点/来源例题 only); same-type chains may be added before any future Opus prototype consumption; not a Phase07 blocker
