question_id,来源,完整设问,材料动作,总帽子,小方法,触发逻辑,答案句,证据等级,框架落点,题型标签
Q-2025丰台期末-16,2025丰台期末 试卷::Q16 + 2025丰台期末细则.pptx Slide14（针对性复练习题）,在社会生活中，无处不见'界'的存在，请你运用辩证思维谈谈对'界'的理解。（8分）,材料把多种'界'并列：边防战士的国界、援外医生的'病毒无国界'、女排的界内/界外、法律人的边界、太空教师的跨界。题目要求把这一组对照统一在'界'的辩证理解上。,辩证思维,矛盾分析法（矛盾对立统一+具体问题具体分析）,看到守界与跨界、界内与界外、有界与无界这一组并列对照，要识别为矛盾的对立统一关系：'界'与'非界'相互依存，又在不同领域、不同情境中相互转化。题目本身把'界'当作开放概念，要求学生在矛盾的两端中把握'界'的本质，不能只讲一端、不能只列名词，是矛盾分析法的典型场景。,在社会生活的不同场景中，'界'与'非界'、守界与跨界既相互对立又相互依存：边防战士守国界与援外医生跨国界共同维护人类共同利益，女排界内争分与界外让球都服务于赢得比赛，在矛盾的对立统一中应用矛盾分析法把握'界'的本质——既要坚守'界'的边界值，也要看到'界'的相对性与可转化性。,A-support,辩证思维>矛盾分析法,辩证思维多角度·开放型谈理解
Q-2025丰台期末-16,2025丰台期末 试卷::Q16 + 2025丰台期末细则.pptx Slide14（针对性复练习题）,在社会生活中，无处不见'界'的存在，请你运用辩证思维谈谈对'界'的理解。（8分）,多种'界'共同构成社会生活的边界系统：领土边界、医疗职业边界、规则边界、法律边界、专业边界，每一种'界'都不是孤立的，而是和它所在的整体（国家治理、抗疫合作、竞技规则、法治社会、教育生态）相互联系。,辩证思维,整体性·系统优化,看到不同人对不同'界'的并列联想，要识别这些'界'同时在维护一个更大的整体（社会秩序+人类共同利益）。辩证思维要求立足整体把握部分，把分散的'界'组合成有结构有功能的边界系统，而不是把每个'界'孤立、绝对化。这是整体性/系统优化的典型触发场景。,各类'界'共同构成社会生活的边界系统，要立足整体、用综合的思维方法把不同领域的'界'统一在维护秩序与促进合作的整体目标上：把领土边界、职业边界、规则边界、法律边界、教育边界视为社会治理结构中相互关联的部分，运用整体性思维实现系统结构有序、整体功能最优。,A-support,辩证思维>整体性,辩证思维多角度·开放型谈理解
Q-2025丰台期末-16,2025丰台期末 试卷::Q16 + 2025丰台期末细则.pptx Slide14（针对性复练习题）,在社会生活中，无处不见'界'的存在，请你运用辩证思维谈谈对'界'的理解。（8分）,法律人说'法律是一条边界，守护里边的人，警示和惩罚越界的人'：'守'与'越'之间存在量的规定性，在量的范围内守界是合法、超出量的范围越界是违法，由此引出度的把握。,辩证思维,质量互变·适度原则,看到'守界'与'越界'、'恰到好处'与'过犹不及'的语义对照，要识别背后是质量互变规律对'度'的要求。辩证思维强调把握事物量的规定性：量变到一定程度必然引起质变，越界即越过度的边界值；守界守的是质的稳定性。材料中'界'的多种用法都涉及合理度的把握，是质量互变的稳定触发链。,辩证思维要求遵循质量互变规律、坚持适度原则：'界'是事物量的规定性的边界值，越界即越过质变临界点。无论是法律边界还是职业边界，都要把握好'守'与'越'之间的'度'——在量的范围内守界保持质的稳定性，在条件允许时合理跨界推动量变积累达到新的质变。,A-support,辩证思维>质量互变（适度原则）,辩证思维多角度·开放型谈理解
Q-2025丰台期末-16,2025丰台期末 试卷::Q16 + 2025丰台期末细则.pptx Slide14（针对性复练习题）,在社会生活中，无处不见'界'的存在，请你运用辩证思维谈谈对'界'的理解。（8分）,太空教师说'作为航天员，很高兴跨界当老师'：'界'本身随实践与时代发展而变化——领土在交往中互通、学科在跨界中融合、技术在跨界中渗透。'界'不是静止凝固的，而是动态发展、不断更新内涵的。,辩证思维,动态性（发展的观点）,看到'跨界'是新时代特征+不同领域的'界'随实践推进而生发新内涵，要识别背后是辩证思维的动态性要求。辩证思维要求用动态发展的眼光看问题：'界'不是固定不变的，而是在实践与时代变迁中不断重塑——'病毒无国界'是公共卫生时代意识，'太空跨界教学'是航天时代产物，'界'随社会发展不断更新。,辩证思维要求用动态性、发展的观点看'界'：'界'不是凝固不变的，随着实践和时代发展，国界在国际交往中互通、学科领域在跨界融合中创新、技术与教育在跨界中相互渗透，'界'本身也在生发新的内涵和新的功能形态——这正是辩证思维动态性的内在要求。,A-support,辩证思维>动态性,辩证思维多角度·开放型谈理解
Q-2025丰台期末-18-1,2025丰台期末 试卷::Q18(1) + 2025丰台期末细则.pptx Slide25,高水平社会主义市场经济体制是更高层次、更高标准的市场经济体制。①'放得活'才有春色满园，'管得住'才能土沃林丰，②这不仅是我国改革开放40多年实践中被不断验证的成功经验，更是构建高水平社会主义市场经济体制、实现高质量发展的内在要求。写出①和②是什么判断类型，并分别说明该判断类型的保真条件。（4分）,材料一句①'放得活才有春色满园，管得住才能土沃林丰'用'才'连接前后两个分句，前件作为后件成立的不可或缺条件——'放得活'是'春色满园'的必要条件，'管得住'是'土沃林丰'的必要条件。,推理边界（不进思维主链）,必要条件假言判断及其保真条件,句①的连词'才'是必要条件假言判断的典型语言标志（与之等价：只有……才……、除非……否则不……）。细则Slide25给出标准评分点：必要条件假言判断1分+保真条件1分。看到'才''只有……才''除非……否则不……'句式，要识别为必要条件假言判断；其保真条件是'前件是后件的必要条件'（前件不真后件必不真），不能写成'肯前必肯后'式描述。,句①是必要条件假言判断。必要条件假言判断的保真条件是前件是后件的必要条件——即只有前件成立、后件才能成立；前件不成立时后件必然不成立。本句中'放得活'是'春色满园'的必要条件，'管得住'是'土沃林丰'的必要条件。,A-formal,推理边界>判断>假言判断>必要条件假言判断,推理边界·假言判断保真条件辨识
Q-2025丰台期末-18-1,2025丰台期末 试卷::Q18(1) + 2025丰台期末细则.pptx Slide25,高水平社会主义市场经济体制是更高层次、更高标准的市场经济体制。①'放得活'才有春色满园，'管得住'才能土沃林丰，②这不仅是我国改革开放40多年实践中被不断验证的成功经验，更是构建高水平社会主义市场经济体制、实现高质量发展的内在要求。写出①和②是什么判断类型，并分别说明该判断类型的保真条件。（4分）,材料一句②'这不仅是我国改革开放40多年实践中被不断验证的成功经验，更是构建高水平社会主义市场经济体制、实现高质量发展的内在要求'，用'不仅……更是……'连接两个分支判断，要求两支同时为真整个判断才为真。,推理边界（不进思维主链）,联言判断及其保真条件,句②的连接词'不仅……更是……'是联言判断的典型语言标志（与之等价：既……又……、不但……而且……、并且、与此同时）。细则Slide25给出标准评分点：联言判断1分+保真条件1分。看到'不仅……更是……''既……又……'等连接词且各分支判断对同一对象作并列性断定，要识别为联言判断；保真条件是'当且仅当各（每）个联言支都是真的'，'全真才真，一假即假'。,句②是联言判断。联言判断的保真条件是当且仅当组成它的各（两）个联言支都是真的——即'是改革开放40多年成功经验'与'是构建高水平社会主义市场经济体制内在要求'两个联言支必须同时为真，整个联言判断才为真。,A-formal,推理边界>判断>复合判断>联言判断,推理边界·联言判断保真条件辨识
Q-2026丰台一模-18-2,2026丰台一模 试卷::Q18(2) + 2026丰台一模细则.pptx Slide35-36,甲：只有各项提振消费的举措扎实落地，才能有效释放消费潜力。如果消费潜力得到有效释放，那么各项提振消费的举措已经扎实落地了。乙：产品质量的提升能够带动居民消费，改善消费环境不能提升产品质量，所以，改善消费环境不能带动居民消费。分别写出上述推理的类型，判断是否正确，并说明理由。（6分）,甲的推理：大前提'只有各项提振消费的举措扎实落地，才能有效释放消费潜力'是必要条件假言判断'P→Q'即'¬P→¬Q'；已知小前提'消费潜力得到有效释放（Q真）'，结论'各项提振消费的举措已经扎实落地（P真）'。结构是从肯定后件出发去肯定前件——必要条件假言推理的肯定后件式（有效式之一）。,推理边界（不进思维主链）,必要条件假言推理（肯定后件式有效式）,细则Slide35-36给出标准评分点：必要条件假言推理1分（写'演绎推理'不给分）+有效式1分（否前否后/肯后肯前）+前提真实1分。看到'只有……才……'前提+'肯定后件'式推论，要识别为必要条件假言推理的有效式之一——肯定后件式（与否定前件式并列为必要条件假言推理的两个有效式）。不能与充分条件假言推理混淆——充分条件假言推理'肯后不必肯前'，必要条件假言推理'肯后必肯前'。,甲的推理属于必要条件假言推理。该推理前提真实，且符合必要条件假言推理'肯定后件式（有效式）'的推理结构——由后件'消费潜力得到有效释放'为真，肯定其必要条件'各项提振消费的举措扎实落地'为真，因此该推理正确。,A-formal,推理边界>演绎推理>必要条件假言推理（肯定后件式）,必要条件假言推理·肯定后件式有效
Q-2026丰台一模-18-2,2026丰台一模 试卷::Q18(2) + 2026丰台一模细则.pptx Slide35-36,甲：只有各项提振消费的举措扎实落地，才能有效释放消费潜力。如果消费潜力得到有效释放，那么各项提振消费的举措已经扎实落地了。乙：产品质量的提升能够带动居民消费，改善消费环境不能提升产品质量，所以，改善消费环境不能带动居民消费。分别写出上述推理的类型，判断是否正确，并说明理由。（6分）,乙的推理：大前提'产品质量的提升能够带动居民消费'，小前提'改善消费环境不能提升产品质量'，结论'改善消费环境不能带动居民消费'。中项是'产品质量的提升'（同时出现于大前提主项与小前提谓项位置）。大项是'带动居民消费'——大前提作肯定判断的谓项不周延，结论作否定判断的谓项周延，犯了大项不当扩大错误。,推理边界（不进思维主链）,三段论大项不当扩大错误,细则Slide35-36给出标准评分点：三段论推理1分+周延规则1分（前提中不周延的项结论中也不得周延）+大项不当扩大错误1分。看到三段论结构中大项在大前提为肯定判断谓项不周延、在结论为否定判断谓项周延，要识别为大项不当扩大错误。硬规则§十八永久锁定：'2026丰台一模18(2)必须挂必要条件假言推理与三段论大项不当扩大'。不能与中项不周延混淆——中项不周延是中项在两个前提中均不周延；大项不当扩大是大项在前提中不周延但结论中周延。,乙的推理属于三段论推理。在该推理中，'带动居民消费'作为大项在前提中不周延（作肯定判断的谓项），但是在结论中却周延（作否定判断的谓项），犯了'大项不当扩大'的逻辑错误，因此该推理错误。,A-formal,推理边界>演绎推理>三段论>大项不当扩大,三段论·大项不当扩大错误
Q-2025顺义一模-17-1,2025顺义一模 试卷::Q17(1) + 2025顺义一模细则（评分细则1+3）,甲：杭州如果有科创基金支持，那么就会成为科创人才高地。乙：杭州除非获得科创基金支持，否则不能成为科创人才高地。丙：杭州推进创新活力之城建设，或者需要科创基金支持，或者需要成为科创人才高地。结合材料，运用《逻辑与思维》知识，写出上述同学判断同时为真的条件，并说明理由。（4分）,甲的话'杭州如果有科创基金支持，那么就会成为科创人才高地'用'如果……那么……'连接，前件作为后件成立的充分条件——'有科创基金支持'是'成为科创人才高地'的充分条件。其保真条件是'肯前必肯后'，即前件真则后件必真（前件假时后件真假皆可）。,推理边界（不进思维主链）,充分条件假言判断及其保真条件,细则评分点：能够准确并全部写对三位同学判断类型1分+三个判断类型中具体分析任一2分。甲句'如果……那么……'是充分条件假言判断的典型语言标志；保真条件是'肯前必肯后'。要识别为充分条件假言判断（与必要条件假言判断'只有……才……'区分）。结合丙句相容选言判断'或者……或者……'同时为真的合取条件——甲乙丙三句要同时为真，前件'有科创基金支持'与后件'成为科创人才高地'必须都为真。,甲的话是充分条件假言判断。其保真条件是'肯前必肯后'：当'杭州有科创基金支持'为真且'杭州成为科创人才高地'为真时，该判断为真。,A-formal,推理边界>判断>假言判断>充分条件假言判断,推理边界·三种判断真值合取条件
Q-2025顺义一模-17-1,2025顺义一模 试卷::Q17(1) + 2025顺义一模细则（评分细则1+3）,甲：杭州如果有科创基金支持，那么就会成为科创人才高地。乙：杭州除非获得科创基金支持，否则不能成为科创人才高地。丙：杭州推进创新活力之城建设，或者需要科创基金支持，或者需要成为科创人才高地。结合材料，运用《逻辑与思维》知识，写出上述同学判断同时为真的条件，并说明理由。（4分）,乙的话'杭州除非获得科创基金支持，否则不能成为科创人才高地'，可转化为'只有获得科创基金支持，杭州才能成为科创人才高地'，前件作为后件成立的必要条件——'有科创基金支持'是'成为科创人才高地'的必要条件。其保真条件是'肯后必肯前'，即后件真则前件必真（前件真时后件真假皆可）。,推理边界（不进思维主链）,必要条件假言判断及其保真条件,乙句'除非……否则不……'即'只有……才……'句式，是必要条件假言判断的典型语言标志；保真条件是'肯后必肯前'。要与甲句充分条件假言判断'肯前必肯后'区分。甲乙丙三句要同时为真，必要条件保真要求'科创人才高地'为真时'科创基金支持'必然为真。,乙的话是必要条件假言判断。其保真条件是'肯后必肯前'：当'杭州成为科创人才高地'为真且'杭州有科创基金支持'为真时，该判断为真。,A-formal,推理边界>判断>假言判断>必要条件假言判断,推理边界·三种判断真值合取条件
