p_index	style	heading_level	h1	h2	h3	h4	text
2							2026 北京高考政治 · 选必三
3							《逻辑与思维》
4							思 维 宝 典
5							主观题思维方法训练
6							逐条核对清洁版 ｜ 2026-06-04
7							飞哥正志讲堂
9	Heading1	1	一、科学思维				一、科学思维
10	Heading2	2	一、科学思维	追求认识的客观性			追求认识的客观性
11	Heading3	3	一、科学思维	追求认识的客观性	1. 2026顺义一模 第19题第（2）问（主观题）		1. 2026顺义一模 第19题第（2）问（主观题）
12			一、科学思维	追求认识的客观性	1. 2026顺义一模 第19题第（2）问（主观题）		【材料触发点】  企业关注到很多独居、高龄老人遇到起身困难、忘记吃药、居家孤单、缺少陪伴等问题，走进社区、养老院蹲点观察老人的真实生活习惯，围绕“安全照护、健康提醒、情感陪伴”三大核心需求研发产品。
13			一、科学思维	追求认识的客观性	1. 2026顺义一模 第19题第（2）问（主观题）		【设问】  （2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）
14			一、科学思维	追求认识的客观性	1. 2026顺义一模 第19题第（2）问（主观题）		【为什么能想到】  科学思维要求认识与对象一致。题目问“如何体现科学思维特征”，材料呈现企业进入社区、养老院，围绕老人真实生活习惯和真实照护需求打磨产品，说明产品功能被真实对象和真实需求约束。学生看到“蹲点观察、真实生活习惯、三大核心需求”这一组信号，就应先想到科学思维追求认识客观性。
15			一、科学思维	追求认识的客观性	1. 2026顺义一模 第19题第（2）问（主观题）		【答案落点】  该企业从老人真实生活场景与实际需求出发，深入社区、养老院调研和蹲点观察，围绕安全照护、健康提醒、情感陪伴等核心需求设计产品功能，使机器人研发立足实际、如实反映养老服务中的客观问题，体现科学思维追求认识客观性。
16			一、科学思维	追求认识的客观性	1. 2026顺义一模 第19题第（2）问（主观题）		【同题说明】  本题6分（“如何体现科学思维特征”），三特征各2分：客观性（蹲点观察、立足实际）＋预见性（依趋势预判方向）＋可检验性（多轮测试迭代检验）须全部答出；本条只训练其一，单条只对应2分，不等于满分答案。
17	Heading3	3	一、科学思维	追求认识的客观性	2. 2026顺义二模 第18题第（1）问（主观题）		2. 2026顺义二模 第18题第（1）问（主观题）
18			一、科学思维	追求认识的客观性	2. 2026顺义二模 第18题第（1）问（主观题）		【材料触发点】  车企初期声称 AI 自动驾驶系统全程正常，事故原因是前方车辆突然变道；后续交通部门认定事故主要原因是系统未及时识别前方车辆变道、未做出有效制动反应。企业辩称系统在特定光线条件下存在感知延迟，属于技术待优化点。
19			一、科学思维	追求认识的客观性	2. 2026顺义二模 第18题第（1）问（主观题）		【设问】  结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）
20			一、科学思维	追求认识的客观性	2. 2026顺义二模 第18题第（1）问（主观题）		【答题提醒】  本条只处理“结论二”对事故归因是否客观的问题；“结论一”属于形式逻辑中的一致性规则，不在本条展开。
21			一、科学思维	追求认识的客观性	2. 2026顺义二模 第18题第（1）问（主观题）		【为什么能想到】  评价结论二时，关键看企业有没有如实反映事故中的客观事实。车企先把责任推给前方车辆突然变道，后来又说系统在特定光线条件下存在感知延迟，说明最初说法回避了自动驾驶系统未及时识别、未有效制动等真实缺陷。材料把“说法”和“事实”摆在一起，正是科学思维客观性的触发点：认识应从实际出发，如实反映客观对象。
22			一、科学思维	追求认识的客观性	2. 2026顺义二模 第18题第（1）问（主观题）		【答案落点】  结论二正确。科学思维追求认识客观性，应从实际出发，如实反映客观对象；车企初期把事故原因归结为前方车辆突然变道，刻意回避系统未及时识别、未有效制动等系统缺陷，不符合科学思维追求认识客观性的要求。
23	Heading3	3	一、科学思维	追求认识的客观性	3. 2025丰台一模 第18题第（1）问（主观题）		3. 2025丰台一模 第18题第（1）问（主观题）
24			一、科学思维	追求认识的客观性	3. 2025丰台一模 第18题第（1）问（主观题）		【材料触发点】  我国发布《新一代人工智能发展规划》，明确基本原则和“三步走”战略目标，并从国家层面对 AI 重塑中国教育进行战略布局，推动判断建立在人工智能发展实际和未来趋势之上。
25			一、科学思维	追求认识的客观性	3. 2025丰台一模 第18题第（1）问（主观题）		【设问】  （1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）
26			一、科学思维	追求认识的客观性	3. 2025丰台一模 第18题第（1）问（主观题）		【为什么能想到】  客观性看的是政策判断从哪里来。材料没有把人工智能写成抽象热词，而是写出国家规划、基本原则、分阶段目标和 AI 教育战略布局，说明国家部署不是先定口号再找理由，而是在把握人工智能发展实际和教育变革需要的基础上形成目标和路径。学生看到“规划、基本原则、三步走目标、教育战略布局”共同支撑部署，就应想到科学思维追求认识客观性。
